disease_code,disease_name,reason
DIS-CARD-HF-POST-MI,心肌梗死后心力衰竭,教材仅说明心肌梗死可导致心衰，未给出独立疾病定义。
DIS-CARD-HF-DIALYSIS-CHF,透析患者慢性心力衰竭,教材未定位到独立定义，需要肾脏病/透析或心衰专项指南补充。
DIS-CARD-ARR-BRADY,缓慢性心律失常,教材未以该名称给出总论定义，需作为疾病大类或从指南补充。
DIS-CARD-ARR-VA,室性心律失常,教材为章节类目，未给出独立疾病定义；下级室早、室速、室扑/室颤已可分别维护。
DIS-CARD-CM-ATRIAL,心房心肌病,教材未定位到定义，需指南/共识补充。
DIS-CARD-CM-FABRY,法布雷病心肌病,教材心肌病章节仅在鉴别诊断列表出现，不能作为定义。
DIS-CARD-CM-AMYLOID,淀粉样变心肌病,教材心肌病章节仅在鉴别诊断列表出现，不能作为定义。
DIS-CARD-CM-ABVC,致心律失常性双心室心肌病,教材未定位到定义，需心肌病专项指南补充。
DIS-CARD-CM-ALVC,致心律失常性左心室心肌病,教材未定位到定义，需心肌病专项指南补充。
DIS-CARD-CM-ACM,致心律失常性心肌病,教材未定位到定义，需心肌病专项指南补充。
