subject_name,skeleton_slot,evidence_id,status,candidate_count,note
心力衰竭,definition,CARD-SKELETON-FULL-20260709-EVID-5F444721EFBE5EE5,ok_with_candidates,6,
心力衰竭总论,classification,CARD-SKELETON-FULL-20260709-EVID-226E460930A16893,ok_with_candidates,11,
心力衰竭总论,risk_stratification,CARD-SKELETON-FULL-20260709-EVID-C0F0856AAAF32DD9,ok_with_candidates,1,
心力衰竭总论,etiology,CARD-SKELETON-FULL-20260709-EVID-64C135A565969CCD,ok_with_candidates,17,
心力衰竭总论,pathogenesis,CARD-SKELETON-FULL-20260709-EVID-8440F35BF30BE9BB,ok_with_candidates,9,
慢性心力衰竭,clinical_manifestation,CARD-SKELETON-FULL-20260709-EVID-8CF398DA7B46A24C,ok_with_candidates,26,
慢性心力衰竭,classification,CARD-SKELETON-FULL-20260709-EVID-802E24903DA9AB05,ok_with_candidates,2,
慢性心力衰竭,risk_stratification,CARD-SKELETON-FULL-20260709-EVID-63607DD28F84806D,ok_with_candidates,1,
慢性心力衰竭,exam,CARD-SKELETON-FULL-20260709-EVID-89ABC64A655D0B1D,ok_with_candidates,14,
慢性心力衰竭,diagnostic_criteria,CARD-SKELETON-FULL-20260709-EVID-A1989D010C641E9F,ok_with_candidates,9,
慢性心力衰竭,differential_diagnosis,CARD-SKELETON-FULL-20260709-EVID-A739B37EB5D24E0E,ok_with_candidates,13,
慢性心力衰竭,treatment,CARD-SKELETON-FULL-20260709-EVID-5CBAD4FAF30D515D,ok_with_candidates,10,
急性心力衰竭,definition,CARD-SKELETON-FULL-20260709-EVID-9650299CCE5C61D9,ok_with_candidates,3,
急性心力衰竭,classification,CARD-SKELETON-FULL-20260709-EVID-C5E0A4E9BC8C527E,ok_with_candidates,9,
急性心力衰竭,risk_stratification,CARD-SKELETON-FULL-20260709-EVID-0D4936F88296F7AC,ok_with_candidates,2,
急性心力衰竭,clinical_manifestation,CARD-SKELETON-FULL-20260709-EVID-8E9A4809AA6DD733,ok_with_candidates,20,
急性心力衰竭,diagnostic_criteria,CARD-SKELETON-FULL-20260709-EVID-7DD346D31CA7ACB9,ok_with_candidates,3,
急性心力衰竭,differential_diagnosis,CARD-SKELETON-FULL-20260709-EVID-1EB685DD381DD535,ok_with_candidates,4,
急性心力衰竭,treatment,CARD-SKELETON-FULL-20260709-EVID-01AED6DD6EAC43D2,ok_with_candidates,8,
概 述,definition,CARD-SKELETON-FULL-20260709-EVID-E35BE1FF6041E218,ok_with_candidates,3,
窦性心律失常,definition,CARD-SKELETON-FULL-20260709-EVID-65E3EB9C722DD7FC,ok_with_candidates,3,
窦性心动过速,definition,CARD-SKELETON-FULL-20260709-EVID-7FDD9076A108DFD9,ok_with_candidates,3,
窦性心动过缓,definition,CARD-SKELETON-FULL-20260709-EVID-1FA19E0B280E906B,ok_with_candidates,4,
窦房传导阻滞,definition,CARD-SKELETON-FULL-20260709-EVID-A60D10D0378B3BE2,ok_with_candidates,2,
病态窦房结综合征,definition,CARD-SKELETON-FULL-20260709-EVID-78949925460FF46A,ok_with_candidates,3,
病态窦房结综合征,etiology,CARD-SKELETON-FULL-20260709-EVID-6297EAD1750BC3BC,ok_with_candidates,6,
病态窦房结综合征,clinical_manifestation,CARD-SKELETON-FULL-20260709-EVID-191E0C7B4676F623,ok_with_candidates,9,
