subject_name,parent,subject_kind,mapped_code,mapped_entityType,mapping_status,node_upsert,server_match_count
下肢动脉硬化闭塞症,心脏骤停与心脏性猝死,disease_or_topic,DIS-CARD-PAD-LEAD,Disease,server_existing_disease,False,1
不稳定型心绞痛和非 ST 段抬高型心肌梗死,急性冠脉综合征,disease_or_topic,TXTSEC-CARD-B2E03CDC8FB6BAC7,TextbookSection,local_textbook_subject,True,0
主动脉夹层,心脏骤停与心脏性猝死,disease_or_topic,DIS-CARD-AORTA-AD,Disease,server_existing_disease,False,2
主动脉瓣反流,心脏瓣膜病,disease_or_topic,DIS-CARD-VHD-AR,Disease,server_existing_disease,False,1
主动脉瓣狭窄,心脏瓣膜病,disease_or_topic,DIS-CARD-VHD-AS,Disease,server_existing_disease,False,1
二尖瓣反流,心脏瓣膜病,disease_or_topic,DIS-CARD-VHD-MR,Disease,server_existing_disease,False,1
二尖瓣狭窄,心脏瓣膜病,disease_or_topic,DIS-CARD-VHD-MS,Disease,server_existing_disease,False,1
先天性心血管病,第三篇循环系统疾病,category_container,CAT-CARD-CHD,Disease,server_existing_disease,False,1
冠状动脉疾病的其他表现形式,动脉粥样硬化和冠状动脉粥样硬化性心脏病,category_container,TXTSEC-CARD-8F0052D9CD064628,DiseaseCategory,local_textbook_subject,True,0
冠状动脉痉挛,冠状动脉疾病的其他表现形式,disease_or_topic,DIS-CARD-CAD-SPASM,Disease,server_existing_disease,False,2
冠状动脉粥样硬化性心脏病概述,动脉粥样硬化和冠状动脉粥样硬化性心脏病,overview_section,TXTSEC-CARD-FC649C4B20A99470,TextbookSection,local_textbook_subject,True,0
动脉粥样硬化,动脉粥样硬化和冠状动脉粥样硬化性心脏病,disease_or_topic,DIS-CARD-CAD-ATHEROSCLEROSIS,Disease,server_existing_disease,False,2
动脉粥样硬化和冠状动脉粥样硬化性心脏病,第三篇循环系统疾病,category_container,TXTSEC-CARD-1F4863F540B1193A,DiseaseCategory,local_textbook_subject,True,0
原发性高血压,高血压,disease_or_topic,DIS-CARD-HTN-ESSENTIAL,Disease,server_existing_disease,False,1
多瓣膜病,心脏瓣膜病,disease_or_topic,DIS-CARD-VHD-MULTI,Disease,server_existing_disease,False,1
室内传导阻滞,心脏传导阻滞,disease_or_topic,TXTSEC-CARD-F8107AC02A363191,TextbookSection,local_textbook_subject,True,0
室性心动过速,室性心律失常,disease_or_topic,TXTSEC-CARD-93F699D986F4FECD,TextbookSection,local_textbook_subject,True,1
室性心律失常,心律失常,category_container,DIS-CARD-ARR-VA,Disease,server_existing_disease,False,1
室性期前收缩,室性心律失常,disease_or_topic,DIS-CARD-ARR-PVC,Disease,server_existing_disease,False,1
心力衰竭,第三篇循环系统疾病,category_container,CAT-CARD-HF,DiseaseCategory,server_existing_disease_category,False,5
心力衰竭总论,心力衰竭,overview_section,TXTSEC-CARD-28BE9E91E0A6E348,TextbookSection,local_textbook_subject,True,0
心包疾病,第三篇循环系统疾病,category_container,CAT-CARD-PERICARD,DiseaseCategory,server_existing_disease_category,False,2
心包积液及心脏压塞,心包疾病,disease_or_topic,DIS-CARD-PERICARD-EFFUSION,Disease,server_existing_disease,False,1
