序号,层级,父级,名称,docx_start_para,docx_end_para,段落数,是否四大优先范围,pdf_start_page_approx
1,篇,,第三篇,3744,3750,7,否,199
2,章,第三篇循环系统疾病,第一章总论,3751,3755,5,否,199
3,小节/疾病,第一章总论,一、心脏的解剖和生理,3756,3806,51,否,199
4,小节/疾病,第一章总论,二、心血管疾病的诊断,3807,3862,56,否,199
5,小节/疾病,第一章总论,三、心血管疾病的治疗,3863,3904,42,否,199
6,章,第三篇循环系统疾病,第二章心力衰竭,3905,3909,5,是,207
7,节,第二章心力衰竭,第一节心力衰竭总论,3910,3965,56,是,207
8,节,第二章心力衰竭,第二节慢性心力衰竭,3966,4118,153,是,207
9,节,第二章心力衰竭,第三节急性心力衰竭,4119,4228,110,是,207
10,章,第三篇循环系统疾病,第三章心律失常,4229,4232,4,是,221
11,节,第三章心律失常,第一节概述,4233,4313,81,是,221
12,节,第三章心律失常,第二节窦性心律失常,4314,4320,7,是,221
13,小节/疾病,第二节窦性心律失常,一、窦性心动过速,4321,4326,6,是,221
14,小节/疾病,第二节窦性心律失常,二、窦性心动过缓,4327,4332,6,是,221
15,小节/疾病,第二节窦性心律失常,三、窦性停搏,4333,4341,9,是,221
16,小节/疾病,第二节窦性心律失常,四、窦房传导阻滞,4342,4346,5,是,221
17,小节/疾病,第二节窦性心律失常,五、病态窦房结综合征,4347,4360,14,是,221
18,节,第三章心律失常,第三节房性心律失常,4361,4362,2,是,221
19,小节/疾病,第三节房性心律失常,一、房性期前收缩,4363,4370,8,是,221
20,小节/疾病,第三节房性心律失常,二、房性心动过速,4371,4395,25,是,221
21,小节/疾病,第三节房性心律失常,三、心房扑动,4396,4408,13,是,221
22,小节/疾病,第三节房性心律失常,四、心房颤动,4409,4452,44,是,221
23,节,第三章心律失常,第四节房室交界性心律失常,4453,4454,2,是,221
24,小节/疾病,第四节房室交界性心律失常,一、房室交界性期前收缩,4455,4464,10,是,221
25,小节/疾病,第四节房室交界性心律失常,二、房室交界性逸搏与心律,4465,4471,7,是,221
26,小节/疾病,第四节房室交界性心律失常,三、非阵发性房室交界性心动过速,4472,4475,4,是,221
27,小节/疾病,第四节房室交界性心律失常,四、房室交界区相关的折返性心动过速,4476,4547,72,是,221
