subject_name,parent,subject_kind,mapped_code,mapped_entityType,mapping_status,node_upsert,server_match_count
一、冠状动脉痉挛,第五节冠状动脉疾病的其他表现形式,disease_or_subtype,TXTSEC-CARD-6EC6E23B8A0D0BC1,TextbookSection,local_textbook_subject,True,0
一、室性期前收缩,第五节室性心律失常,ecg_defined_arrhythmia,TXTSEC-CARD-92225AD4F40EFF8A,TextbookSection,local_textbook_subject,True,0
一、心脏电复律与电除颤,第八节心律失常的介入治疗和手术治疗,therapy_or_management_section,TXTSEC-CARD-DCD8FAB760ECA3CF,TextbookSection,local_textbook_subject,True,0
一、房室交界性期前收缩,第四节房室交界性心律失常,ecg_defined_arrhythmia,TXTSEC-CARD-BCBC16164DABDE21,TextbookSection,local_textbook_subject,True,0
一、房性期前收缩,第三节房性心律失常,ecg_defined_arrhythmia,TXTSEC-CARD-C501AB420F2E1219,TextbookSection,local_textbook_subject,True,0
一、稳定型心绞痛,第三节慢性冠状动脉综合征,disease_or_subtype,TXTSEC-CARD-BE578D240807E305,TextbookSection,local_textbook_subject,True,0
一、窦性心动过速,第二节窦性心律失常,ecg_defined_arrhythmia,TXTSEC-CARD-57C234DC4C3844E8,TextbookSection,local_textbook_subject,True,0
三、导管消融,第八节心律失常的介入治疗和手术治疗,therapy_or_management_section,TXTSEC-CARD-97267F65B56F497F,TextbookSection,local_textbook_subject,True,0
三、微血管疾病,第五节冠状动脉疾病的其他表现形式,disease_or_subtype,TXTSEC-CARD-A46AD3BBA11C0EA0,TextbookSection,local_textbook_subject,True,0
三、心室扑动与心室颤动,第五节室性心律失常,disease_or_subtype,TXTSEC-CARD-61938AC223534BC2,TextbookSection,local_textbook_subject,True,0
三、心房扑动,第三节房性心律失常,disease_or_subtype,TXTSEC-CARD-A70372EC356F907B,TextbookSection,local_textbook_subject,True,0
三、窦性停搏,第二节窦性心律失常,ecg_defined_arrhythmia,TXTSEC-CARD-D958E3E0D741EB85,TextbookSection,local_textbook_subject,True,0
三、隐匿型冠心病,第三节慢性冠状动脉综合征,disease_or_subtype,TXTSEC-CARD-432C5BDE76D94928,TextbookSection,local_textbook_subject,True,0
三、非阵发性房室交界性心动过速,第四节房室交界性心律失常,ecg_defined_arrhythmia,TXTSEC-CARD-360C79CC52DF8C02,TextbookSection,local_textbook_subject,True,0
二、室性心动过速,第五节室性心律失常,ecg_defined_arrhythmia,TXTSEC-CARD-154A822445B83295,TextbookSection,local_textbook_subject,True,0
二、心肌桥,第五节冠状动脉疾病的其他表现形式,disease_or_subtype,TXTSEC-CARD-5C68F09FFB663007,TextbookSection,local_textbook_subject,True,0
二、心血管植入型电子器械,第八节心律失常的介入治疗和手术治疗,therapy_or_management_section,TXTSEC-CARD-DAC668D3B77F9384,TextbookSection,local_textbook_subject,True,0
二、房室交界性逸搏与心律,第四节房室交界性心律失常,ecg_defined_arrhythmia,TXTSEC-CARD-D595A2928F9215CE,TextbookSection,local_textbook_subject,True,0
二、房性心动过速,第三节房性心律失常,ecg_defined_arrhythmia,TXTSEC-CARD-D8BBB19A58A29A3A,TextbookSection,local_textbook_subject,True,0
二、窦性心动过缓,第二节窦性心律失常,ecg_defined_arrhythmia,TXTSEC-CARD-1A974CC7AA36E335,TextbookSection,local_textbook_subject,True,0
