alias_norm,alias_examples,target_count,targets,source_batches
icd,ICD,54,Procedure:埋藏式心脏复律除颤器:PROC-ICD || Procedure:埋藏式心脏转复除颤器:PROC-CARD-5F23E250AADD || Procedure:植入式心律转复除颤器:PROC-CARD-TEXT-D9A9D30763 || TreatmentPlan:Brugada综合征治疗方案:PLAN-CARD-A977F77F5BC2 || TreatmentPlan:ICD治疗:PLAN-CARD-946BE3CB675F || TreatmentPlan:ST段抬高型心肌梗死治疗方案:PLAN-CARD-46086B93DD2D || TreatmentPlan:不稳定型心绞痛治疗方案:PLAN-CARD-8B4C35522D9A || TreatmentPlan:儿茶酚胺敏感性多形性室性心动过速治疗方案:PLAN-CARD-D4265EE715BD || TreatmentPlan:全心衰竭治疗方案:PLAN-CARD-E34C37595CAA || TreatmentPlan:右心衰竭治疗方案:PLAN-CARD-E843FA63DDCF || TreatmentPlan:室上性心动过速治疗方案:PLAN-CARD-18BAD30E125A || TreatmentPlan:室性心律失常治疗方案:PLAN-CARD-2DBB5F9C858E || TreatmentPlan:室性期前收缩治疗方案:PLAN-CARD-77E2B4A66CCD || TreatmentPlan:射血分数保留的心力衰竭治疗方案:PLAN-CARD-71EEE6F12EA8 || TreatmentPlan:射血分数轻度降低的心力衰竭治疗方案:PLAN-CARD-BC4747CE025F || TreatmentPlan:射血分数降低的心力衰竭治疗方案:PLAN-CARD-4C0507593DD1 || TreatmentPlan:尖端扭转型室性心动过速治疗方案:PLAN-CARD-6162E45256D2 || TreatmentPlan:左心衰竭治疗方案:PLAN-CARD-D0BC88D1FA7D || TreatmentPlan:心力衰竭治疗方案:PLAN-CARD-EFF16DE5C7BC || TreatmentPlan:心室扑动与心室颤动治疗方案:PLAN-CARD-F4DFEE3BA390,00_foundation_skeleton | BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation | BATCH-CARD-CAD-20260623-001 | BATCH-CARD-CM-20260622-001 | BATCH-CARD-HF-20260629-001 | BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter | BATCH-CARD-VA-SCD-20260704-001_室性心律失常心脏性猝死_VA_SCD
手术,手术,50,TreatmentPlan:Brugada综合征治疗方案:PLAN-CARD-A977F77F5BC2 || TreatmentPlan:ST段抬高型心肌梗死治疗方案:PLAN-CARD-46086B93DD2D || TreatmentPlan:不稳定型心绞痛治疗方案:PLAN-CARD-8B4C35522D9A || TreatmentPlan:儿茶酚胺敏感性多形性室性心动过速治疗方案:PLAN-CARD-D4265EE715BD || TreatmentPlan:全心衰竭治疗方案:PLAN-CARD-E34C37595CAA || TreatmentPlan:右心衰竭治疗方案:PLAN-CARD-E843FA63DDCF || TreatmentPlan:室上性心动过速治疗方案:PLAN-CARD-18BAD30E125A || TreatmentPlan:室性心律失常治疗方案:PLAN-CARD-2DBB5F9C858E || TreatmentPlan:室性期前收缩治疗方案:PLAN-CARD-77E2B4A66CCD || TreatmentPlan:射血分数保留的心力衰竭治疗方案:PLAN-CARD-71EEE6F12EA8 || TreatmentPlan:射血分数轻度降低的心力衰竭治疗方案:PLAN-CARD-BC4747CE025F || TreatmentPlan:射血分数降低的心力衰竭治疗方案:PLAN-CARD-4C0507593DD1 || TreatmentPlan:尖端扭转型室性心动过速治疗方案:PLAN-CARD-6162E45256D2 || TreatmentPlan:左心衰竭治疗方案:PLAN-CARD-D0BC88D1FA7D || TreatmentPlan:心力衰竭治疗方案:PLAN-CARD-EFF16DE5C7BC || TreatmentPlan:心室扑动与心室颤动治疗方案:PLAN-CARD-F4DFEE3BA390 || TreatmentPlan:心房扑动治疗方案:PLAN-CARD-85C337BCB2D5 || TreatmentPlan:心房颤动治疗方案:PLAN-CARD-0315A5E784A6 || TreatmentPlan:心肌梗死后心力衰竭治疗方案:PLAN-CARD-019D9CFB289A || TreatmentPlan:心脏性猝死治疗方案:PLAN-CARD-B9AD52AAFDDB,00_foundation_skeleton | BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation | BATCH-CARD-CAD-20260623-001 | BATCH-CARD-CM-20260622-001 | BATCH-CARD-HF-20260629-001 | BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter | BATCH-CARD-VA-SCD-20260704-001_室性心律失常心脏性猝死_VA_SCD
推荐使用,推荐使用,50,TreatmentPlan:Brugada综合征治疗方案:PLAN-CARD-A977F77F5BC2 || TreatmentPlan:ST段抬高型心肌梗死治疗方案:PLAN-CARD-46086B93DD2D || TreatmentPlan:不稳定型心绞痛治疗方案:PLAN-CARD-8B4C35522D9A || TreatmentPlan:儿茶酚胺敏感性多形性室性心动过速治疗方案:PLAN-CARD-D4265EE715BD || TreatmentPlan:全心衰竭治疗方案:PLAN-CARD-E34C37595CAA || TreatmentPlan:右心衰竭治疗方案:PLAN-CARD-E843FA63DDCF || TreatmentPlan:室上性心动过速治疗方案:PLAN-CARD-18BAD30E125A || TreatmentPlan:室性心律失常治疗方案:PLAN-CARD-2DBB5F9C858E || TreatmentPlan:室性期前收缩治疗方案:PLAN-CARD-77E2B4A66CCD || TreatmentPlan:射血分数保留的心力衰竭治疗方案:PLAN-CARD-71EEE6F12EA8 || TreatmentPlan:射血分数轻度降低的心力衰竭治疗方案:PLAN-CARD-BC4747CE025F || TreatmentPlan:射血分数降低的心力衰竭治疗方案:PLAN-CARD-4C0507593DD1 || TreatmentPlan:尖端扭转型室性心动过速治疗方案:PLAN-CARD-6162E45256D2 || TreatmentPlan:左心衰竭治疗方案:PLAN-CARD-D0BC88D1FA7D || TreatmentPlan:心力衰竭治疗方案:PLAN-CARD-EFF16DE5C7BC || TreatmentPlan:心室扑动与心室颤动治疗方案:PLAN-CARD-F4DFEE3BA390 || TreatmentPlan:心房扑动治疗方案:PLAN-CARD-85C337BCB2D5 || TreatmentPlan:心房颤动治疗方案:PLAN-CARD-0315A5E784A6 || TreatmentPlan:心肌梗死后心力衰竭治疗方案:PLAN-CARD-019D9CFB289A || TreatmentPlan:心脏性猝死治疗方案:PLAN-CARD-B9AD52AAFDDB,00_foundation_skeleton | BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation | BATCH-CARD-CAD-20260623-001 | BATCH-CARD-CM-20260622-001 | BATCH-CARD-HF-20260629-001 | BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter | BATCH-CARD-VA-SCD-20260704-001_室性心律失常心脏性猝死_VA_SCD
推荐植入,推荐植入,50,TreatmentPlan:Brugada综合征治疗方案:PLAN-CARD-A977F77F5BC2 || TreatmentPlan:ST段抬高型心肌梗死治疗方案:PLAN-CARD-46086B93DD2D || TreatmentPlan:不稳定型心绞痛治疗方案:PLAN-CARD-8B4C35522D9A || TreatmentPlan:儿茶酚胺敏感性多形性室性心动过速治疗方案:PLAN-CARD-D4265EE715BD || TreatmentPlan:全心衰竭治疗方案:PLAN-CARD-E34C37595CAA || TreatmentPlan:右心衰竭治疗方案:PLAN-CARD-E843FA63DDCF || TreatmentPlan:室上性心动过速治疗方案:PLAN-CARD-18BAD30E125A || TreatmentPlan:室性心律失常治疗方案:PLAN-CARD-2DBB5F9C858E || TreatmentPlan:室性期前收缩治疗方案:PLAN-CARD-77E2B4A66CCD || TreatmentPlan:射血分数保留的心力衰竭治疗方案:PLAN-CARD-71EEE6F12EA8 || TreatmentPlan:射血分数轻度降低的心力衰竭治疗方案:PLAN-CARD-BC4747CE025F || TreatmentPlan:射血分数降低的心力衰竭治疗方案:PLAN-CARD-4C0507593DD1 || TreatmentPlan:尖端扭转型室性心动过速治疗方案:PLAN-CARD-6162E45256D2 || TreatmentPlan:左心衰竭治疗方案:PLAN-CARD-D0BC88D1FA7D || TreatmentPlan:心力衰竭治疗方案:PLAN-CARD-EFF16DE5C7BC || TreatmentPlan:心室扑动与心室颤动治疗方案:PLAN-CARD-F4DFEE3BA390 || TreatmentPlan:心房扑动治疗方案:PLAN-CARD-85C337BCB2D5 || TreatmentPlan:心房颤动治疗方案:PLAN-CARD-0315A5E784A6 || TreatmentPlan:心肌梗死后心力衰竭治疗方案:PLAN-CARD-019D9CFB289A || TreatmentPlan:心脏性猝死治疗方案:PLAN-CARD-B9AD52AAFDDB,00_foundation_skeleton | BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation | BATCH-CARD-CAD-20260623-001 | BATCH-CARD-CM-20260622-001 | BATCH-CARD-HF-20260629-001 | BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter | BATCH-CARD-VA-SCD-20260704-001_室性心律失常心脏性猝死_VA_SCD
植入,植入,50,TreatmentPlan:Brugada综合征治疗方案:PLAN-CARD-A977F77F5BC2 || TreatmentPlan:ST段抬高型心肌梗死治疗方案:PLAN-CARD-46086B93DD2D || TreatmentPlan:不稳定型心绞痛治疗方案:PLAN-CARD-8B4C35522D9A || TreatmentPlan:儿茶酚胺敏感性多形性室性心动过速治疗方案:PLAN-CARD-D4265EE715BD || TreatmentPlan:全心衰竭治疗方案:PLAN-CARD-E34C37595CAA || TreatmentPlan:右心衰竭治疗方案:PLAN-CARD-E843FA63DDCF || TreatmentPlan:室上性心动过速治疗方案:PLAN-CARD-18BAD30E125A || TreatmentPlan:室性心律失常治疗方案:PLAN-CARD-2DBB5F9C858E || TreatmentPlan:室性期前收缩治疗方案:PLAN-CARD-77E2B4A66CCD || TreatmentPlan:射血分数保留的心力衰竭治疗方案:PLAN-CARD-71EEE6F12EA8 || TreatmentPlan:射血分数轻度降低的心力衰竭治疗方案:PLAN-CARD-BC4747CE025F || TreatmentPlan:射血分数降低的心力衰竭治疗方案:PLAN-CARD-4C0507593DD1 || TreatmentPlan:尖端扭转型室性心动过速治疗方案:PLAN-CARD-6162E45256D2 || TreatmentPlan:左心衰竭治疗方案:PLAN-CARD-D0BC88D1FA7D || TreatmentPlan:心力衰竭治疗方案:PLAN-CARD-EFF16DE5C7BC || TreatmentPlan:心室扑动与心室颤动治疗方案:PLAN-CARD-F4DFEE3BA390 || TreatmentPlan:心房扑动治疗方案:PLAN-CARD-85C337BCB2D5 || TreatmentPlan:心房颤动治疗方案:PLAN-CARD-0315A5E784A6 || TreatmentPlan:心肌梗死后心力衰竭治疗方案:PLAN-CARD-019D9CFB289A || TreatmentPlan:心脏性猝死治疗方案:PLAN-CARD-B9AD52AAFDDB,00_foundation_skeleton | BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation | BATCH-CARD-CAD-20260623-001 | BATCH-CARD-CM-20260622-001 | BATCH-CARD-HF-20260629-001 | BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter | BATCH-CARD-VA-SCD-20260704-001_室性心律失常心脏性猝死_VA_SCD
治疗,治疗,50,TreatmentPlan:Brugada综合征治疗方案:PLAN-CARD-A977F77F5BC2 || TreatmentPlan:ST段抬高型心肌梗死治疗方案:PLAN-CARD-46086B93DD2D || TreatmentPlan:不稳定型心绞痛治疗方案:PLAN-CARD-8B4C35522D9A || TreatmentPlan:儿茶酚胺敏感性多形性室性心动过速治疗方案:PLAN-CARD-D4265EE715BD || TreatmentPlan:全心衰竭治疗方案:PLAN-CARD-E34C37595CAA || TreatmentPlan:右心衰竭治疗方案:PLAN-CARD-E843FA63DDCF || TreatmentPlan:室上性心动过速治疗方案:PLAN-CARD-18BAD30E125A || TreatmentPlan:室性心律失常治疗方案:PLAN-CARD-2DBB5F9C858E || TreatmentPlan:室性期前收缩治疗方案:PLAN-CARD-77E2B4A66CCD || TreatmentPlan:射血分数保留的心力衰竭治疗方案:PLAN-CARD-71EEE6F12EA8 || TreatmentPlan:射血分数轻度降低的心力衰竭治疗方案:PLAN-CARD-BC4747CE025F || TreatmentPlan:射血分数降低的心力衰竭治疗方案:PLAN-CARD-4C0507593DD1 || TreatmentPlan:尖端扭转型室性心动过速治疗方案:PLAN-CARD-6162E45256D2 || TreatmentPlan:左心衰竭治疗方案:PLAN-CARD-D0BC88D1FA7D || TreatmentPlan:心力衰竭治疗方案:PLAN-CARD-EFF16DE5C7BC || TreatmentPlan:心室扑动与心室颤动治疗方案:PLAN-CARD-F4DFEE3BA390 || TreatmentPlan:心房扑动治疗方案:PLAN-CARD-85C337BCB2D5 || TreatmentPlan:心房颤动治疗方案:PLAN-CARD-0315A5E784A6 || TreatmentPlan:心肌梗死后心力衰竭治疗方案:PLAN-CARD-019D9CFB289A || TreatmentPlan:心脏性猝死治疗方案:PLAN-CARD-B9AD52AAFDDB,00_foundation_skeleton | BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation | BATCH-CARD-CAD-20260623-001 | BATCH-CARD-CM-20260622-001 | BATCH-CARD-HF-20260629-001 | BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter | BATCH-CARD-VA-SCD-20260704-001_室性心律失常心脏性猝死_VA_SCD
治疗方案,治疗方案,50,TreatmentPlan:Brugada综合征治疗方案:PLAN-CARD-A977F77F5BC2 || TreatmentPlan:ST段抬高型心肌梗死治疗方案:PLAN-CARD-46086B93DD2D || TreatmentPlan:不稳定型心绞痛治疗方案:PLAN-CARD-8B4C35522D9A || TreatmentPlan:儿茶酚胺敏感性多形性室性心动过速治疗方案:PLAN-CARD-D4265EE715BD || TreatmentPlan:全心衰竭治疗方案:PLAN-CARD-E34C37595CAA || TreatmentPlan:右心衰竭治疗方案:PLAN-CARD-E843FA63DDCF || TreatmentPlan:室上性心动过速治疗方案:PLAN-CARD-18BAD30E125A || TreatmentPlan:室性心律失常治疗方案:PLAN-CARD-2DBB5F9C858E || TreatmentPlan:室性期前收缩治疗方案:PLAN-CARD-77E2B4A66CCD || TreatmentPlan:射血分数保留的心力衰竭治疗方案:PLAN-CARD-71EEE6F12EA8 || TreatmentPlan:射血分数轻度降低的心力衰竭治疗方案:PLAN-CARD-BC4747CE025F || TreatmentPlan:射血分数降低的心力衰竭治疗方案:PLAN-CARD-4C0507593DD1 || TreatmentPlan:尖端扭转型室性心动过速治疗方案:PLAN-CARD-6162E45256D2 || TreatmentPlan:左心衰竭治疗方案:PLAN-CARD-D0BC88D1FA7D || TreatmentPlan:心力衰竭治疗方案:PLAN-CARD-EFF16DE5C7BC || TreatmentPlan:心室扑动与心室颤动治疗方案:PLAN-CARD-F4DFEE3BA390 || TreatmentPlan:心房扑动治疗方案:PLAN-CARD-85C337BCB2D5 || TreatmentPlan:心房颤动治疗方案:PLAN-CARD-0315A5E784A6 || TreatmentPlan:心肌梗死后心力衰竭治疗方案:PLAN-CARD-019D9CFB289A || TreatmentPlan:心脏性猝死治疗方案:PLAN-CARD-B9AD52AAFDDB,00_foundation_skeleton | BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation | BATCH-CARD-CAD-20260623-001 | BATCH-CARD-CM-20260622-001 | BATCH-CARD-HF-20260629-001 | BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter | BATCH-CARD-VA-SCD-20260704-001_室性心律失常心脏性猝死_VA_SCD
消融,消融,50,TreatmentPlan:Brugada综合征治疗方案:PLAN-CARD-A977F77F5BC2 || TreatmentPlan:ST段抬高型心肌梗死治疗方案:PLAN-CARD-46086B93DD2D || TreatmentPlan:不稳定型心绞痛治疗方案:PLAN-CARD-8B4C35522D9A || TreatmentPlan:儿茶酚胺敏感性多形性室性心动过速治疗方案:PLAN-CARD-D4265EE715BD || TreatmentPlan:全心衰竭治疗方案:PLAN-CARD-E34C37595CAA || TreatmentPlan:右心衰竭治疗方案:PLAN-CARD-E843FA63DDCF || TreatmentPlan:室上性心动过速治疗方案:PLAN-CARD-18BAD30E125A || TreatmentPlan:室性心律失常治疗方案:PLAN-CARD-2DBB5F9C858E || TreatmentPlan:室性期前收缩治疗方案:PLAN-CARD-77E2B4A66CCD || TreatmentPlan:射血分数保留的心力衰竭治疗方案:PLAN-CARD-71EEE6F12EA8 || TreatmentPlan:射血分数轻度降低的心力衰竭治疗方案:PLAN-CARD-BC4747CE025F || TreatmentPlan:射血分数降低的心力衰竭治疗方案:PLAN-CARD-4C0507593DD1 || TreatmentPlan:尖端扭转型室性心动过速治疗方案:PLAN-CARD-6162E45256D2 || TreatmentPlan:左心衰竭治疗方案:PLAN-CARD-D0BC88D1FA7D || TreatmentPlan:心力衰竭治疗方案:PLAN-CARD-EFF16DE5C7BC || TreatmentPlan:心室扑动与心室颤动治疗方案:PLAN-CARD-F4DFEE3BA390 || TreatmentPlan:心房扑动治疗方案:PLAN-CARD-85C337BCB2D5 || TreatmentPlan:心房颤动治疗方案:PLAN-CARD-0315A5E784A6 || TreatmentPlan:心肌梗死后心力衰竭治疗方案:PLAN-CARD-019D9CFB289A || TreatmentPlan:心脏性猝死治疗方案:PLAN-CARD-B9AD52AAFDDB,00_foundation_skeleton | BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation | BATCH-CARD-CAD-20260623-001 | BATCH-CARD-CM-20260622-001 | BATCH-CARD-HF-20260629-001 | BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter | BATCH-CARD-VA-SCD-20260704-001_室性心律失常心脏性猝死_VA_SCD
用药,用药,50,TreatmentPlan:Brugada综合征治疗方案:PLAN-CARD-A977F77F5BC2 || TreatmentPlan:ST段抬高型心肌梗死治疗方案:PLAN-CARD-46086B93DD2D || TreatmentPlan:不稳定型心绞痛治疗方案:PLAN-CARD-8B4C35522D9A || TreatmentPlan:儿茶酚胺敏感性多形性室性心动过速治疗方案:PLAN-CARD-D4265EE715BD || TreatmentPlan:全心衰竭治疗方案:PLAN-CARD-E34C37595CAA || TreatmentPlan:右心衰竭治疗方案:PLAN-CARD-E843FA63DDCF || TreatmentPlan:室上性心动过速治疗方案:PLAN-CARD-18BAD30E125A || TreatmentPlan:室性心律失常治疗方案:PLAN-CARD-2DBB5F9C858E || TreatmentPlan:室性期前收缩治疗方案:PLAN-CARD-77E2B4A66CCD || TreatmentPlan:射血分数保留的心力衰竭治疗方案:PLAN-CARD-71EEE6F12EA8 || TreatmentPlan:射血分数轻度降低的心力衰竭治疗方案:PLAN-CARD-BC4747CE025F || TreatmentPlan:射血分数降低的心力衰竭治疗方案:PLAN-CARD-4C0507593DD1 || TreatmentPlan:尖端扭转型室性心动过速治疗方案:PLAN-CARD-6162E45256D2 || TreatmentPlan:左心衰竭治疗方案:PLAN-CARD-D0BC88D1FA7D || TreatmentPlan:心力衰竭治疗方案:PLAN-CARD-EFF16DE5C7BC || TreatmentPlan:心室扑动与心室颤动治疗方案:PLAN-CARD-F4DFEE3BA390 || TreatmentPlan:心房扑动治疗方案:PLAN-CARD-85C337BCB2D5 || TreatmentPlan:心房颤动治疗方案:PLAN-CARD-0315A5E784A6 || TreatmentPlan:心肌梗死后心力衰竭治疗方案:PLAN-CARD-019D9CFB289A || TreatmentPlan:心脏性猝死治疗方案:PLAN-CARD-B9AD52AAFDDB,00_foundation_skeleton | BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation | BATCH-CARD-CAD-20260623-001 | BATCH-CARD-CM-20260622-001 | BATCH-CARD-HF-20260629-001 | BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter | BATCH-CARD-VA-SCD-20260704-001_室性心律失常心脏性猝死_VA_SCD
移植,移植,50,TreatmentPlan:Brugada综合征治疗方案:PLAN-CARD-A977F77F5BC2 || TreatmentPlan:ST段抬高型心肌梗死治疗方案:PLAN-CARD-46086B93DD2D || TreatmentPlan:不稳定型心绞痛治疗方案:PLAN-CARD-8B4C35522D9A || TreatmentPlan:儿茶酚胺敏感性多形性室性心动过速治疗方案:PLAN-CARD-D4265EE715BD || TreatmentPlan:全心衰竭治疗方案:PLAN-CARD-E34C37595CAA || TreatmentPlan:右心衰竭治疗方案:PLAN-CARD-E843FA63DDCF || TreatmentPlan:室上性心动过速治疗方案:PLAN-CARD-18BAD30E125A || TreatmentPlan:室性心律失常治疗方案:PLAN-CARD-2DBB5F9C858E || TreatmentPlan:室性期前收缩治疗方案:PLAN-CARD-77E2B4A66CCD || TreatmentPlan:射血分数保留的心力衰竭治疗方案:PLAN-CARD-71EEE6F12EA8 || TreatmentPlan:射血分数轻度降低的心力衰竭治疗方案:PLAN-CARD-BC4747CE025F || TreatmentPlan:射血分数降低的心力衰竭治疗方案:PLAN-CARD-4C0507593DD1 || TreatmentPlan:尖端扭转型室性心动过速治疗方案:PLAN-CARD-6162E45256D2 || TreatmentPlan:左心衰竭治疗方案:PLAN-CARD-D0BC88D1FA7D || TreatmentPlan:心力衰竭治疗方案:PLAN-CARD-EFF16DE5C7BC || TreatmentPlan:心室扑动与心室颤动治疗方案:PLAN-CARD-F4DFEE3BA390 || TreatmentPlan:心房扑动治疗方案:PLAN-CARD-85C337BCB2D5 || TreatmentPlan:心房颤动治疗方案:PLAN-CARD-0315A5E784A6 || TreatmentPlan:心肌梗死后心力衰竭治疗方案:PLAN-CARD-019D9CFB289A || TreatmentPlan:心脏性猝死治疗方案:PLAN-CARD-B9AD52AAFDDB,00_foundation_skeleton | BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation | BATCH-CARD-CAD-20260623-001 | BATCH-CARD-CM-20260622-001 | BATCH-CARD-HF-20260629-001 | BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter | BATCH-CARD-VA-SCD-20260704-001_室性心律失常心脏性猝死_VA_SCD
