alias,alias_norm,canonical_name,entityType,code,source_batch,source_file,source_field
卒中预防路径,卒中预防路径,房性心律失常和卒中预防路径,ClinicalPathway,PATH-CARD-CM-ATRIAL-AF-STROKE-RISK,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,aliases
卒中预防路径,卒中预防路径,房性心律失常和卒中预防路径,ClinicalPathway,PATH-CARD-CM-ATRIAL-AF-STROKE-RISK,BATCH-CARD-CM-20260622-001,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-CM-20260622-001\05_data_instance\nodes_final.jsonl,aliases
卒中风险评估路径,卒中风险评估路径,房性心律失常和卒中预防路径,ClinicalPathway,PATH-CARD-CM-ATRIAL-AF-STROKE-RISK,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,aliases
卒中风险评估路径,卒中风险评估路径,房性心律失常和卒中预防路径,ClinicalPathway,PATH-CARD-CM-ATRIAL-AF-STROKE-RISK,BATCH-CARD-CM-20260622-001,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-CM-20260622-001\05_data_instance\nodes_final.jsonl,aliases
房性心律失常管理路径,房性心律失常管理路径,房性心律失常和卒中预防路径,ClinicalPathway,PATH-CARD-CM-ATRIAL-AF-STROKE-RISK,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,aliases
房性心律失常管理路径,房性心律失常管理路径,房性心律失常和卒中预防路径,ClinicalPathway,PATH-CARD-CM-ATRIAL-AF-STROKE-RISK,BATCH-CARD-CM-20260622-001,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-CM-20260622-001\05_data_instance\nodes_final.jsonl,aliases
SE,se,体循环栓塞,Complication,COMP-CARD-1C6E40E15070,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,abbr
SE,se,体循环栓塞,Complication,COMP-CARD-1C6E40E15070,BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation\05_data_instance\nodes_final.jsonl,abbr
Systemic embolism,systemicembolism,体循环栓塞,Complication,COMP-CARD-1C6E40E15070,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,name_en
Systemic embolism,systemicembolism,体循环栓塞,Complication,COMP-CARD-1C6E40E15070,BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation\05_data_instance\nodes_final.jsonl,name_en
全身性栓塞,全身性栓塞,体循环栓塞,Complication,COMP-CARD-1C6E40E15070,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,aliases
全身性栓塞,全身性栓塞,体循环栓塞,Complication,COMP-CARD-1C6E40E15070,BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation\05_data_instance\nodes_final.jsonl,aliases
外周动脉栓塞,外周动脉栓塞,体循环栓塞,Complication,COMP-CARD-1C6E40E15070,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,aliases
外周动脉栓塞,外周动脉栓塞,体循环栓塞,Complication,COMP-CARD-1C6E40E15070,BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation\05_data_instance\nodes_final.jsonl,aliases
出血倾向,出血倾向,出血,Complication,COMP-CARD-FULLBOOK-F7077FB368,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,aliases
出血倾向,出血倾向,出血,Complication,COMP-CARD-FULLBOOK-F7077FB368,BATCH-CARD-CAD-20260623-001,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-CAD-20260623-001\05_data_instance\nodes_final.jsonl,aliases
diuretic resistance,diureticresistance,利尿剂抵抗,Complication,COMP-CARD-2517B09A02C5,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,aliases
Diuretic resistance,diureticresistance,利尿剂抵抗,Complication,COMP-CARD-2517B09A02C5,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,name_en
diuretic resistance,diureticresistance,利尿剂抵抗,Complication,COMP-CARD-2517B09A02C5,BATCH-CARD-HF-20260629-001,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-HF-20260629-001\05_data_instance\nodes_final.jsonl,aliases
Diuretic resistance,diureticresistance,利尿剂抵抗,Complication,COMP-CARD-2517B09A02C5,BATCH-CARD-HF-20260629-001,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-HF-20260629-001\05_data_instance\nodes_final.jsonl,name_en
DR,dr,利尿剂抵抗,Complication,COMP-CARD-2517B09A02C5,00_foundation_skeleton,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_foundation_skeleton\05_data_instance\nodes_final.jsonl,abbr
