disease_code,disease,entityType,name,canonical_code,duplicate_code,incoming_relations_migrated,outgoing_relations_migrated,incoming_detail,outgoing_detail,status
DIS-CARD-CAD-ACS,急性冠脉综合征,Definition,急性冠脉综合征定义,DEF-CARD-CADREM-ACS-ABE4D268EA,CARD-SKELETON-FULL-20260709-DEFINITION-8A11A000022C1D3E,1,1,"{""has_definition"": 1}","{""supported_by_evidence"": 1}",applied
DIS-CARD-CAD-AMI,急性心肌梗死,Complication,心源性休克,COMP-CARD-2D4A7476D746,COMP-CARD-CADREM-AMI-2D4A7476D7,1,1,"{""may_cause_complication"": 1}","{""supported_by_evidence"": 1}",applied
DIS-CARD-CAD-AMI,急性心肌梗死,DiagnosisCriteria,急性心肌梗死诊断标准,DXC-CARD-547346EE2FED,DXC-CARD-CADREM-AMI-547346EE2F,1,4,"{""has_diagnostic_criteria"": 1}","{""has_diagnostic_component"": 4}",applied
DIS-CARD-CAD-AMI,急性心肌梗死,Exam,冠状动脉CT血管成像,EXAM-CARD-F60922D428D5,EXAM-CARD-CADREM-AMI-F60922D428,1,2,"{""requires_exam"": 1}","{""supported_by_evidence"": 2}",applied
DIS-CARD-CAD-AMI,急性心肌梗死,Exam,心电图,EXAM-ECG,EXAM-CARD-CADREM-AMI-8BA93874D8,1,3,"{""requires_exam"": 1}","{""supported_by_evidence"": 3}",applied
DIS-CARD-CAD-AMI,急性心肌梗死,Exam,超声心动图,EXAM-TTE,EXAM-CARD-CADREM-AMI-53A915B5AC,1,3,"{""requires_exam"": 1}","{""supported_by_evidence"": 3}",applied
DIS-CARD-CAD-AMI,急性心肌梗死,LabTest,肌酸激酶同工酶（CK-MB）,LAB-CARD-960C7CE8E22B,LAB-CARD-CADREM-AMI-CA4C7A8A1F,1,2,"{""requires_lab_test"": 1}","{""lab_test_has_indicator"": 1, ""supported_by_evidence"": 1}",applied
DIS-CARD-CAD-AMI,急性心肌梗死,LabTest,肾功能,LAB-CARD-TEXT-07B39C98F1,LAB-CARD-CADREM-AMI-07B39C98F1,1,3,"{""requires_lab_test"": 1}","{""lab_test_has_indicator"": 1, ""supported_by_evidence"": 2}",applied
DIS-CARD-CAD-AMI,急性心肌梗死,Medication,硝酸酯类药物,MED-CARD-55157DA54154,MED-CARD-CADREM-AMI-55157DA541,1,1,"{""treated_by_medication"": 1}","{""supported_by_evidence"": 1}",applied
DIS-CARD-CAD-AMI,急性心肌梗死,Medication,美托洛尔,MED-CARD-C9175F150C3D,MED-CARD-CADREM-AMI-C9175F150C,1,1,"{""treated_by_medication"": 1}","{""supported_by_evidence"": 1}",applied
