CDSS场景,支撑实体数量,支撑实体类型,正式CDSS关系数,疾病名称,疾病大类,疾病编码,能力判断,证据节点数量
疑似疾病识别,44,Symptom、Sign,0,ST段抬高型心肌梗死,,DIS-CARD-CAD-STEMI,可用于CDSS展示,792
诊断建议,24,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,ST段抬高型心肌梗死,,DIS-CARD-CAD-STEMI,可用于CDSS展示,792
鉴别诊断,8,DifferentialDiagnosis,0,ST段抬高型心肌梗死,,DIS-CARD-CAD-STEMI,可用于CDSS展示,792
推荐检查,9,Exam、ExamIndicator,0,ST段抬高型心肌梗死,,DIS-CARD-CAD-STEMI,可用于CDSS展示,792
推荐检验,10,LabTest、LabTestIndicator,0,ST段抬高型心肌梗死,,DIS-CARD-CAD-STEMI,可用于CDSS展示,792
风险分层,2,RiskStratification,0,ST段抬高型心肌梗死,,DIS-CARD-CAD-STEMI,可展示但需补强,792
治疗方案,10,TreatmentPlan、RecommendationStatement,0,ST段抬高型心肌梗死,,DIS-CARD-CAD-STEMI,可用于CDSS展示,792
药物推荐,38,Medication,0,ST段抬高型心肌梗死,,DIS-CARD-CAD-STEMI,可用于CDSS展示,792
手术/操作推荐,8,Procedure,0,ST段抬高型心肌梗死,,DIS-CARD-CAD-STEMI,可用于CDSS展示,792
禁忌与风险预警,33,Contraindication、ClinicalRule,0,ST段抬高型心肌梗死,,DIS-CARD-CAD-STEMI,可用于CDSS展示,792
随访,2,FollowUp,0,ST段抬高型心肌梗死,,DIS-CARD-CAD-STEMI,可展示但需补强,792
预后/预防,4,Prognosis、Prevention,0,ST段抬高型心肌梗死,,DIS-CARD-CAD-STEMI,可用于CDSS展示,792
并发症管理,13,Complication,0,ST段抬高型心肌梗死,,DIS-CARD-CAD-STEMI,可用于CDSS展示,792
疑似疾病识别,22,Symptom、Sign,0,不稳定型心绞痛,,DIS-CARD-CAD-UA,可用于CDSS展示,353
诊断建议,5,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,不稳定型心绞痛,,DIS-CARD-CAD-UA,可用于CDSS展示,353
鉴别诊断,2,DifferentialDiagnosis,0,不稳定型心绞痛,,DIS-CARD-CAD-UA,可展示但需补强,353
推荐检查,11,Exam、ExamIndicator,0,不稳定型心绞痛,,DIS-CARD-CAD-UA,可用于CDSS展示,353
推荐检验,8,LabTest、LabTestIndicator,0,不稳定型心绞痛,,DIS-CARD-CAD-UA,可用于CDSS展示,353
风险分层,1,RiskStratification,0,不稳定型心绞痛,,DIS-CARD-CAD-UA,可展示但需补强,353
治疗方案,6,TreatmentPlan、RecommendationStatement,0,不稳定型心绞痛,,DIS-CARD-CAD-UA,可用于CDSS展示,353
药物推荐,14,Medication,0,不稳定型心绞痛,,DIS-CARD-CAD-UA,可用于CDSS展示,353
手术/操作推荐,3,Procedure,0,不稳定型心绞痛,,DIS-CARD-CAD-UA,可用于CDSS展示,353
禁忌与风险预警,4,Contraindication、ClinicalRule,0,不稳定型心绞痛,,DIS-CARD-CAD-UA,可用于CDSS展示,353
随访,1,FollowUp,0,不稳定型心绞痛,,DIS-CARD-CAD-UA,可展示但需补强,353
预后/预防,1,Prognosis、Prevention,0,不稳定型心绞痛,,DIS-CARD-CAD-UA,可展示但需补强,353
并发症管理,7,Complication,0,不稳定型心绞痛,,DIS-CARD-CAD-UA,可用于CDSS展示,353
疑似疾病识别,8,Symptom、Sign,0,冠状动脉痉挛,,DIS-CARD-CAD-SPASM,可用于CDSS展示,49
