疾病编码,疾病名称,疾病大类,疾病亚类,关联实体数,证据数,指南数,CDSS决策节点数,正式CDSS关系数,可用场景数,需补强场景数,缺口场景数,大类基线分,交付判断
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,,,1046,792,22,33,0,11,2,0,92.3,可作为样板/测试库
DIS-CARD-CAD-UA,不稳定型心绞痛,,,479,353,15,10,0,9,4,0,84.6,可作为样板/测试库
DIS-CARD-CAD-SPASM,冠状动脉痉挛,,,99,49,0,4,0,6,1,6,50.0,暂不建议作为交付样板
DIS-CARD-CAD-CHD,冠状动脉粥样硬化性心脏病,,,1459,1355,0,6,0,7,0,6,53.8,暂不建议作为交付样板
DIS-CARD-CAD-ATHEROSCLEROSIS,动脉粥样硬化,,,1122,1003,0,5,0,7,2,4,61.5,可参考但需补强
DIS-CARD-CAD-POST-MI-SYNDROME,心肌梗死后综合征,,,31,19,0,1,0,1,4,8,23.1,暂不建议作为交付样板
DIS-CARD-CAD-ACS,急性冠脉综合征,,,1718,1557,23,12,0,10,3,0,88.5,可作为样板/测试库
DIS-CARD-CAD-AMI,急性心肌梗死,,,2023,1780,27,13,0,12,1,0,96.2,可作为样板/测试库
DIS-CARD-CAD-CCS,慢性冠脉综合征,,,591,483,17,7,0,8,5,0,80.8,可作为样板/测试库
DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,,,699,525,22,8,0,10,3,0,88.5,可作为样板/测试库
DIS-CARD-CAD-ICM,缺血性心肌病,,,402,280,17,10,0,10,2,1,84.6,可作为样板/测试库
DIS-CARD-CAD-OLD-MI,陈旧性心肌梗死,,,75,24,9,4,0,5,6,2,61.5,可参考但需补强
DIS-CARD-CAD-SILENT-ISCHEMIA,隐匿性冠心病,,,47,7,2,4,0,5,6,2,61.5,可参考但需补强
DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,,,912,784,19,10,0,10,3,0,88.5,可作为样板/测试库
