code,name,category,subcategory,definition_confidence,definition
DIS-CARD-CAD-ACS,急性冠脉综合征,,,,急性冠脉综合征是一组由急性心肌缺血引起的临床综合征，主要包括不稳定型心绞痛（UA）、非ST 段抬高型心肌梗死（NSTEMI）和 ST 段抬高型心肌梗死（STEMI），冠心病猝死是特殊类型 ACS。
DIS-CARD-CAD-AMI,急性心肌梗死,,,,急性心肌梗死（AMI）是急性冠脉综合征的重要类型，临床上分为5型，其中最常见的是原发冠脉不稳定斑块破裂、糜烂或侵蚀继发血栓形成导致的自发性AMI。
DIS-CARD-CAD-ATHEROSCLEROSIS,动脉粥样硬化,,,,动脉粥样硬化（atherosclerosis）的特点是受累动脉的病变从内膜开始，局部先后发生细胞内外的脂质积聚、纤维组织增生和钙质沉着，病变内可见单核巨噬细胞及其他炎症细胞，并有平滑肌细胞的迁移和增生，大量胶原纤维、弹力纤维和蛋白多糖等结缔组织基质形成，动脉中层也可发生逐渐退变和钙化，在此基础上可发生斑块内出血、糜烂或破裂及继发局部血栓形成。
DIS-CARD-CAD-CCS,慢性冠脉综合征,,,,慢性冠状动脉综合征（CCS）最常见为慢性稳定型劳力性心绞痛和以心功能不全为主要表现的缺血性心肌病，部分处于渡过 ACS 后或行血运重建之后稳定期，有些则为无症状隐匿型冠心病。
DIS-CARD-CAD-CHD,冠状动脉粥样硬化性心脏病,,,,冠状动脉粥样硬化性心脏病（coronary atherosclerotic heart disease）指冠状动脉（冠脉）发生粥样硬化引起管腔狭窄或闭塞，导致心肌缺血、缺氧或坏死而引起的心脏病，简称冠心病（coronary artery disease，CAD；
DIS-CARD-CAD-ICM,缺血性心肌病,,,,缺血性心肌病（ischemic cardiomyopathy，ICM）属于冠心病的一种特殊类型或晚期阶段，临床表现为新发心衰或左心室功能障碍，可伴有各种心律失常，心脏扩大类似扩张型心肌病。
DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,,,,非ST段抬高型心肌梗死（NSTEMI）属于非ST段抬高型急性冠脉综合征，表现为较严重心肌缺血，并伴有心肌损害和心肌坏死标志物升高。
DIS-CARD-CAD-OLD-MI,陈旧性心肌梗死,,,,陈旧性心肌梗死是急性心肌梗死坏死组织逐渐纤维化，并在6～8周形成瘢痕愈合后的状态。
DIS-CARD-CAD-POST-MI-SYNDROME,心肌梗死后综合征,,,,心肌梗死后综合征也称Dressler综合征，是AMI后数周至数月内出现、可反复发生的综合征。
DIS-CARD-CAD-SILENT-ISCHEMIA,隐匿性冠心病,,,,隐匿型冠心病或无症状性冠心病是指没有心绞痛症状，但有心肌缺血客观证据的冠心病。
DIS-CARD-CAD-SPASM,冠状动脉痉挛,,,,冠脉痉挛是一种特殊类型的冠脉疾病。
DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,,,,稳定型心绞痛（stable angina pectoris）也称劳力性心绞痛。
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,,,,STEMI 是指急性心肌缺血性坏死，大多是在冠脉病变的基础上，发生冠脉血供急剧减少或中断，使相应的心肌严重而持久地急性缺血所致。
DIS-CARD-CAD-UA,不稳定型心绞痛,,,,不稳定型心绞痛（UA）属于非ST段抬高型急性冠脉综合征，是有新发心肌缺血（包括静息状态下缺血）但不伴有心肌坏死的临床状态。
DIS-CARD-HF-POST-MI,心肌梗死后心力衰竭,,,conditional,心肌梗死后因心肌细胞死亡、瘢痕形成、心室重构、持续缺血或神经体液激活等机制导致或加重的心力衰竭临床状态，可发生于住院期间或远期随访阶段。
