rule_code,rule_name,disease_code,disease,selected_evidence_code,selected_evidence_name,score,keywords,matched_keywords,status,evidence_excerpt
RULE-CDSS-CAD-NSTEMI-01-01-DIAG,NSTEMI诊断确认规则,DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,EVD-TB-FA6F4156D6A782A15AC3-NSTEMI,《内科学（第10版）》.pdf 第275页证据（SEG-DOC-C0BB559FA2C8448A-275-TB-00099-NSTEMI）,13,心电图/肌钙蛋白/诊断/胸痛/ST段/心肌坏死标志物/缺血/检查/筛查/评估/冠状动脉CTA/负荷/影像,心电图/肌钙蛋白/诊断/胸痛/ST段/缺血/检查/评估/负荷/影像,linked,改变，也可以根据临床表现作出UA的诊断。2. 连续心电监护 一过性急性心肌缺血并不一定表现为胸痛，出现胸痛前就可发生心肌缺血。连续心电监测可发现无症状或心绞痛发作时ST段改变。连续24小时心电监测发现有85%～90%的心肌缺血可不伴有心绞痛。3. 冠脉造影和其他侵入性检查 冠脉造影能提供详细的血管相关信息，可明确诊断、指导治疗并评价预后。在长期稳定型心绞痛基
RULE-CDSS-CAD-NSTEMI-03-01-INVASIVE,NSTEMI早期侵入策略规则,DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,EVD-TB-FA6F4156D6A782A15AC3-NSTEMI,《内科学（第10版）》.pdf 第275页证据（SEG-DOC-C0BB559FA2C8448A-275-TB-00099-NSTEMI）,16,风险/分层/GRACE/TIMI/Killip/高危/危险/PCI/介入/血运重建/再灌注/冠脉造影/直接PCI/侵入策略/检查/筛查/评估/冠状动脉CTA/负荷/影像/缺血,风险/分层/GRACE/危险/血运重建/冠脉造影/检查/评估/负荷/影像/缺血,linked,改变，也可以根据临床表现作出UA的诊断。2. 连续心电监护 一过性急性心肌缺血并不一定表现为胸痛，出现胸痛前就可发生心肌缺血。连续心电监测可发现无症状或心绞痛发作时ST段改变。连续24小时心电监测发现有85%～90%的心肌缺血可不伴有心绞痛。3. 冠脉造影和其他侵入性检查 冠脉造影能提供详细的血管相关信息，可明确诊断、指导治疗并评价预后。在长期稳定型心绞痛基
RULE-CDSS-CAD-NSTEMI-04-01-ANTITHROMBOTIC,NSTEMI抗栓治疗规则,DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,EVD-TB-6091ABE9D70256812150-NSTEMI,《内科学（第10版）》.pdf 第277页证据（SEG-DOC-C0BB559FA2C8448A-277-TB-00116-NSTEMI）,17,抗栓/抗血小板/抗凝/出血/禁忌/阿司匹林/P2Y12/检查/筛查/评估/冠状动脉CTA/负荷/影像/缺血/药物/治疗/适应证/心绞痛,抗血小板/抗凝/出血/禁忌/阿司匹林/P2Y12/评估/负荷/缺血/药物/治疗/心绞痛,linked,建议选择具有心脏β1受体选择性的药物。艾司洛尔是一种快速作用的β受体拮抗剂，可静脉使用，安全而有效，甚至可用于左心功能减退的病人，药物作用在停药后20分钟内消失。口服β受体拮抗剂剂量应个体化，调整病人安静心率50～60次 / 分。β受体拮抗剂不单独用于冠脉痉挛。（3） 钙通道阻滞剂：足量β受体拮抗剂与硝酸酯类药物治疗后仍不能控制缺血症状的病人可口服长效钙通道
RULE-CDSS-CAD-NSTEMI-02-01-RISK,NSTEMI风险分层规则,DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,EVD-TB-FA6F4156D6A782A15AC3-NSTEMI,《内科学（第10版）》.pdf 第275页证据（SEG-DOC-C0BB559FA2C8448A-275-TB-00099-NSTEMI）,14,心电图/肌钙蛋白/诊断/胸痛/ST段/心肌坏死标志物/缺血/风险/分层/GRACE/TIMI/Killip/高危/危险,心电图/肌钙蛋白/诊断/胸痛/ST段/缺血/风险/分层/GRACE/危险,linked,改变，也可以根据临床表现作出UA的诊断。2. 连续心电监护 一过性急性心肌缺血并不一定表现为胸痛，出现胸痛前就可发生心肌缺血。连续心电监测可发现无症状或心绞痛发作时ST段改变。连续24小时心电监测发现有85%～90%的心肌缺血可不伴有心绞痛。3. 冠脉造影和其他侵入性检查 冠脉造影能提供详细的血管相关信息，可明确诊断、指导治疗并评价预后。在长期稳定型心绞痛基
RULE-CDSS-CAD-ACS-03-01-ANTITHROMBOTIC,ACS抗栓治疗规则,DIS-CARD-CAD-ACS,急性冠脉综合征,EVD-BDE2D5AD84E57883BF01-ACS,经皮冠状动脉介入治疗指南（2025）.pdf 第13页证据（SEG-DOC-99DE8941F1F5EDF3-13-GL-00056-ACS）,18,抗栓/抗血小板/抗凝/出血/禁忌/阿司匹林/P2Y12/检查/筛查/评估/冠状动脉CTA/负荷/影像/缺血/药物/治疗/适应证/心绞痛,抗栓/抗血小板/抗凝/出血/禁忌/阿司匹林/P2Y12/负荷/影像/缺血/治疗,linked,如行溶栓治疗，则P2Y12受体拮抗剂应使用氯吡格雷，且负荷量为300mg［205⁃206］急诊PCI术中，如病变血栓负荷重或发生冠状动脉无复流或支架内血栓时，应考虑使用GPIⅡaC⁃EO强效DAPT中，推荐低剂量（75~100Pressmg）阿司匹林；如替格瑞洛有禁忌证或无法获得，则使用氯吡格雷［206］ⅠA对于严重出血高危患者，DAPT应降阶为3个月，再改
RULE-CDSS-CAD-ACS-03-02-REVASC,ACS血运重建评估规则,DIS-CARD-CAD-ACS,急性冠脉综合征,EVD-TB-B502521FE96130729F36-ACS,《内科学（第10版）》.pdf 第278页证据（SEG-DOC-C0BB559FA2C8448A-278-TB-00118-ACS）,15,风险/分层/GRACE/TIMI/Killip/高危/危险/PCI/介入/血运重建/再灌注/冠脉造影/直接PCI/侵入策略/检查/筛查/评估/冠状动脉CTA/负荷/影像/缺血,风险/高危/危险/PCI/介入/血运重建/冠脉造影/检查/评估/影像/缺血,linked,物作为首选，建议使用最大可耐受剂量。单用他汀类药物不能达标或不耐受者，可以联合使用胆固醇吸收抑制剂，或PCSK9抑制剂，如果病人基线LDL-C水平较高，预估他汀类药物单药不能达标者，也可起始就采用联合降脂方案。5. RAAS抑制剂 长期应用RAAS抑制剂（包括ACEI、ARB或ARNI）能降低心血管事件发生率，如果不存在低血压或其他已知的禁忌证，应该在24小
RULE-CDSS-CAD-ACS-02-01-RISK,ACS分型和风险分层规则,DIS-CARD-CAD-ACS,急性冠脉综合征,EVD-E7A0FE717BA448A82012-ACS,中国 冠状动脉粥样硬化性心脏病猝死2024.pdf 第12页证据（SEG-DOC-F1C8C5C1085BEDAF-12-GL-00062-ACS）,10,心电图/肌钙蛋白/诊断/胸痛/ST段/心肌坏死标志物/缺血/风险/分层/GRACE/TIMI/Killip/高危/危险,心电图/诊断/胸痛/缺血/风险/分层/高危/危险,linked,注：AED，自动体外除颤仪；CPR，心肺复苏图2CPR操作步骤流程图在应急使用情况下的现场人员能帮助实施急救。强在社区卫生服务中心、乡镇卫生院及村卫生所的四、心电远程监测系统胸痛救治单元及救治点的建设，要求其所有工作人心电远程监测适用于：（1）有心悸、胸闷、疲劳、员掌握SCD的识别、CPR、基本急救药物的使用等。在家庭、基层场地、基层医疗机构实施猝死抢救的乏
RULE-CDSS-CAD-ACS-01-01-ECG-TROP,ACS首诊心电图与肌钙蛋白规则,DIS-CARD-CAD-ACS,急性冠脉综合征,EVD-TB-3BBEC2D46A322B320230-ACS,《内科学（第10版）》.pdf 第265页证据（SEG-DOC-C0BB559FA2C8448A-265-TB-00049-ACS）,9,心电图/肌钙蛋白/诊断/胸痛/ST段/心肌坏死标志物/缺血,心电图/肌钙蛋白/诊断/胸痛/ST段/缺血,linked,4. 持续时间 一般持续数分钟至十余分钟，多为3～5分钟，不超过半小时。5. 缓解方式 一般在停止原来诱发症状的活动后即可缓解；硝酸甘油等快速起效的硝酸酯类药物舌下含服或喷吸也能在几分钟内使之缓解。（二） 体征 平时一般无异常体征。心绞痛发作时常见心率增快、血压升高、表情焦虑、皮肤冷或出汗，有时出现第四或第三心音奔马律。可有暂时性心尖部收缩期杂音，是因乳头肌
RULE-CDSS-CAD-CCS-03-01-REVASC,CCS血运重建评估规则,DIS-CARD-CAD-CCS,慢性冠脉综合征,EVD-A036A5491CFE442C9320-CCS,稳定性冠心病诊断与治疗指南 2018.pdf 第5页证据（SEG-DOC-63C1CE632EA42314-5-GL-00015-CCS）,12,风险/分层/GRACE/TIMI/Killip/高危/危险/PCI/介入/血运重建/再灌注/冠脉造影/直接PCI/侵入策略/检查/筛查/评估/冠状动脉CTA/负荷/影像/缺血,风险/分层/高危/危险/检查/评估/负荷/缺血,linked,负荷超声心动图异常≥3个左心室节段）危险分层提示高危，为改善预后考虑行血中风险：1%≤缺血面积≤10%运重建时，建议行CAG（必要时行FFR定）来进行危险分层测低风险：无心肌缺血如果无创性检查不能明确诊断，或不同无创高风险：重要供血部位的冠状动脉高度狭窄（三支ⅡaC-CTA血管近段狭窄，尤其是前降支近段狭窄，左主干性检查手段结果出现矛盾，应考虑行CAG病变）
RULE-CDSS-CAD-CCS-02-01-ANTIANGINAL,CCS抗心绞痛治疗规则,DIS-CARD-CAD-CCS,慢性冠脉综合征,EVD-98C0FDA2F53B1132E2DF-CCS,冠状动脉粥样硬化性心脏病患者药物治疗管理路径专家共识_周洋.pdf 第6页证据（SEG-DOC-EC5A88A34A19CF0B-6-GL-00007-CCS）,7,药物/治疗/禁忌/适应证/心绞痛,药物/治疗/禁忌/心绞痛,linked,对于既往有心肌梗死病史且存在高缺血风险的患者，导，如通过用药指导让患者充分了解药物治疗方案以若12个月内耐受DAPT且无出血并发症，可考虑在提高服药意识，借助药盒、用药提醒工具，求助亲人朋阿司匹林基础上给予替格瑞洛60mg每日2次的延友提醒服药等形式，多方面改善患者依从性。长DAPT方案，最长可达36个月，治疗期间严密监测3.6　经济性有无出血情况［6，19
