CDSS场景,支撑实体数量,支撑实体类型,正式CDSS关系数,疾病名称,疾病大类,疾病编码,能力判断,证据节点数量
疑似疾病识别,5,Symptom、Sign,0,全心衰竭,,DIS-CARD-HF-BIVENTRICULAR,可用于CDSS展示,17
诊断建议,5,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,全心衰竭,,DIS-CARD-HF-BIVENTRICULAR,可用于CDSS展示,17
鉴别诊断,0,DifferentialDiagnosis,0,全心衰竭,,DIS-CARD-HF-BIVENTRICULAR,缺口,17
推荐检查,3,Exam、ExamIndicator,0,全心衰竭,,DIS-CARD-HF-BIVENTRICULAR,可用于CDSS展示,17
推荐检验,0,LabTest、LabTestIndicator,0,全心衰竭,,DIS-CARD-HF-BIVENTRICULAR,缺口,17
风险分层,0,RiskStratification,0,全心衰竭,,DIS-CARD-HF-BIVENTRICULAR,缺口,17
治疗方案,1,TreatmentPlan、RecommendationStatement,0,全心衰竭,,DIS-CARD-HF-BIVENTRICULAR,可展示但需补强,17
药物推荐,0,Medication,0,全心衰竭,,DIS-CARD-HF-BIVENTRICULAR,缺口,17
手术/操作推荐,0,Procedure,0,全心衰竭,,DIS-CARD-HF-BIVENTRICULAR,缺口,17
禁忌与风险预警,4,Contraindication、ClinicalRule,0,全心衰竭,,DIS-CARD-HF-BIVENTRICULAR,可用于CDSS展示,17
随访,1,FollowUp,0,全心衰竭,,DIS-CARD-HF-BIVENTRICULAR,可展示但需补强,17
预后/预防,1,Prognosis、Prevention,0,全心衰竭,,DIS-CARD-HF-BIVENTRICULAR,可展示但需补强,17
并发症管理,1,Complication,0,全心衰竭,,DIS-CARD-HF-BIVENTRICULAR,可展示但需补强,17
疑似疾病识别,5,Symptom、Sign,0,右心衰竭,,DIS-CARD-HF-RIGHT,可用于CDSS展示,164
诊断建议,6,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,右心衰竭,,DIS-CARD-HF-RIGHT,可用于CDSS展示,164
鉴别诊断,0,DifferentialDiagnosis,0,右心衰竭,,DIS-CARD-HF-RIGHT,缺口,164
推荐检查,3,Exam、ExamIndicator,0,右心衰竭,,DIS-CARD-HF-RIGHT,可用于CDSS展示,164
推荐检验,0,LabTest、LabTestIndicator,0,右心衰竭,,DIS-CARD-HF-RIGHT,缺口,164
风险分层,1,RiskStratification,0,右心衰竭,,DIS-CARD-HF-RIGHT,可展示但需补强,164
治疗方案,1,TreatmentPlan、RecommendationStatement,0,右心衰竭,,DIS-CARD-HF-RIGHT,可展示但需补强,164
药物推荐,1,Medication,0,右心衰竭,,DIS-CARD-HF-RIGHT,可展示但需补强,164
手术/操作推荐,0,Procedure,0,右心衰竭,,DIS-CARD-HF-RIGHT,缺口,164
