疾病编码,疾病名称,疾病大类,疾病亚类,关联实体数,证据数,指南数,CDSS决策节点数,正式CDSS关系数,可用场景数,需补强场景数,缺口场景数,大类基线分,交付判断
DIS-CARD-HF-BIVENTRICULAR,全心衰竭,,,43,17,4,5,0,4,4,5,46.2,暂不建议作为交付样板
DIS-CARD-HF-RIGHT,右心衰竭,,,200,164,9,5,0,4,6,3,53.8,暂不建议作为交付样板
DIS-CARD-HF-HFpEF,射血分数保留的心力衰竭,,,218,174,11,5,0,5,4,4,53.8,暂不建议作为交付样板
DIS-CARD-HF-HFmrEF,射血分数轻度降低的心力衰竭,,,73,36,8,5,0,5,4,4,53.8,暂不建议作为交付样板
DIS-CARD-HF-HFrEF,射血分数降低的心力衰竭,,,189,147,12,5,0,5,4,4,53.8,暂不建议作为交付样板
DIS-CARD-HF-LEFT,左心衰竭,,,176,140,8,5,0,5,4,4,53.8,暂不建议作为交付样板
DIS-CARD-HF,心力衰竭,,,3207,3051,18,12,0,10,3,0,88.5,可作为样板/测试库
DIS-CARD-HF-POST-MI,心肌梗死后心力衰竭,,,52,27,1,5,0,4,4,5,46.2,暂不建议作为交付样板
DIS-CARD-HF-AHF,急性心力衰竭,,,398,280,12,10,0,9,2,2,76.9,可参考但需补强
DIS-CARD-HF-CHF,慢性心力衰竭,,,443,308,13,15,0,8,4,1,76.9,可参考但需补强
DIS-CARD-HF-DIALYSIS-CHF,透析患者慢性心力衰竭,,,49,21,1,5,0,5,4,4,53.8,暂不建议作为交付样板
