CDSS场景,支撑实体数量,支撑实体类型,正式CDSS关系数,疾病名称,疾病大类,疾病编码,能力判断,证据节点数量
疑似疾病识别,8,Symptom、Sign,0,Brugada综合征,,DIS-CARD-ARR-BRUGADA,可用于CDSS展示,91
诊断建议,5,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,Brugada综合征,,DIS-CARD-ARR-BRUGADA,可用于CDSS展示,91
鉴别诊断,0,DifferentialDiagnosis,0,Brugada综合征,,DIS-CARD-ARR-BRUGADA,缺口,91
推荐检查,8,Exam、ExamIndicator,0,Brugada综合征,,DIS-CARD-ARR-BRUGADA,可用于CDSS展示,91
推荐检验,0,LabTest、LabTestIndicator,0,Brugada综合征,,DIS-CARD-ARR-BRUGADA,缺口,91
风险分层,1,RiskStratification,0,Brugada综合征,,DIS-CARD-ARR-BRUGADA,可展示但需补强,91
治疗方案,6,TreatmentPlan、RecommendationStatement,0,Brugada综合征,,DIS-CARD-ARR-BRUGADA,可用于CDSS展示,91
药物推荐,8,Medication,0,Brugada综合征,,DIS-CARD-ARR-BRUGADA,可用于CDSS展示,91
手术/操作推荐,5,Procedure,0,Brugada综合征,,DIS-CARD-ARR-BRUGADA,可用于CDSS展示,91
禁忌与风险预警,4,Contraindication、ClinicalRule,0,Brugada综合征,,DIS-CARD-ARR-BRUGADA,可用于CDSS展示,91
随访,1,FollowUp,0,Brugada综合征,,DIS-CARD-ARR-BRUGADA,可展示但需补强,91
预后/预防,1,Prognosis、Prevention,0,Brugada综合征,,DIS-CARD-ARR-BRUGADA,可展示但需补强,91
并发症管理,3,Complication,0,Brugada综合征,,DIS-CARD-ARR-BRUGADA,可用于CDSS展示,91
疑似疾病识别,6,Symptom、Sign,0,一度房室传导阻滞,,DIS-CARD-ARR-AVB1,可用于CDSS展示,25
诊断建议,5,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,一度房室传导阻滞,,DIS-CARD-ARR-AVB1,可用于CDSS展示,25
鉴别诊断,0,DifferentialDiagnosis,0,一度房室传导阻滞,,DIS-CARD-ARR-AVB1,缺口,25
推荐检查,3,Exam、ExamIndicator,0,一度房室传导阻滞,,DIS-CARD-ARR-AVB1,可用于CDSS展示,25
