CDSS决策节点数,ClinicalRule,Complication,Contraindication,Definition,DiagnosisCriteria,DiagnosisCriteriaComponent,DifferentialDiagnosis,Epidemiology,Etiology,Evidence,Exam,ExamIndicator,FollowUp,Guideline,LabTest,LabTestIndicator,Medication,Pathophysiology,Prevention,Procedure,Prognosis,RecommendationStatement,RiskStratification,Sign,Symptom,TreatmentPlan,formal_cdss_ready,临床审核状态,关系数,关联实体数,定义是否存在,指南数,正式CDSS关系数,疾病亚类,疾病名称,疾病大类,疾病编码,证据数
10,4,3,0,0,1,0,0,0,2,91,8,0,1,5,0,0,8,1,0,5,1,0,1,4,4,6,True,clinical_ready,161,159,是,5,0,,Brugada综合征,,DIS-CARD-ARR-BRUGADA,91
5,4,1,0,0,1,0,0,0,1,25,3,0,1,4,0,0,0,0,0,0,1,0,0,1,5,1,True,clinical_ready,53,52,是,4,0,,一度房室传导阻滞,,DIS-CARD-ARR-AVB1,25
5,4,1,0,0,1,0,0,0,1,61,2,0,1,4,0,0,1,0,0,0,1,0,0,2,5,1,True,clinical_ready,90,89,是,4,0,,三度房室传导阻滞,,DIS-CARD-ARR-AVB3,61
5,4,1,0,0,1,0,0,0,1,8,1,0,1,3,0,0,0,0,0,0,1,0,0,1,1,1,True,clinical_ready,29,28,是,3,0,,二度房室传导阻滞,,DIS-CARD-ARR-AVB2,8
8,4,4,0,0,1,0,0,0,2,179,9,0,1,4,0,0,4,1,0,6,1,0,1,3,4,4,True,clinical_ready,247,245,是,4,0,,儿茶酚胺敏感性多形性室性心动过速,,DIS-CARD-ARR-CPVT,179
9,4,6,0,0,1,0,6,0,1,213,5,0,1,7,2,0,6,0,0,4,1,0,0,2,10,5,True,clinical_ready,288,287,是,7,0,,室上性心动过速,,DIS-CARD-ARR-SVT,213
9,4,3,0,0,1,0,0,0,1,197,8,0,1,5,2,0,10,1,0,6,1,0,1,6,8,5,True,clinical_ready,276,275,是,5,0,,室性心律失常,,DIS-CARD-ARR-VA,197
13,4,7,0,1,1,1,0,0,10,604,9,0,1,5,8,0,14,3,0,7,1,0,1,15,15,9,True,clinical_ready,741,739,是,5,0,,室性期前收缩,,DIS-CARD-ARR-PVC,604
9,4,2,0,0,1,0,0,0,1,75,6,0,1,5,2,0,11,0,0,6,1,0,1,1,4,5,True,clinical_ready,141,140,是,5,0,,尖端扭转型室性心动过速,,DIS-CARD-ARR-TDP,75
16,5,8,0,1,1,3,1,0,4,903,10,0,1,5,6,0,15,3,0,11,1,0,1,15,14,11,True,clinical_ready,1044,1042,是,5,0,,心室扑动与心室颤动,,DIS-CARD-ARR-VF,903
10,4,12,0,1,1,1,4,0,6,664,6,0,1,7,6,0,15,2,0,9,1,0,0,14,13,6,True,clinical_ready,799,797,是,7,0,,心房扑动,,DIS-CARD-ARR-AFL,664
