disease_code,disease_name,entity_type,evidence_levels,evidence_texts,guideline_names,node_code,node_name,pages,recommendation_levels
DIS-CARD-ARR-AF,心房颤动,ClinicalRule,['未分级/指南未显式标注'],[],[],RULE-CDSS-AF-ARR-AF-03-01-TREAT,心房颤动治疗决策阶段规则,[],['未分级/指南未显式标注']
DIS-CARD-ARR-AF,心房颤动,ClinicalRule,['未分级/指南未显式标注'],[],[],RULE-CDSS-AF-ARR-AF-01-01-DIAG,心房颤动诊断确认阶段规则,[],['未分级/指南未显式标注']
DIS-CARD-ARR-AF,心房颤动,ClinicalRule,['C'],[],[],RULE-CDSS-AF-ARR-AF-04-01-FOLLOW,心房颤动随访管理阶段规则,[],['Ⅱa']
DIS-CARD-ARR-AF,心房颤动,ClinicalRule,['未分级/指南未显式标注'],[],[],RULE-CDSS-AF-ARR-AF-02-01-RISK,心房颤动风险分层阶段规则,[],['未分级/指南未显式标注']
DIS-CARD-ARR-AF,心房颤动,DiagnosisCriteria,[],[],[],DXC-CARD-5996B55AA97D,心房颤动诊断标准,[],[]
DIS-CARD-ARR-AF,心房颤动,DifferentialDiagnosis,[],[],[],DDX-CARD-AF-SVT,室上性心动过速,[],[]
DIS-CARD-ARR-AF,心房颤动,DifferentialDiagnosis,[],[],[],DDX-CARD-ARR-AFL,心房扑动,[],[]
DIS-CARD-ARR-AF,心房颤动,DifferentialDiagnosis,[],[],[],DDX-CARD-AF-AT,房性心动过速,[],[]
DIS-CARD-ARR-AF,心房颤动,Medication,[],[],[],CARD-SKELETON-20260709-MEDICATION-DDAA1C07D618EDC7,β受体拮抗剂,[],[]
DIS-CARD-ARR-AF,心房颤动,Medication,[],[],[],MED-BETA-BLOCKER,β受体阻滞剂,[],[]
DIS-CARD-ARR-AF,心房颤动,Medication,[],[],[],MED-CARD-DAE0F0B68F1D,他汀类药物,[],[]
DIS-CARD-ARR-AF,心房颤动,Medication,[],[],[],MED-CARD-02BB82DF8F9A,低分子肝素,[],[]
DIS-CARD-ARR-AF,心房颤动,Medication,[],[],[],MED-CARD-0E77096BF3B6,决奈达隆,[],[]
DIS-CARD-ARR-AF,心房颤动,Medication,[],[],[],MED-CARD-38524B4E5194,利伐沙班,[],[]
DIS-CARD-ARR-AF,心房颤动,Medication,[],[],[],MED-DIURETIC,利尿剂,[],[]
DIS-CARD-ARR-AF,心房颤动,Medication,[],[],[],MED-CARD-81B5F958C0F3,华法林,[],[]
DIS-CARD-ARR-AF,心房颤动,Medication,[],[],[],MED-CARD-0401DB9741D8,地尔硫卓,[],[]
DIS-CARD-ARR-AF,心房颤动,Medication,[],[],[],MED-CARD-62498B0FBDC2,地高辛,[],[]
DIS-CARD-ARR-AF,心房颤动,Medication,[],[],[],MED-CARD-TEXT-EE219280A7,抗凝药物,[],[]
DIS-CARD-ARR-AF,心房颤动,Medication,[],[],[],MED-CARD-TEXT-4E798D0AB2,抗血小板药物,[],[]
DIS-CARD-ARR-AF,心房颤动,Medication,[],[],[],MED-CARD-0D88ECB6525C,普罗帕酮,[],[]
DIS-CARD-ARR-AF,心房颤动,Medication,[],[],[],MED-CARD-A49408D27901,普通肝素,[],[]
