疾病编码,疾病名称,疾病大类,疾病亚类,关联实体数,证据数,指南数,CDSS决策节点数,正式CDSS关系数,可用场景数,需补强场景数,缺口场景数,大类基线分,交付判断
DIS-CARD-CM-ATRIAL,心房心肌病,,,29,5,4,3,0,2,7,4,42.3,暂不建议作为交付样板
DIS-CARD-CM-MYOCARDITIS,心肌炎,,,718,601,0,7,0,8,1,4,65.4,可参考但需补强
DIS-CARD-CM-DCM,扩张型心肌病,,,883,721,19,12,0,10,3,0,88.5,可作为样板/测试库
DIS-CARD-CM-FABRY,法布雷病心肌病,,,34,10,2,3,0,3,5,5,42.3,暂不建议作为交付样板
DIS-CARD-CM-AMYLOID,淀粉样变心肌病,,,111,69,11,3,0,3,7,3,50.0,暂不建议作为交付样板
DIS-CARD-CM-HCM,肥厚型心肌病,,,1050,906,20,8,0,8,5,0,80.8,可作为样板/测试库
DIS-CARD-CM-ABVC,致心律失常性双心室心肌病,,,35,9,2,4,0,2,9,2,50.0,暂不建议作为交付样板
DIS-CARD-CM-ARVC,致心律失常性右心室心肌病,,,539,436,12,4,0,8,4,1,76.9,可参考但需补强
DIS-CARD-CM-ALVC,致心律失常性左心室心肌病,,,59,27,5,3,0,3,8,2,53.8,暂不建议作为交付样板
DIS-CARD-CM-ACM,致心律失常性心肌病,,,106,59,8,5,0,5,7,1,65.4,可参考但需补强
DIS-CARD-CM-RCM,限制型心肌病,,,377,265,15,8,0,9,3,1,80.8,可作为样板/测试库
DIS-CARD-CM-NDLVCM,非扩张型左心室心肌病,,,147,101,5,5,0,5,5,3,57.7,暂不建议作为交付样板
