code,name,disease_category,disease_subcategory,formal_cdss_ready,clinical_review_status
DIS-CARD-CAD-ICM,缺血性心肌病,,,False,pending_clinical_review
DIS-CARD-CM-ABVC,致心律失常性双心室心肌病,,,False,pending_clinical_review
DIS-CARD-CM-ACM,致心律失常性心肌病,,,False,pending_clinical_review
DIS-CARD-CM-ALVC,致心律失常性左心室心肌病,,,False,pending_clinical_review
DIS-CARD-CM-AMYLOID,淀粉样变心肌病,,,False,pending_clinical_review
DIS-CARD-CM-ARVC,致心律失常性右心室心肌病,,,False,pending_clinical_review
DIS-CARD-CM-ATRIAL,心房心肌病,,,False,pending_clinical_review
DIS-CARD-CM-DCM,扩张型心肌病,,,False,pending_clinical_review
DIS-CARD-CM-FABRY,法布雷病心肌病,,,False,pending_clinical_review
DIS-CARD-CM-HCM,肥厚型心肌病,,,False,pending_clinical_review
DIS-CARD-CM-MYOCARDITIS,心肌炎,,,False,pending_clinical_review
DIS-CARD-CM-NDLVCM,非扩张型左心室心肌病,,,False,pending_clinical_review
DIS-CARD-CM-RCM,限制型心肌病,,,False,pending_clinical_review
