disease_code,disease,code,name,rule_text,has_evidence
DIS-CARD-CM-ABVC,致心律失常性双心室心肌病,RULE-CDSS-CM-ABVC-01-01-DIAG,ABVC诊断确认规则,左右室受累、室性心律失常或家族史。,no
DIS-CARD-CM-ABVC,致心律失常性双心室心肌病,RULE-CDSS-CM-ABVC-02-01-TREAT,ABVC风险和治疗规则,ABVC伴室性心律失常、晕厥、心室功能异常或家族猝死史。,no
DIS-CARD-CM-ACM,致心律失常性心肌病,RULE-CDSS-CM-ACM-03-01-TREAT,ACM治疗与随访规则,ACM合并心律失常或心室功能异常。,no
DIS-CARD-CM-ACM,致心律失常性心肌病,RULE-CDSS-CM-ACM-02-01-RISK,ACM猝死风险规则,ACM确诊伴室性心律失常、晕厥、家族猝死或心室功能下降。,no
DIS-CARD-CM-ACM,致心律失常性心肌病,RULE-CDSS-CM-ACM-01-01-DIAG,ACM诊断和谱系分型规则,室性心律失常、晕厥、家族史或右/左室受累。,no
DIS-CARD-CM-ALVC,致心律失常性左心室心肌病,RULE-CDSS-CM-ALVC-01-01-DIAG,ALVC诊断确认规则,左室非缺血性LGE、室性心律失常或家族史。,no
DIS-CARD-CM-ALVC,致心律失常性左心室心肌病,RULE-CDSS-CM-ALVC-02-01-TREAT,ALVC风险和治疗规则,ALVC合并LVEF下降、NSVT、晕厥或LGE范围较大。,no
DIS-CARD-CM-AMYLOID,淀粉样变心肌病,RULE-CDSS-CM-AMYLOID-02-01-TREAT,淀粉样变心肌病治疗管理规则,淀粉样变心肌病确诊或高度疑似。,no
DIS-CARD-CM-AMYLOID,淀粉样变心肌病,RULE-CDSS-CM-AMYLOID-01-01-DIAG,淀粉样变心肌病诊断规则,室壁增厚、心衰、低电压、LGE或限制性充盈表现。,no
DIS-CARD-CM-ARVC,致心律失常性右心室心肌病,RULE-CDSS-CM-ARVC-01-01-DIAG,ARVC诊断确认规则,右室异常、室性心律失常、晕厥或家族史。,no
DIS-CARD-CM-ARVC,致心律失常性右心室心肌病,RULE-CDSS-CM-ARVC-02-01-TREAT,ARVC风险和治疗规则,ARVC合并室性心律失常、晕厥、右室功能下降或家族猝死史。,no
DIS-CARD-CM-ATRIAL,心房心肌病,RULE-CDSS-CM-ATRIAL-02-01-TREAT,心房心肌病抗凝和心律管理规则,合并房颤/房扑、CHA2DS2-VASc风险或左房结构异常。,no
DIS-CARD-CM-ATRIAL,心房心肌病,RULE-CDSS-CM-ATRIAL-01-01-DIAG,心房心肌病诊断分型规则,房颤、房扑、左房扩大、卒中风险或心房结构异常。,no
DIS-CARD-CM-DCM,扩张型心肌病,RULE-CDSS-CM-DCM-02-02-DEVICE,DCM器械治疗评估规则,DCM规范治疗后仍LVEF下降、宽QRS、室性心律失常或猝死风险。,no
DIS-CARD-CM-DCM,扩张型心肌病,RULE-CDSS-CM-DCM-02-01-GDMT,DCM心衰规范药物规则,DCM合并心衰症状、容量负荷或LVEF下降。,no
DIS-CARD-CM-DCM,扩张型心肌病,RULE-CDSS-CM-DCM-01-01-DIAG,DCM诊断确认规则,左室扩大、LVEF下降或心衰表现。,no
DIS-CARD-CM-DCM,扩张型心肌病,RULE-CDSS-CM-DCM-03-01-FOLLOW,DCM随访复评规则,DCM稳定期、治疗调整后或心衰反复。,no
DIS-CARD-CM-FABRY,法布雷病心肌病,RULE-CDSS-CM-FABRY-02-01-TREAT,法布雷病心肌病治疗规则,法布雷病心肌病确诊或高度疑似。,no
DIS-CARD-CM-FABRY,法布雷病心肌病,RULE-CDSS-CM-FABRY-01-01-DIAG,法布雷病心肌病诊断规则,左室肥厚伴多系统表现、家族史或男性早发病例。,no
DIS-CARD-CM-HCM,肥厚型心肌病,RULE-CDSS-CM-HCM-02-01-SCD-RISK,HCM猝死风险分层规则,HCM确诊后存在晕厥、家族猝死史、NSVT、室壁显著增厚或LGE等风险因素。,no
DIS-CARD-CM-HCM,肥厚型心肌病,RULE-CDSS-CM-HCM-03-01-MED,HCM症状控制药物规则,劳力性呼吸困难、胸痛、心悸或LVOTO相关症状。,no
DIS-CARD-CM-HCM,肥厚型心肌病,RULE-CDSS-CM-HCM-01-01-DIAG,HCM诊断确认规则,室壁增厚、家族史、心电图异常或影像提示HCM。,no
DIS-CARD-CM-HCM,肥厚型心肌病,RULE-CDSS-CM-HCM-03-02-SRT,HCM间隔减容治疗规则,优化药物治疗后仍NYHA Ⅲ-Ⅳ级或症状明显且LVOTO显著。,no
DIS-CARD-CM-HCM,肥厚型心肌病,RULE-CDSS-CM-HCM-04-01-FOLLOW,HCM随访复评规则,HCM稳定期、治疗调整后或家系筛查。,no
DIS-CARD-CM-NDLVCM,非扩张型左心室心肌病,RULE-CDSS-CM-NDLVCM-01-01-DIAG,NDLVCM诊断规则,左室不扩张但存在非缺血性瘢痕、室性心律失常或LVEF下降。,no
DIS-CARD-CM-NDLVCM,非扩张型左心室心肌病,RULE-CDSS-CM-NDLVCM-02-01-RISK,NDLVCM风险和随访规则,存在LGE、室性心律失常、LVEF下降或家族猝死史。,no
DIS-CARD-CM-RCM,限制型心肌病,RULE-CDSS-CM-RCM-02-01-TREAT,RCM治疗管理规则,RCM合并心衰、容量负荷或心律失常。,no
DIS-CARD-CM-RCM,限制型心肌病,RULE-CDSS-CM-RCM-01-01-DIAG,RCM诊断确认规则,限制性充盈、双房增大或不明原因心衰。,no
