disease_code,disease,plan_code,plan_name,relation,target_code,target_name,source,status
DIS-CARD-CAD-ICM,缺血性心肌病,PLAN-CARD-260280003FF2,缺血性心肌病治疗方案,includes_medication,MED-CARD-E40082221530,血管紧张素转换酶抑制剂,疾病既有药物治疗关系,linked
DIS-CARD-CAD-ICM,缺血性心肌病,PLAN-CARD-260280003FF2,缺血性心肌病治疗方案,includes_medication,MED-CARD-55157DA54154,硝酸酯类药物,疾病既有药物治疗关系,linked
DIS-CARD-CAD-ICM,缺血性心肌病,PLAN-CARD-260280003FF2,缺血性心肌病治疗方案,includes_medication,MED-CARD-TEXT-B905AF3E59,血管紧张素Ⅱ受体拮抗剂,疾病既有药物治疗关系,linked
DIS-CARD-CAD-ICM,缺血性心肌病,PLAN-CARD-260280003FF2,缺血性心肌病治疗方案,includes_procedure,PROC-CARD-E9ADC25A25E3,经皮冠状动脉介入治疗,疾病既有手术/操作治疗关系,linked
DIS-CARD-CAD-ICM,缺血性心肌病,PLAN-CARD-260280003FF2,缺血性心肌病治疗方案,includes_procedure,PROC-CARD-CADREM-ICM-12A7FC2FA4,血运重建,疾病既有手术/操作治疗关系,linked
DIS-CARD-CAD-ICM,缺血性心肌病,PLAN-CARD-260280003FF2,缺血性心肌病治疗方案,includes_procedure,PROC-CARD-CADREM-ICM-9360DBD2DE,心脏移植,疾病既有手术/操作治疗关系,linked
DIS-CARD-CAD-ICM,缺血性心肌病,PLAN-CARD-260280003FF2,缺血性心肌病治疗方案,includes_procedure,PROC-CARD-BDB19D2C7A36,冠状动脉旁路移植术,疾病既有手术/操作治疗关系,linked
DIS-CARD-CAD-ICM,缺血性心肌病,PLAN-CARD-260280003FF2,缺血性心肌病治疗方案,includes_procedure,PROC-HEART-TRANSPLANT,心脏移植,疾病既有手术/操作治疗关系,linked
DIS-CARD-CAD-ICM,缺血性心肌病,PLAN-CARD-260280003FF2,缺血性心肌病治疗方案,includes_procedure,PROC-CARD-TEXT-84551F84B4,射频消融术,疾病既有手术/操作治疗关系,linked
DIS-CARD-CAD-ICM,缺血性心肌病,PLAN-CARD-260280003FF2,缺血性心肌病治疗方案,has_treatment_component,PLAN-CARD-A1C4E6332D38,抗凝治疗,路径既有子治疗方案,linked
DIS-CARD-CAD-ICM,缺血性心肌病,PLAN-CARD-260280003FF2,缺血性心肌病治疗方案,has_treatment_component,PLAN-CARD-TEXT-BDE62A3BE0,降压治疗,路径既有子治疗方案,linked
DIS-CARD-CAD-ICM,缺血性心肌病,PLAN-CARD-260280003FF2,缺血性心肌病治疗方案,has_treatment_component,PLAN-CARD-TEXT-EEF9C97B59,血运重建,路径既有子治疗方案,linked
DIS-CARD-CAD-ICM,缺血性心肌病,PLAN-CARD-260280003FF2,缺血性心肌病治疗方案,has_treatment_component,PLAN-CARD-A1C4E6332D38,抗凝治疗,路径既有子治疗方案,linked
DIS-CARD-CAD-ICM,缺血性心肌病,PLAN-CARD-260280003FF2,缺血性心肌病治疗方案,has_treatment_component,PLAN-CARD-TEXT-EEF9C97B59,血运重建,路径既有子治疗方案,linked
DIS-CARD-CAD-ICM,缺血性心肌病,PLAN-CARD-260280003FF2,缺血性心肌病治疗方案,has_treatment_component,PLAN-CARD-TEXT-BDE62A3BE0,降压治疗,路径既有子治疗方案,linked
DIS-CARD-CM-ABVC,致心律失常性双心室心肌病,PLAN-CARD-75D805FA2D42,致心律失常性双心室心肌病治疗方案,includes_medication,MED-DIURETIC,利尿剂,疾病既有药物治疗关系,linked
DIS-CARD-CM-ABVC,致心律失常性双心室心肌病,PLAN-CARD-75D805FA2D42,致心律失常性双心室心肌病治疗方案,includes_procedure,PROC-ICD,埋藏式心脏复律除颤器,疾病既有手术/操作治疗关系,linked
DIS-CARD-CM-ABVC,致心律失常性双心室心肌病,PLAN-CARD-75D805FA2D42,致心律失常性双心室心肌病治疗方案,has_treatment_component,PLAN-CARD-A1C4E6332D38,抗凝治疗,路径既有子治疗方案,linked
DIS-CARD-CM-ABVC,致心律失常性双心室心肌病,PLAN-CARD-75D805FA2D42,致心律失常性双心室心肌病治疗方案,has_treatment_component,PLAN-CARD-A1C4E6332D38,抗凝治疗,路径既有子治疗方案,linked
DIS-CARD-CM-ACM,致心律失常性心肌病,PLAN-CARD-8BABC3547777,致心律失常性心肌病治疗方案,includes_medication,MED-AMIODARONE,胺碘酮,疾病既有药物治疗关系,linked
DIS-CARD-CM-ACM,致心律失常性心肌病,PLAN-CARD-8BABC3547777,致心律失常性心肌病治疗方案,includes_medication,MED-DIURETIC,利尿剂,疾病既有药物治疗关系,linked
