disease_code,disease,entityType,name,canonical_code,duplicate_code,direct_relations_migrated,copied_evidence,copied_components
DIS-CARD-CAD-ICM,缺血性心肌病,DiagnosisCriteria,缺血性心肌病诊断标准,DXC-CARD-097806EACD3F,DXC-CARD-CADREM-ICM-097806EACD,1,0,1
DIS-CARD-CAD-ICM,缺血性心肌病,Exam,冠状动脉造影,EXAM-CAG,EXAM-CARD-CADREM-ICM-ABF51FE8EB,1,2,0
DIS-CARD-CAD-ICM,缺血性心肌病,Exam,超声心动图,EXAM-TTE,EXAM-CARD-CADREM-ICM-53A915B5AC,1,2,0
DIS-CARD-CAD-ICM,缺血性心肌病,Procedure,心脏移植,PROC-HEART-TRANSPLANT,PROC-CARD-CADREM-ICM-9360DBD2DE,1,1,0
DIS-CARD-CAD-ICM,缺血性心肌病,Sign,奔马律,SIGN-CARD-75EFE91EFEED,SIGN-CARD-CADREM-ICM-75EFE91EFE,1,1,0
DIS-CARD-CAD-ICM,缺血性心肌病,Sign,心脏扩大,SIGN-CARD-EB9D2F421114,SIGN-CARD-CADREM-ICM-EB9D2F4211,1,1,0
DIS-CARD-CAD-ICM,缺血性心肌病,Sign,心音低钝,SIGN-CARD-7D7BE7B5FE4D,SIGN-CARD-CADREM-ICM-7D7BE7B5FE,1,1,0
DIS-CARD-CAD-ICM,缺血性心肌病,Sign,心音减弱,SIGN-CARD-E5C7FF8F1850,SIGN-CARD-CADREM-ICM-E5C7FF8F18,1,1,0
DIS-CARD-CAD-ICM,缺血性心肌病,Sign,水肿,SIGN-CARD-52CC24CD4C33,SIGN-CARD-CADREM-ICM-52CC24CD4C,1,1,0
DIS-CARD-CAD-ICM,缺血性心肌病,Sign,肺水肿,SIGN-CARD-1431D67A6000,SIGN-CARD-CADREM-ICM-1431D67A60,1,1,0
DIS-CARD-CAD-ICM,缺血性心肌病,Sign,肺部啰音,SIGN-CARD-67CD9C4673B0,SIGN-CARD-CADREM-ICM-67CD9C4673,1,1,0
DIS-CARD-CAD-ICM,缺血性心肌病,Symptom,乏力,SYM-CARD-0ACC45EF4E60,SYM-CARD-CADREM-ICM-0ACC45EF4E,1,1,0
DIS-CARD-CAD-ICM,缺血性心肌病,Symptom,劳力性呼吸困难,SYM-CARD-3C54A8AA7CDB,SYM-CARD-CADREM-ICM-3C54A8AA7C,1,1,0
DIS-CARD-CAD-ICM,缺血性心肌病,Symptom,呼吸困难,SYM-CARD-19E67F3BE240,SYM-CARD-CADREM-ICM-19E67F3BE2,1,1,0
DIS-CARD-CAD-ICM,缺血性心肌病,Symptom,夜间阵发性呼吸困难,SYM-CARD-9BD3C4F11F7E,SYM-CARD-CADREM-ICM-9BD3C4F11F,1,1,0
DIS-CARD-CAD-ICM,缺血性心肌病,Symptom,头晕,SYM-CARD-6DA3580C8B73,SYM-CARD-CADREM-ICM-6DA3580C8B,1,1,0
DIS-CARD-CAD-ICM,缺血性心肌病,Symptom,端坐呼吸,SYM-CARD-F076662BF021,SYM-CARD-CADREM-ICM-F076662BF0,1,1,0
DIS-CARD-CAD-ICM,缺血性心肌病,Symptom,胸痛,SYM-CARD-B479F36AE54A,SYM-CARD-CADREM-ICM-B479F36AE5,1,1,0
DIS-CARD-CAD-ICM,缺血性心肌病,Symptom,胸闷,SYM-CARD-0039E284D715,SYM-CARD-CADREM-ICM-0039E284D7,1,1,0
DIS-CARD-CM-ARVC,致心律失常性右心室心肌病,Exam,心脏磁共振,EXAM-CMR,EXAM-CARD-61766890B7D2,1,32,0
DIS-CARD-CM-DCM,扩张型心肌病,Exam,心脏磁共振,EXAM-CMR,EXAM-CARD-61766890B7D2,1,32,0
DIS-CARD-CM-HCM,肥厚型心肌病,Exam,心脏磁共振,EXAM-CMR,EXAM-CARD-61766890B7D2,1,32,0
DIS-CARD-CM-MYOCARDITIS,心肌炎,Exam,心脏磁共振,EXAM-CMR,EXAM-CARD-61766890B7D2,1,32,0
DIS-CARD-CM-NDLVCM,非扩张型左心室心肌病,Exam,心脏磁共振,EXAM-CMR,EXAM-CARD-61766890B7D2,1,32,0
