scope,disease_code,disease,plan_code,plan_name,relation,target_code,target_name,status
心律失常,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-0315A5E784A6,心房颤动治疗方案,includes_medication,MED-AMIODARONE,胺碘酮,linked
心律失常,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-0315A5E784A6,心房颤动治疗方案,includes_medication,MED-NDHP-CCB,非二氢吡啶类钙通道阻滞剂,linked
心律失常,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-0315A5E784A6,心房颤动治疗方案,includes_medication,MED-CARD-7717331EF136,肝素,linked
心律失常,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-0315A5E784A6,心房颤动治疗方案,includes_medication,CARD-SKELETON-20260709-MEDICATION-DDAA1C07D618EDC7,β受体拮抗剂,linked
心律失常,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-0315A5E784A6,心房颤动治疗方案,includes_medication,MED-CARD-FC4A5B5D6C12,阿哌沙班,linked
心律失常,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-0315A5E784A6,心房颤动治疗方案,includes_medication,MED-CARD-A0C92B8EA7C4,艾多沙班,linked
心律失常,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-0315A5E784A6,心房颤动治疗方案,includes_medication,MED-CARD-C685CE7163F5,维拉帕米,linked
心律失常,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-0315A5E784A6,心房颤动治疗方案,includes_medication,MED-CARD-A49408D27901,普通肝素,linked
心律失常,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-0315A5E784A6,心房颤动治疗方案,includes_medication,MED-CARD-62498B0FBDC2,地高辛,linked
心律失常,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-0315A5E784A6,心房颤动治疗方案,includes_medication,MED-CARD-0401DB9741D8,地尔硫卓,linked
心律失常,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-0315A5E784A6,心房颤动治疗方案,includes_medication,MED-CARD-81B5F958C0F3,华法林,linked
心律失常,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-0315A5E784A6,心房颤动治疗方案,includes_medication,MED-CARD-38524B4E5194,利伐沙班,linked
心律失常,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-0315A5E784A6,心房颤动治疗方案,includes_medication,MED-CARD-9F606AC80BFD,阿司匹林,linked
心律失常,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-0315A5E784A6,心房颤动治疗方案,includes_medication,MED-CARD-02BB82DF8F9A,低分子肝素,linked
心律失常,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-0315A5E784A6,心房颤动治疗方案,includes_medication,MED-CARD-66202C12C872,氟卡尼,linked
心律失常,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-0315A5E784A6,心房颤动治疗方案,includes_medication,MED-CARD-F50DC811465A,索他洛尔,linked
心律失常,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-0315A5E784A6,心房颤动治疗方案,includes_medication,MED-CARD-68E5765B76ED,达比加群酯,linked
心律失常,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-0315A5E784A6,心房颤动治疗方案,includes_medication,MED-BETA-BLOCKER,β受体阻滞剂,linked
心律失常,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-0315A5E784A6,心房颤动治疗方案,includes_medication,MED-CARD-0D88ECB6525C,普罗帕酮,linked
心律失常,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-0315A5E784A6,心房颤动治疗方案,includes_medication,MED-CARD-0E77096BF3B6,决奈达隆,linked
心律失常,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-0315A5E784A6,心房颤动治疗方案,includes_medication,MED-CARD-EAA01CFD434E,氯吡格雷,linked
心律失常,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-0315A5E784A6,心房颤动治疗方案,includes_medication,MED-CARD-TEXT-D07193A49C,溶栓药物,linked
心律失常,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-0315A5E784A6,心房颤动治疗方案,includes_medication,MED-CARD-TEXT-4E1713BBBA,醛固酮受体拮抗剂,linked
心律失常,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-0315A5E784A6,心房颤动治疗方案,includes_medication,MED-CARD-TEXT-28E925C6DE,钙通道阻滞剂,linked
心律失常,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-0315A5E784A6,心房颤动治疗方案,includes_medication,MED-CARD-E40082221530,血管紧张素转换酶抑制剂,linked
心律失常,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-0315A5E784A6,心房颤动治疗方案,includes_medication,MED-CARD-55157DA54154,硝酸酯类药物,linked
心律失常,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-0315A5E784A6,心房颤动治疗方案,includes_medication,MED-CARD-TEXT-4E798D0AB2,抗血小板药物,linked
心律失常,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-0315A5E784A6,心房颤动治疗方案,includes_medication,MED-CARD-DAE0F0B68F1D,他汀类药物,linked
心律失常,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-0315A5E784A6,心房颤动治疗方案,includes_medication,MED-CARD-TEXT-EE219280A7,抗凝药物,linked
心律失常,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-0315A5E784A6,心房颤动治疗方案,includes_medication,MED-CARD-TEXT-B905AF3E59,血管紧张素Ⅱ受体拮抗剂,linked
心律失常,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-0315A5E784A6,心房颤动治疗方案,includes_medication,MED-CARD-TEXT-93710567D3,洋地黄类药物,linked
心律失常,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-0315A5E784A6,心房颤动治疗方案,includes_medication,MED-DIURETIC,利尿剂,linked
