disease_code,disease,status,clinical_rule_without_evidence,treatment_plan_without_action,diagnosis_without_component,differential_without_detail,same_type_same_name_duplicates,non_kgnode
DIS-CARD-ARR-AF,心房颤动,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-ARR-AFL,心房扑动,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-ARR-AT,房性心动过速,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-ARR-AVB,房室传导阻滞,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-ARR-AVB1,一度房室传导阻滞,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-ARR-AVB2,二度房室传导阻滞,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-ARR-AVB3,三度房室传导阻滞,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-ARR-AVNRT,房室结折返性心动过速,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-ARR-AVRT,房室折返性心动过速,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-ARR-BBB,束支传导阻滞,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-ARR-BRADY,缓慢性心律失常,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-ARR-BRUGADA,Brugada综合征,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-ARR-CPVT,儿茶酚胺敏感性多形性室性心动过速,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-ARR-ERS,早期复极综合征,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-ARR-LQTS,长QT间期综合征,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-ARR-NSVT,非持续性室性心动过速,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-ARR-PSVT,阵发性室上性心动过速,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-ARR-PVC,室性期前收缩,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-ARR-SAB,窦房传导阻滞,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-ARR-SB,窦性心动过缓,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-ARR-SINUS,窦性心律失常,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-ARR-SND,窦房结功能障碍,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-ARR-SQTS,短QT间期综合征,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-ARR-SVT,室上性心动过速,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-ARR-TDP,尖端扭转型室性心动过速,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-ARR-VA,室性心律失常,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-ARR-VF,心室扑动与心室颤动,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-ARR-VT,持续性室性心动过速,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-ARR-WPW,预激综合征,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-HF,心力衰竭,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-HF-AHF,急性心力衰竭,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-HF-BIVENTRICULAR,全心衰竭,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-HF-CHF,慢性心力衰竭,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-HF-DIALYSIS-CHF,透析患者慢性心力衰竭,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-HF-HFmrEF,射血分数轻度降低的心力衰竭,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-HF-HFpEF,射血分数保留的心力衰竭,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-HF-HFrEF,射血分数降低的心力衰竭,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-HF-LEFT,左心衰竭,formal_cdss_ready,0,0,0,0,0,0
DIS-CARD-HF-POST-MI,心肌梗死后心力衰竭,formal_cdss_ready,0,0,0,0,0,0
