CDSS场景,支撑实体数量,支撑实体类型,正式CDSS关系数,疾病名称,疾病大类,疾病编码,能力判断,证据节点数量
疑似疾病识别,28,Symptom、Sign,0,主动脉瓣反流,,DIS-CARD-VHD-AR,可用于CDSS展示,232
诊断建议,8,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,主动脉瓣反流,,DIS-CARD-VHD-AR,可用于CDSS展示,232
鉴别诊断,0,DifferentialDiagnosis,0,主动脉瓣反流,,DIS-CARD-VHD-AR,缺口,232
推荐检查,6,Exam、ExamIndicator,0,主动脉瓣反流,,DIS-CARD-VHD-AR,可用于CDSS展示,232
推荐检验,1,LabTest、LabTestIndicator,0,主动脉瓣反流,,DIS-CARD-VHD-AR,可展示但需补强,232
风险分层,0,RiskStratification,0,主动脉瓣反流,,DIS-CARD-VHD-AR,缺口,232
治疗方案,3,TreatmentPlan、RecommendationStatement,0,主动脉瓣反流,,DIS-CARD-VHD-AR,可用于CDSS展示,232
药物推荐,14,Medication,0,主动脉瓣反流,,DIS-CARD-VHD-AR,可用于CDSS展示,232
手术/操作推荐,4,Procedure,0,主动脉瓣反流,,DIS-CARD-VHD-AR,可用于CDSS展示,232
禁忌与风险预警,3,Contraindication、ClinicalRule,0,主动脉瓣反流,,DIS-CARD-VHD-AR,可用于CDSS展示,232
随访,7,FollowUp,0,主动脉瓣反流,,DIS-CARD-VHD-AR,可用于CDSS展示,232
预后/预防,14,Prognosis、Prevention,0,主动脉瓣反流,,DIS-CARD-VHD-AR,可用于CDSS展示,232
并发症管理,8,Complication,0,主动脉瓣反流,,DIS-CARD-VHD-AR,可用于CDSS展示,232
疑似疾病识别,25,Symptom、Sign,0,主动脉瓣狭窄,,DIS-CARD-VHD-AS,可用于CDSS展示,360
诊断建议,6,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,主动脉瓣狭窄,,DIS-CARD-VHD-AS,可用于CDSS展示,360
鉴别诊断,0,DifferentialDiagnosis,0,主动脉瓣狭窄,,DIS-CARD-VHD-AS,缺口,360
推荐检查,9,Exam、ExamIndicator,0,主动脉瓣狭窄,,DIS-CARD-VHD-AS,可用于CDSS展示,360
推荐检验,5,LabTest、LabTestIndicator,0,主动脉瓣狭窄,,DIS-CARD-VHD-AS,可用于CDSS展示,360
风险分层,0,RiskStratification,0,主动脉瓣狭窄,,DIS-CARD-VHD-AS,缺口,360
治疗方案,3,TreatmentPlan、RecommendationStatement,0,主动脉瓣狭窄,,DIS-CARD-VHD-AS,可用于CDSS展示,360
药物推荐,6,Medication,0,主动脉瓣狭窄,,DIS-CARD-VHD-AS,可用于CDSS展示,360
手术/操作推荐,4,Procedure,0,主动脉瓣狭窄,,DIS-CARD-VHD-AS,可用于CDSS展示,360
禁忌与风险预警,3,Contraindication、ClinicalRule,0,主动脉瓣狭窄,,DIS-CARD-VHD-AS,可用于CDSS展示,360
随访,8,FollowUp,0,主动脉瓣狭窄,,DIS-CARD-VHD-AS,可用于CDSS展示,360
预后/预防,16,Prognosis、Prevention,0,主动脉瓣狭窄,,DIS-CARD-VHD-AS,可用于CDSS展示,360
并发症管理,6,Complication,0,主动脉瓣狭窄,,DIS-CARD-VHD-AS,可用于CDSS展示,360
疑似疾病识别,2,Symptom、Sign,0,二叶主动脉瓣,,DIS-CARD-CHD-BAV,可展示但需补强,46
诊断建议,0,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,二叶主动脉瓣,,DIS-CARD-CHD-BAV,缺口,46
鉴别诊断,0,DifferentialDiagnosis,0,二叶主动脉瓣,,DIS-CARD-CHD-BAV,缺口,46
推荐检查,3,Exam、ExamIndicator,0,二叶主动脉瓣,,DIS-CARD-CHD-BAV,可用于CDSS展示,46
推荐检验,0,LabTest、LabTestIndicator,0,二叶主动脉瓣,,DIS-CARD-CHD-BAV,缺口,46
风险分层,0,RiskStratification,0,二叶主动脉瓣,,DIS-CARD-CHD-BAV,缺口,46
治疗方案,0,TreatmentPlan、RecommendationStatement,0,二叶主动脉瓣,,DIS-CARD-CHD-BAV,缺口,46
药物推荐,0,Medication,0,二叶主动脉瓣,,DIS-CARD-CHD-BAV,缺口,46
手术/操作推荐,1,Procedure,0,二叶主动脉瓣,,DIS-CARD-CHD-BAV,可展示但需补强,46
禁忌与风险预警,0,Contraindication、ClinicalRule,0,二叶主动脉瓣,,DIS-CARD-CHD-BAV,缺口,46
随访,0,FollowUp,0,二叶主动脉瓣,,DIS-CARD-CHD-BAV,缺口,46
预后/预防,0,Prognosis、Prevention,0,二叶主动脉瓣,,DIS-CARD-CHD-BAV,缺口,46
并发症管理,4,Complication,0,二叶主动脉瓣,,DIS-CARD-CHD-BAV,可用于CDSS展示,46
疑似疾病识别,32,Symptom、Sign,0,二尖瓣反流,,DIS-CARD-VHD-MR,可用于CDSS展示,332
诊断建议,2,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,二尖瓣反流,,DIS-CARD-VHD-MR,可展示但需补强,332
鉴别诊断,0,DifferentialDiagnosis,0,二尖瓣反流,,DIS-CARD-VHD-MR,缺口,332
推荐检查,7,Exam、ExamIndicator,0,二尖瓣反流,,DIS-CARD-VHD-MR,可用于CDSS展示,332
推荐检验,3,LabTest、LabTestIndicator,0,二尖瓣反流,,DIS-CARD-VHD-MR,可用于CDSS展示,332
风险分层,0,RiskStratification,0,二尖瓣反流,,DIS-CARD-VHD-MR,缺口,332
治疗方案,4,TreatmentPlan、RecommendationStatement,0,二尖瓣反流,,DIS-CARD-VHD-MR,可用于CDSS展示,332
药物推荐,14,Medication,0,二尖瓣反流,,DIS-CARD-VHD-MR,可用于CDSS展示,332
手术/操作推荐,4,Procedure,0,二尖瓣反流,,DIS-CARD-VHD-MR,可用于CDSS展示,332
禁忌与风险预警,1,Contraindication、ClinicalRule,0,二尖瓣反流,,DIS-CARD-VHD-MR,可展示但需补强,332
随访,6,FollowUp,0,二尖瓣反流,,DIS-CARD-VHD-MR,可用于CDSS展示,332
预后/预防,12,Prognosis、Prevention,0,二尖瓣反流,,DIS-CARD-VHD-MR,可用于CDSS展示,332
并发症管理,9,Complication,0,二尖瓣反流,,DIS-CARD-VHD-MR,可用于CDSS展示,332
疑似疾病识别,32,Symptom、Sign,0,二尖瓣狭窄,,DIS-CARD-VHD-MS,可用于CDSS展示,409
诊断建议,2,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,二尖瓣狭窄,,DIS-CARD-VHD-MS,可展示但需补强,409
鉴别诊断,0,DifferentialDiagnosis,0,二尖瓣狭窄,,DIS-CARD-VHD-MS,缺口,409
推荐检查,7,Exam、ExamIndicator,0,二尖瓣狭窄,,DIS-CARD-VHD-MS,可用于CDSS展示,409
推荐检验,4,LabTest、LabTestIndicator,0,二尖瓣狭窄,,DIS-CARD-VHD-MS,可用于CDSS展示,409
风险分层,0,RiskStratification,0,二尖瓣狭窄,,DIS-CARD-VHD-MS,缺口,409
治疗方案,5,TreatmentPlan、RecommendationStatement,0,二尖瓣狭窄,,DIS-CARD-VHD-MS,可用于CDSS展示,409
药物推荐,11,Medication,0,二尖瓣狭窄,,DIS-CARD-VHD-MS,可用于CDSS展示,409
手术/操作推荐,4,Procedure,0,二尖瓣狭窄,,DIS-CARD-VHD-MS,可用于CDSS展示,409
禁忌与风险预警,1,Contraindication、ClinicalRule,0,二尖瓣狭窄,,DIS-CARD-VHD-MS,可展示但需补强,409
随访,8,FollowUp,0,二尖瓣狭窄,,DIS-CARD-VHD-MS,可用于CDSS展示,409
预后/预防,16,Prognosis、Prevention,0,二尖瓣狭窄,,DIS-CARD-VHD-MS,可用于CDSS展示,409
并发症管理,9,Complication,0,二尖瓣狭窄,,DIS-CARD-VHD-MS,可用于CDSS展示,409
疑似疾病识别,2,Symptom、Sign,0,人工瓣膜心内膜炎,,DIS-CARD-IE-PVE,可展示但需补强,102
诊断建议,0,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,人工瓣膜心内膜炎,,DIS-CARD-IE-PVE,缺口,102
鉴别诊断,0,DifferentialDiagnosis,0,人工瓣膜心内膜炎,,DIS-CARD-IE-PVE,缺口,102
推荐检查,4,Exam、ExamIndicator,0,人工瓣膜心内膜炎,,DIS-CARD-IE-PVE,可用于CDSS展示,102
推荐检验,1,LabTest、LabTestIndicator,0,人工瓣膜心内膜炎,,DIS-CARD-IE-PVE,可展示但需补强,102
风险分层,0,RiskStratification,0,人工瓣膜心内膜炎,,DIS-CARD-IE-PVE,缺口,102
治疗方案,0,TreatmentPlan、RecommendationStatement,0,人工瓣膜心内膜炎,,DIS-CARD-IE-PVE,缺口,102
药物推荐,0,Medication,0,人工瓣膜心内膜炎,,DIS-CARD-IE-PVE,缺口,102
手术/操作推荐,2,Procedure,0,人工瓣膜心内膜炎,,DIS-CARD-IE-PVE,可展示但需补强,102
禁忌与风险预警,0,Contraindication、ClinicalRule,0,人工瓣膜心内膜炎,,DIS-CARD-IE-PVE,缺口,102
随访,0,FollowUp,0,人工瓣膜心内膜炎,,DIS-CARD-IE-PVE,缺口,102
预后/预防,0,Prognosis、Prevention,0,人工瓣膜心内膜炎,,DIS-CARD-IE-PVE,缺口,102
并发症管理,5,Complication,0,人工瓣膜心内膜炎,,DIS-CARD-IE-PVE,可用于CDSS展示,102
