disease_code,disease_name,entity_type,evidence_levels,evidence_texts,guideline_names,node_code,node_name,pages,recommendation_levels
DIS-CARD-CHD-BAV,二叶主动脉瓣,Procedure,[],[],[],PROC-CARD-E9ADC25A25E3,经皮冠状动脉介入治疗,[],[]
DIS-CARD-CHD-PS,肺动脉瓣狭窄,Procedure,[],[],[],PROC-CARD-TEXT-D2C1F9E289,心脏再同步治疗,[],[]
DIS-CARD-CHD-PS,肺动脉瓣狭窄,Procedure,[],[],[],PROC-HEART-TRANSPLANT,心脏移植,[],[]
DIS-CARD-CHD-PS,肺动脉瓣狭窄,Procedure,[],[],[],PROC-CARD-TEXT-D9A9D30763,植入式心律转复除颤器,[],[]
DIS-CARD-CHD-PS,肺动脉瓣狭窄,Procedure,[],[],[],PROC-CARD-E9ADC25A25E3,经皮冠状动脉介入治疗,[],[]
DIS-CARD-CHD-PS,肺动脉瓣狭窄,Procedure,[],[],[],PROC-CARD-TEXT-23F5CDA89B,起搏器植入,[],[]
DIS-CARD-IE-PVE,人工瓣膜心内膜炎,Procedure,[],[],[],PROC-CARD-TEXT-6248D2A735,瓣膜置换术,[],[]
DIS-CARD-IE-PVE,人工瓣膜心内膜炎,Procedure,[],[],[],PROC-CARD-TEXT-53ECAA23AE,经导管主动脉瓣置换术,[],[]
DIS-CARD-VHD-AR,主动脉瓣反流,ClinicalRule,[],[],[],CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-E3F741A43D5AE258,2.鉴别诊断主动脉瓣反流杂音于胸骨左缘明显时,[],[]
DIS-CARD-VHD-AR,主动脉瓣反流,ClinicalRule,[],[],[],CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-DB00F26BCB6270C6,Austin-Flint杂音应与二尖瓣狭窄的心尖区舒张中晚期杂音鉴别：前者常紧随第三心音后,[],[]
DIS-CARD-VHD-AR,主动脉瓣反流,ClinicalRule,[],[],[],CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-BBF7FFD8EE07A36B,Graham-Steell杂音鉴别,[],[]
DIS-CARD-VHD-AR,主动脉瓣反流,Medication,[],[],[],CARD-SKELETON-20260709-MEDICATION-DDAA1C07D618EDC7,β受体拮抗剂,[],[]
DIS-CARD-VHD-AR,主动脉瓣反流,Medication,[],[],[],MED-CARD-DAE0F0B68F1D,他汀类药物,[],[]
DIS-CARD-VHD-AR,主动脉瓣反流,Medication,[],[],[],MED-DIURETIC,利尿剂,[],[]
DIS-CARD-VHD-AR,主动脉瓣反流,Medication,[],[],[],MED-CARD-391A89BD8790,呋塞米,[],[]
DIS-CARD-VHD-AR,主动脉瓣反流,Medication,[],[],[],MED-CARD-444827C26766,多巴胺,[],[]
DIS-CARD-VHD-AR,主动脉瓣反流,Medication,[],[],[],CARD-SKELETON-FULL-20260709-MEDICATION-BF237812729F5F67,多巴酚丁胺,[],[]
DIS-CARD-VHD-AR,主动脉瓣反流,Medication,[],[],[],MED-CARD-TEXT-93710567D3,洋地黄类药物,[],[]
DIS-CARD-VHD-AR,主动脉瓣反流,Medication,[],[],[],MED-CARD-55157DA54154,硝酸酯类药物,[],[]
DIS-CARD-VHD-AR,主动脉瓣反流,Medication,[],[],[],CARD-SKELETON-20260709-MEDICATION-09DFB5E0DF9F68B9,血管紧张素II受体拮抗剂,[],[]
DIS-CARD-VHD-AR,主动脉瓣反流,Medication,[],[],[],MED-CARD-TEXT-B905AF3E59,血管紧张素Ⅱ受体拮抗剂,[],[]
DIS-CARD-VHD-AR,主动脉瓣反流,Medication,[],[],[],MED-CARD-C015B7A5655A,血管紧张素Ⅱ受体阻滞剂,[],[]
DIS-CARD-VHD-AR,主动脉瓣反流,Medication,[],[],[],MED-CARD-E40082221530,血管紧张素转换酶抑制剂,[],[]
DIS-CARD-VHD-AR,主动脉瓣反流,Medication,[],[],[],CARD-SKELETON-20260709-MEDICATION-7887433A96437926,血管紧张素转换酶抑制剂或血管紧张素受体阻滞剂,[],[]
DIS-CARD-VHD-AR,主动脉瓣反流,Medication,[],[],[],MED-CARD-TEXT-28E925C6DE,钙通道阻滞剂,[],[]
DIS-CARD-VHD-AR,主动脉瓣反流,Procedure,[],[],[],CARD-SKELETON-20260709-PROCEDURE-FA9CF9F5BBDD3E3D,外科手术,[],[]
DIS-CARD-VHD-AR,主动脉瓣反流,Procedure,[],[],[],PROC-CARD-TEXT-6248D2A735,瓣膜置换术,[],[]
DIS-CARD-VHD-AR,主动脉瓣反流,Procedure,[],[],[],PROC-CARD-TEXT-53ECAA23AE,经导管主动脉瓣置换术,[],[]
DIS-CARD-VHD-AR,主动脉瓣反流,Procedure,[],[],[],PROC-CARD-E9ADC25A25E3,经皮冠状动脉介入治疗,[],[]
DIS-CARD-VHD-AR,主动脉瓣反流,TreatmentPlan,[],[],[],PLAN-CARD-TEXT-655F4B37BC,控制心室率,[],[]
DIS-CARD-VHD-AR,主动脉瓣反流,TreatmentPlan,[],[],[],PLAN-CARD-FULLBOOK-BBA9C43055,氧疗,[],[]
DIS-CARD-VHD-AR,主动脉瓣反流,TreatmentPlan,[],[],[],PLAN-CARD-TEXT-BDE62A3BE0,降压治疗,[],[]
DIS-CARD-VHD-AS,主动脉瓣狭窄,ClinicalRule,[],[],[],CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-761E866A2290BB43,上述情况超声心动图可予以鉴别,[],[]
DIS-CARD-VHD-AS,主动脉瓣狭窄,ClinicalRule,[],[],[],CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-DD5781119FC5A24E,合并反流和二尖瓣病变者多为风湿性心脏瓣膜病,[],[]
DIS-CARD-VHD-AS,主动脉瓣狭窄,ClinicalRule,[],[],[],CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-F6859249B2A5BEEA,（二）鉴别诊断临床上主动脉瓣狭窄应与下列情况的主动脉瓣区收缩期杂音相鉴别,[],[]
DIS-CARD-VHD-AS,主动脉瓣狭窄,Medication,[],[],[],CARD-SKELETON-20260709-MEDICATION-DDAA1C07D618EDC7,β受体拮抗剂,[],[]
DIS-CARD-VHD-AS,主动脉瓣狭窄,Medication,[],[],[],MED-CARD-DAE0F0B68F1D,他汀类药物,[],[]
DIS-CARD-VHD-AS,主动脉瓣狭窄,Medication,[],[],[],MED-DIURETIC,利尿剂,[],[]
DIS-CARD-VHD-AS,主动脉瓣狭窄,Medication,[],[],[],MED-CARD-TEXT-93710567D3,洋地黄类药物,[],[]
DIS-CARD-VHD-AS,主动脉瓣狭窄,Medication,[],[],[],MED-CARD-55157DA54154,硝酸酯类药物,[],[]
DIS-CARD-VHD-AS,主动脉瓣狭窄,Medication,[],[],[],MED-CARD-E40082221530,血管紧张素转换酶抑制剂,[],[]
DIS-CARD-VHD-AS,主动脉瓣狭窄,Procedure,[],[],[],CARD-SKELETON-20260709-PROCEDURE-FA9CF9F5BBDD3E3D,外科手术,[],[]
