CDSS场景,支撑实体数量,支撑实体类型,正式CDSS关系数,疾病名称,疾病大类,疾病编码,能力判断,证据节点数量
疑似疾病识别,6,Symptom、Sign,0,一度房室传导阻滞,,DIS-CARD-ARR-AVB1,可用于CDSS展示,25
诊断建议,5,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,一度房室传导阻滞,,DIS-CARD-ARR-AVB1,可用于CDSS展示,25
鉴别诊断,0,DifferentialDiagnosis,0,一度房室传导阻滞,,DIS-CARD-ARR-AVB1,缺口,25
推荐检查,3,Exam、ExamIndicator,0,一度房室传导阻滞,,DIS-CARD-ARR-AVB1,可用于CDSS展示,25
推荐检验,0,LabTest、LabTestIndicator,0,一度房室传导阻滞,,DIS-CARD-ARR-AVB1,缺口,25
风险分层,0,RiskStratification,0,一度房室传导阻滞,,DIS-CARD-ARR-AVB1,缺口,25
治疗方案,1,TreatmentPlan、RecommendationStatement,0,一度房室传导阻滞,,DIS-CARD-ARR-AVB1,可展示但需补强,25
药物推荐,0,Medication,0,一度房室传导阻滞,,DIS-CARD-ARR-AVB1,缺口,25
手术/操作推荐,0,Procedure,0,一度房室传导阻滞,,DIS-CARD-ARR-AVB1,缺口,25
禁忌与风险预警,4,Contraindication、ClinicalRule,0,一度房室传导阻滞,,DIS-CARD-ARR-AVB1,可用于CDSS展示,25
随访,1,FollowUp,0,一度房室传导阻滞,,DIS-CARD-ARR-AVB1,可展示但需补强,25
预后/预防,1,Prognosis、Prevention,0,一度房室传导阻滞,,DIS-CARD-ARR-AVB1,可展示但需补强,25
并发症管理,1,Complication,0,一度房室传导阻滞,,DIS-CARD-ARR-AVB1,可展示但需补强,25
疑似疾病识别,7,Symptom、Sign,0,三度房室传导阻滞,,DIS-CARD-ARR-AVB3,可用于CDSS展示,61
诊断建议,5,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,三度房室传导阻滞,,DIS-CARD-ARR-AVB3,可用于CDSS展示,61
鉴别诊断,0,DifferentialDiagnosis,0,三度房室传导阻滞,,DIS-CARD-ARR-AVB3,缺口,61
推荐检查,2,Exam、ExamIndicator,0,三度房室传导阻滞,,DIS-CARD-ARR-AVB3,可展示但需补强,61
推荐检验,0,LabTest、LabTestIndicator,0,三度房室传导阻滞,,DIS-CARD-ARR-AVB3,缺口,61
风险分层,0,RiskStratification,0,三度房室传导阻滞,,DIS-CARD-ARR-AVB3,缺口,61
治疗方案,1,TreatmentPlan、RecommendationStatement,0,三度房室传导阻滞,,DIS-CARD-ARR-AVB3,可展示但需补强,61
药物推荐,1,Medication,0,三度房室传导阻滞,,DIS-CARD-ARR-AVB3,可展示但需补强,61
手术/操作推荐,0,Procedure,0,三度房室传导阻滞,,DIS-CARD-ARR-AVB3,缺口,61
禁忌与风险预警,4,Contraindication、ClinicalRule,0,三度房室传导阻滞,,DIS-CARD-ARR-AVB3,可用于CDSS展示,61
随访,1,FollowUp,0,三度房室传导阻滞,,DIS-CARD-ARR-AVB3,可展示但需补强,61
预后/预防,1,Prognosis、Prevention,0,三度房室传导阻滞,,DIS-CARD-ARR-AVB3,可展示但需补强,61
并发症管理,1,Complication,0,三度房室传导阻滞,,DIS-CARD-ARR-AVB3,可展示但需补强,61
