CDSS场景,支撑实体数量,支撑实体类型,正式CDSS关系数,疾病名称,疾病大类,疾病编码,能力判断,证据节点数量
疑似疾病识别,11,Symptom、Sign,0,主动脉缩窄,,DIS-CARD-HTN-COA,可用于CDSS展示,93
诊断建议,0,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,主动脉缩窄,,DIS-CARD-HTN-COA,缺口,93
鉴别诊断,0,DifferentialDiagnosis,0,主动脉缩窄,,DIS-CARD-HTN-COA,缺口,93
推荐检查,4,Exam、ExamIndicator,0,主动脉缩窄,,DIS-CARD-HTN-COA,可用于CDSS展示,93
推荐检验,1,LabTest、LabTestIndicator,0,主动脉缩窄,,DIS-CARD-HTN-COA,可展示但需补强,93
风险分层,0,RiskStratification,0,主动脉缩窄,,DIS-CARD-HTN-COA,缺口,93
治疗方案,0,TreatmentPlan、RecommendationStatement,0,主动脉缩窄,,DIS-CARD-HTN-COA,缺口,93
药物推荐,0,Medication,0,主动脉缩窄,,DIS-CARD-HTN-COA,缺口,93
手术/操作推荐,1,Procedure,0,主动脉缩窄,,DIS-CARD-HTN-COA,可展示但需补强,93
禁忌与风险预警,0,Contraindication、ClinicalRule,0,主动脉缩窄,,DIS-CARD-HTN-COA,缺口,93
随访,0,FollowUp,0,主动脉缩窄,,DIS-CARD-HTN-COA,缺口,93
预后/预防,0,Prognosis、Prevention,0,主动脉缩窄,,DIS-CARD-HTN-COA,缺口,93
并发症管理,2,Complication,0,主动脉缩窄,,DIS-CARD-HTN-COA,可展示但需补强,93
疑似疾病识别,3,Symptom、Sign,0,内分泌性高血压,,DIS-CARD-HT-ENDOCRINE,可用于CDSS展示,20
诊断建议,4,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,内分泌性高血压,,DIS-CARD-HT-ENDOCRINE,可用于CDSS展示,20
鉴别诊断,0,DifferentialDiagnosis,0,内分泌性高血压,,DIS-CARD-HT-ENDOCRINE,缺口,20
推荐检查,2,Exam、ExamIndicator,0,内分泌性高血压,,DIS-CARD-HT-ENDOCRINE,可展示但需补强,20
推荐检验,3,LabTest、LabTestIndicator,0,内分泌性高血压,,DIS-CARD-HT-ENDOCRINE,可用于CDSS展示,20
风险分层,0,RiskStratification,0,内分泌性高血压,,DIS-CARD-HT-ENDOCRINE,缺口,20
治疗方案,1,TreatmentPlan、RecommendationStatement,0,内分泌性高血压,,DIS-CARD-HT-ENDOCRINE,可展示但需补强,20
药物推荐,7,Medication,0,内分泌性高血压,,DIS-CARD-HT-ENDOCRINE,可用于CDSS展示,20
手术/操作推荐,0,Procedure,0,内分泌性高血压,,DIS-CARD-HT-ENDOCRINE,缺口,20
禁忌与风险预警,3,Contraindication、ClinicalRule,0,内分泌性高血压,,DIS-CARD-HT-ENDOCRINE,可用于CDSS展示,20
随访,1,FollowUp,0,内分泌性高血压,,DIS-CARD-HT-ENDOCRINE,可展示但需补强,20
预后/预防,1,Prognosis、Prevention,0,内分泌性高血压,,DIS-CARD-HT-ENDOCRINE,可展示但需补强,20
并发症管理,2,Complication,0,内分泌性高血压,,DIS-CARD-HT-ENDOCRINE,可展示但需补强,20
疑似疾病识别,9,Symptom、Sign,0,原发性醛固酮增多症,,DIS-CARD-HT-PA,可用于CDSS展示,186
诊断建议,4,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,原发性醛固酮增多症,,DIS-CARD-HT-PA,可用于CDSS展示,186
鉴别诊断,0,DifferentialDiagnosis,0,原发性醛固酮增多症,,DIS-CARD-HT-PA,缺口,186
推荐检查,7,Exam、ExamIndicator,0,原发性醛固酮增多症,,DIS-CARD-HT-PA,可用于CDSS展示,186
推荐检验,7,LabTest、LabTestIndicator,0,原发性醛固酮增多症,,DIS-CARD-HT-PA,可用于CDSS展示,186
风险分层,1,RiskStratification,0,原发性醛固酮增多症,,DIS-CARD-HT-PA,可展示但需补强,186
治疗方案,2,TreatmentPlan、RecommendationStatement,0,原发性醛固酮增多症,,DIS-CARD-HT-PA,可展示但需补强,186
药物推荐,8,Medication,0,原发性醛固酮增多症,,DIS-CARD-HT-PA,可用于CDSS展示,186
手术/操作推荐,1,Procedure,0,原发性醛固酮增多症,,DIS-CARD-HT-PA,可展示但需补强,186
禁忌与风险预警,3,Contraindication、ClinicalRule,0,原发性醛固酮增多症,,DIS-CARD-HT-PA,可用于CDSS展示,186
随访,1,FollowUp,0,原发性醛固酮增多症,,DIS-CARD-HT-PA,可展示但需补强,186
预后/预防,1,Prognosis、Prevention,0,原发性醛固酮增多症,,DIS-CARD-HT-PA,可展示但需补强,186
并发症管理,5,Complication,0,原发性醛固酮增多症,,DIS-CARD-HT-PA,可用于CDSS展示,186
疑似疾病识别,3,Symptom、Sign,0,原发性醛固酮增多症,,DIS-CARD-HTN-PA,可用于CDSS展示,94
诊断建议,0,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,原发性醛固酮增多症,,DIS-CARD-HTN-PA,缺口,94
鉴别诊断,0,DifferentialDiagnosis,0,原发性醛固酮增多症,,DIS-CARD-HTN-PA,缺口,94
推荐检查,2,Exam、ExamIndicator,0,原发性醛固酮增多症,,DIS-CARD-HTN-PA,可展示但需补强,94
推荐检验,3,LabTest、LabTestIndicator,0,原发性醛固酮增多症,,DIS-CARD-HTN-PA,可用于CDSS展示,94
风险分层,0,RiskStratification,0,原发性醛固酮增多症,,DIS-CARD-HTN-PA,缺口,94
治疗方案,2,TreatmentPlan、RecommendationStatement,0,原发性醛固酮增多症,,DIS-CARD-HTN-PA,可展示但需补强,94
药物推荐,3,Medication,0,原发性醛固酮增多症,,DIS-CARD-HTN-PA,可用于CDSS展示,94
手术/操作推荐,0,Procedure,0,原发性醛固酮增多症,,DIS-CARD-HTN-PA,缺口,94
禁忌与风险预警,0,Contraindication、ClinicalRule,0,原发性醛固酮增多症,,DIS-CARD-HTN-PA,缺口,94
随访,0,FollowUp,0,原发性醛固酮增多症,,DIS-CARD-HTN-PA,缺口,94
预后/预防,0,Prognosis、Prevention,0,原发性醛固酮增多症,,DIS-CARD-HTN-PA,缺口,94
并发症管理,3,Complication,0,原发性醛固酮增多症,,DIS-CARD-HTN-PA,可用于CDSS展示,94
疑似疾病识别,7,Symptom、Sign,0,原发性高血压,,DIS-CARD-HT-PRIMARY,可用于CDSS展示,45
诊断建议,4,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,原发性高血压,,DIS-CARD-HT-PRIMARY,可用于CDSS展示,45
鉴别诊断,0,DifferentialDiagnosis,0,原发性高血压,,DIS-CARD-HT-PRIMARY,缺口,45
推荐检查,4,Exam、ExamIndicator,0,原发性高血压,,DIS-CARD-HT-PRIMARY,可用于CDSS展示,45
推荐检验,5,LabTest、LabTestIndicator,0,原发性高血压,,DIS-CARD-HT-PRIMARY,可用于CDSS展示,45
风险分层,0,RiskStratification,0,原发性高血压,,DIS-CARD-HT-PRIMARY,缺口,45
治疗方案,3,TreatmentPlan、RecommendationStatement,0,原发性高血压,,DIS-CARD-HT-PRIMARY,可用于CDSS展示,45
药物推荐,4,Medication,0,原发性高血压,,DIS-CARD-HT-PRIMARY,可用于CDSS展示,45
手术/操作推荐,0,Procedure,0,原发性高血压,,DIS-CARD-HT-PRIMARY,缺口,45
禁忌与风险预警,3,Contraindication、ClinicalRule,0,原发性高血压,,DIS-CARD-HT-PRIMARY,可用于CDSS展示,45
随访,1,FollowUp,0,原发性高血压,,DIS-CARD-HT-PRIMARY,可展示但需补强,45
预后/预防,1,Prognosis、Prevention,0,原发性高血压,,DIS-CARD-HT-PRIMARY,可展示但需补强,45
并发症管理,5,Complication,0,原发性高血压,,DIS-CARD-HT-PRIMARY,可用于CDSS展示,45
疑似疾病识别,24,Symptom、Sign,0,原发性高血压,,DIS-CARD-HTN-ESSENTIAL,可用于CDSS展示,216
诊断建议,10,DiagnosisCriteria、DiagnosisCriteriaComponent、ClinicalRule,0,原发性高血压,,DIS-CARD-HTN-ESSENTIAL,可用于CDSS展示,216
鉴别诊断,0,DifferentialDiagnosis,0,原发性高血压,,DIS-CARD-HTN-ESSENTIAL,缺口,216
推荐检查,9,Exam、ExamIndicator,0,原发性高血压,,DIS-CARD-HTN-ESSENTIAL,可用于CDSS展示,216
推荐检验,4,LabTest、LabTestIndicator,0,原发性高血压,,DIS-CARD-HTN-ESSENTIAL,可用于CDSS展示,216
风险分层,0,RiskStratification,0,原发性高血压,,DIS-CARD-HTN-ESSENTIAL,缺口,216
治疗方案,1,TreatmentPlan、RecommendationStatement,0,原发性高血压,,DIS-CARD-HTN-ESSENTIAL,可展示但需补强,216
药物推荐,11,Medication,0,原发性高血压,,DIS-CARD-HTN-ESSENTIAL,可用于CDSS展示,216
手术/操作推荐,0,Procedure,0,原发性高血压,,DIS-CARD-HTN-ESSENTIAL,缺口,216
禁忌与风险预警,5,Contraindication、ClinicalRule,0,原发性高血压,,DIS-CARD-HTN-ESSENTIAL,可用于CDSS展示,216
随访,0,FollowUp,0,原发性高血压,,DIS-CARD-HTN-ESSENTIAL,缺口,216
预后/预防,0,Prognosis、Prevention,0,原发性高血压,,DIS-CARD-HTN-ESSENTIAL,缺口,216
并发症管理,5,Complication,0,原发性高血压,,DIS-CARD-HTN-ESSENTIAL,可用于CDSS展示,216
疑似疾病识别,11,Symptom、Sign,0,发作性高血压,,DIS-CARD-HT-PAROXYSMAL,可用于CDSS展示,24
