疾病编码,疾病名称,疾病大类,疾病亚类,关联实体数,证据数,指南数,CDSS决策节点数,正式CDSS关系数,可用场景数,需补强场景数,缺口场景数,大类基线分,交付判断
DIS-CARD-HTN-COA,主动脉缩窄,,,119,93,0,0,0,2,3,8,26.9,暂不建议作为交付样板
DIS-CARD-HT-ENDOCRINE,内分泌性高血压,,,57,20,3,4,0,5,5,3,57.7,暂不建议作为交付样板
DIS-CARD-HT-PA,原发性醛固酮增多症,,,259,186,13,5,0,7,5,1,73.1,可参考但需补强
DIS-CARD-HTN-PA,原发性醛固酮增多症,,,119,94,0,2,0,4,2,7,38.5,暂不建议作为交付样板
DIS-CARD-HT-PRIMARY,原发性高血压,,,104,45,12,6,0,8,2,3,69.2,可参考但需补强
DIS-CARD-HTN-ESSENTIAL,原发性高血压,,,309,216,0,6,0,7,1,5,57.7,暂不建议作为交付样板
DIS-CARD-HT-PAROXYSMAL,发作性高血压,,,72,24,4,3,0,6,3,4,57.7,暂不建议作为交付样板
DIS-CARD-HTN-PHEO,嗜铬细胞瘤和副神经节瘤,,,92,71,0,1,0,2,4,7,30.8,暂不建议作为交付样板
DIS-CARD-HT-CKD,慢性肾脏病合并高血压,,,39,10,3,4,0,4,6,3,53.8,暂不建议作为交付样板
DIS-CARD-HT-WCH,白大衣高血压,,,101,58,10,5,0,4,6,3,53.8,暂不建议作为交付样板
DIS-CARD-HT-SECONDARY,继发性高血压,,,206,130,14,6,0,8,2,3,69.2,可参考但需补强
DIS-CARD-HTN-SECONDARY,继发性高血压,,,312,247,0,2,0,6,2,5,53.8,暂不建议作为交付样板
DIS-CARD-HT-ELDERLY,老年高血压,,,111,59,10,6,0,7,3,3,65.4,可参考但需补强
DIS-CARD-HT-RENAL-PARENCHYMAL,肾实质性高血压,,,50,15,4,4,0,5,5,3,57.7,暂不建议作为交付样板
DIS-CARD-HTN-RENAL-PARENCHYMAL,肾实质性高血压,,,54,42,0,0,0,0,3,10,11.5,暂不建议作为交付样板
DIS-CARD-HT-RENOVASCULAR,肾血管性高血压,,,49,19,7,4,0,3,6,4,46.2,暂不建议作为交付样板
DIS-CARD-HTN-RENOVASCULAR,肾血管性高血压,,,104,80,0,2,0,3,3,7,34.6,暂不建议作为交付样板
DIS-CARD-HT-MASKED,隐匿性高血压,,,79,42,9,5,0,3,6,4,46.2,暂不建议作为交付样板
DIS-CARD-HT-RESISTANT,难治性高血压,,,274,195,13,6,0,8,4,1,76.9,可参考但需补强
DIS-CARD-HT,高血压,,,2212,2102,15,7,0,8,4,1,76.9,可参考但需补强
DIS-CARD-HT-URGENCY,高血压亚急症,,,42,8,4,4,0,4,6,3,53.8,暂不建议作为交付样板
DIS-CARD-HT-EMERGENCY,高血压急症,,,130,57,12,6,0,8,2,3,69.2,可参考但需补强
DIS-CARD-HTN-EMERGENCY,高血压急症和亚急症,,,43,33,0,1,0,1,2,10,15.4,暂不建议作为交付样板
