CDSS决策节点数,ClinicalRule,Complication,Contraindication,Definition,DiagnosisCriteria,DiagnosisCriteriaComponent,DifferentialDiagnosis,Epidemiology,Etiology,Evidence,Exam,ExamIndicator,FollowUp,Guideline,LabTest,LabTestIndicator,Medication,Pathophysiology,Prevention,Procedure,Prognosis,RecommendationStatement,RiskStratification,Sign,Symptom,TreatmentPlan,formal_cdss_ready,临床审核状态,关系数,关联实体数,定义是否存在,指南数,正式CDSS关系数,疾病亚类,疾病名称,疾病大类,疾病编码,证据数
0,0,2,0,0,0,0,0,0,0,93,4,0,0,0,1,0,0,0,0,1,0,0,0,5,6,0,True,clinical_ready,120,119,否,0,0,,主动脉缩窄,,DIS-CARD-HTN-COA,93
4,3,2,0,0,1,0,0,1,1,20,2,0,1,3,3,0,7,1,0,0,1,0,0,1,2,1,True,clinical_ready,58,57,否,3,0,,内分泌性高血压,,DIS-CARD-HT-ENDOCRINE,20
5,3,5,0,0,1,0,0,0,1,186,7,0,1,13,7,0,8,1,0,1,1,0,1,3,6,2,True,clinical_ready,260,259,否,13,0,,原发性醛固酮增多症,,DIS-CARD-HT-PA,186
2,0,3,0,0,0,0,0,1,0,94,2,0,0,0,3,0,3,1,0,0,0,0,0,2,1,2,True,clinical_ready,120,119,否,0,0,,原发性醛固酮增多症,,DIS-CARD-HTN-PA,94
6,3,5,0,0,1,0,0,1,1,45,4,0,1,12,5,0,4,0,0,0,1,0,0,2,5,3,True,clinical_ready,105,104,否,12,0,,原发性高血压,,DIS-CARD-HT-PRIMARY,45
6,5,5,0,1,0,5,0,1,10,216,9,0,0,0,4,0,11,0,0,0,0,0,0,11,13,1,True,clinical_ready,310,309,否,0,0,,原发性高血压,,DIS-CARD-HTN-ESSENTIAL,216
3,3,3,0,0,1,0,0,0,2,24,3,0,1,4,2,0,6,0,0,0,1,0,0,3,8,0,True,clinical_ready,73,72,否,4,0,,发作性高血压,,DIS-CARD-HT-PAROXYSMAL,24
1,0,3,0,0,0,0,0,0,0,71,2,0,0,0,2,0,2,0,0,0,0,0,0,3,2,1,True,clinical_ready,93,92,否,0,0,,嗜铬细胞瘤和副神经节瘤,,DIS-CARD-HTN-PHEO,71
4,3,2,0,0,1,0,0,0,0,10,1,0,1,3,3,0,2,0,0,0,1,0,0,0,3,1,True,clinical_ready,40,39,否,3,0,,慢性肾脏病合并高血压,,DIS-CARD-HT-CKD,10
5,3,2,0,0,1,0,0,1,0,58,4,0,1,10,5,0,2,0,0,0,1,0,0,2,0,2,True,clinical_ready,102,101,否,10,0,,白大衣高血压,,DIS-CARD-HT-WCH,58
6,3,6,0,0,1,0,0,1,1,130,9,0,1,14,8,0,5,0,0,0,1,0,0,3,7,3,True,clinical_ready,207,206,否,14,0,,继发性高血压,,DIS-CARD-HT-SECONDARY,130
2,0,4,0,1,0,1,0,1,2,247,10,0,0,0,4,0,10,1,0,3,0,0,0,5,5,2,True,clinical_ready,313,312,否,0,0,,继发性高血压,,DIS-CARD-HTN-SECONDARY,247
6,3,5,0,0,1,0,0,0,0,59,4,0,1,10,5,0,7,0,0,0,1,0,0,1,0,3,True,clinical_ready,112,111,否,10,0,,老年高血压,,DIS-CARD-HT-ELDERLY,59
4,3,3,0,0,1,0,0,0,1,15,4,0,1,4,2,0,3,0,0,0,1,0,0,2,0,1,True,clinical_ready,51,50,否,4,0,,肾实质性高血压,,DIS-CARD-HT-RENAL-PARENCHYMAL,15
0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,True,clinical_ready,55,54,否,0,0,,肾实质性高血压,,DIS-CARD-HTN-RENAL-PARENCHYMAL,42
4,3,3,0,0,1,0,0,0,1,19,1,0,1,7,0,0,2,0,0,0,1,0,0,1,0,1,True,clinical_ready,50,49,否,7,0,,肾血管性高血压,,DIS-CARD-HT-RENOVASCULAR,19
2,0,3,0,0,0,0,0,1,1,80,3,0,0,0,2,0,3,0,0,0,0,0,0,2,0,2,True,clinical_ready,105,104,否,0,0,,肾血管性高血压,,DIS-CARD-HTN-RENOVASCULAR,80
5,3,2,0,0,1,0,0,1,0,42,4,0,1,9,2,0,0,0,0,0,1,0,0,2,0,2,True,clinical_ready,80,79,否,9,0,,隐匿性高血压,,DIS-CARD-HT-MASKED,42
6,3,8,0,0,1,0,0,0,1,195,9,0,1,13,7,0,8,1,0,1,1,0,1,3,6,3,True,clinical_ready,275,274,否,13,0,,难治性高血压,,DIS-CARD-HT-RESISTANT,195
7,3,8,0,0,1,0,0,1,1,2102,10,0,1,15,8,0,23,1,0,2,1,0,2,4,12,4,True,clinical_ready,2213,2212,否,15,0,,高血压,,DIS-CARD-HT,2102
4,3,2,0,0,1,0,0,0,0,8,2,0,1,4,2,0,5,0,0,0,1,0,0,2,4,1,True,clinical_ready,43,42,否,4,0,,高血压亚急症,,DIS-CARD-HT-URGENCY,8
6,3,8,0,0,1,0,0,0,0,57,5,0,1,12,4,0,9,0,0,0,1,0,0,3,10,3,True,clinical_ready,131,130,否,12,0,,高血压急症,,DIS-CARD-HT-EMERGENCY,57
1,0,2,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,True,clinical_ready,44,43,否,0,0,,高血压急症和亚急症,,DIS-CARD-HTN-EMERGENCY,33
