source_root,extension,inclusion_status,file_count
E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\书籍教材,.docx,excluded,1
E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\书籍教材,.pdf,included,1
E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南,,excluded,2
E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南,.doc,excluded,3
E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南,.docx,excluded,150
E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南,.docx,included,9
E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南,.epub,excluded,1
E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南,.jpg,excluded,28
E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南,.pdf,excluded,214
E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南,.pdf,included,10
E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南,.pptx,excluded,1
E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南,.txt,excluded,1
E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南,.xlsx,excluded,1
