disease_code,disease_name,pathway_element,applicability_status,coverage_status,evidence_count,source_names,missing_reason,solution
DIS-CARD-VHD,心脏瓣膜病,definition,required,covered,289,,,
DIS-CARD-VHD,心脏瓣膜病,aliases,optional,covered,289,,,
DIS-CARD-VHD,心脏瓣膜病,etiology,required,covered,289,,,
DIS-CARD-VHD,心脏瓣膜病,pathophysiology,optional,covered,289,,,
DIS-CARD-VHD,心脏瓣膜病,epidemiology,optional,missing,289,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD,心脏瓣膜病,risk_factor,optional,covered,289,,,
DIS-CARD-VHD,心脏瓣膜病,symptom,required,covered,289,,,
DIS-CARD-VHD,心脏瓣膜病,sign,required,covered,289,,,
DIS-CARD-VHD,心脏瓣膜病,exam,required,covered,289,,,
DIS-CARD-VHD,心脏瓣膜病,lab_test,optional,covered,289,,,
DIS-CARD-VHD,心脏瓣膜病,threshold_rule,optional,missing,289,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD,心脏瓣膜病,diagnosis_criteria,required,covered,289,,,
DIS-CARD-VHD,心脏瓣膜病,differential_diagnosis,optional,covered,289,,,
DIS-CARD-VHD,心脏瓣膜病,risk_stratification,optional,covered,289,,,
DIS-CARD-VHD,心脏瓣膜病,treatment_plan,required,covered,289,,,
DIS-CARD-VHD,心脏瓣膜病,medication,optional,covered,289,,,
DIS-CARD-VHD,心脏瓣膜病,procedure,optional,covered,289,,,
DIS-CARD-VHD,心脏瓣膜病,complication,required,covered,289,,,
DIS-CARD-VHD,心脏瓣膜病,prognosis,required,covered,289,,,
DIS-CARD-VHD,心脏瓣膜病,follow_up,required,covered,289,,,
DIS-CARD-VHD,心脏瓣膜病,guideline,required,covered,289,,,
DIS-CARD-VHD,心脏瓣膜病,evidence,required,covered,289,,,
DIS-CARD-VHD-AR,主动脉瓣反流,definition,required,covered,200,,,
DIS-CARD-VHD-AR,主动脉瓣反流,aliases,optional,covered,200,,,
DIS-CARD-VHD-AR,主动脉瓣反流,etiology,required,covered,200,,,
