disease_code,disease_name,pathway_element,applicability_status,missing_reason,solution
DIS-CARD-VHD,心脏瓣膜病,epidemiology,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD,心脏瓣膜病,threshold_rule,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-AR,主动脉瓣反流,epidemiology,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-AR,主动脉瓣反流,threshold_rule,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-AR,主动脉瓣反流,medication,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-AS,主动脉瓣狭窄,epidemiology,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-AS,主动脉瓣狭窄,threshold_rule,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-AS,主动脉瓣狭窄,medication,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-MR,二尖瓣反流,pathophysiology,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-MR,二尖瓣反流,epidemiology,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-MR,二尖瓣反流,threshold_rule,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-MS,二尖瓣狭窄,epidemiology,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-MS,二尖瓣狭窄,threshold_rule,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-MS,二尖瓣狭窄,medication,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-MULTI,多瓣膜病,pathophysiology,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-MULTI,多瓣膜病,epidemiology,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-MULTI,多瓣膜病,threshold_rule,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-MULTI,多瓣膜病,differential_diagnosis,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-MULTI,多瓣膜病,risk_stratification,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-MULTI,多瓣膜病,medication,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-PS,肺动脉瓣狭窄,pathophysiology,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-PS,肺动脉瓣狭窄,epidemiology,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-PS,肺动脉瓣狭窄,threshold_rule,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-PS,肺动脉瓣狭窄,medication,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-RHD,风湿性心脏瓣膜病,epidemiology,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-RHD,风湿性心脏瓣膜病,threshold_rule,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-RHD,风湿性心脏瓣膜病,risk_stratification,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-TR,三尖瓣反流,epidemiology,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-TR,三尖瓣反流,threshold_rule,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-TR,三尖瓣反流,differential_diagnosis,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-VHD-TR,三尖瓣反流,medication,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
