dedup_group,sha256,kept_document_id,kept_path,duplicate_path,duplicate_reason
SHA-568F2702075F78A4,568F2702075F78A487CA3D7EFB365E1C707012A92C091F5F6AC2AED8B537B7CF,DOC-568F2702075F78A4,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\2_中国心肌病综合管理指南2025.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\2_中国心肌病综合管理指南2025.pdf,EXACT_SHA256_DUPLICATE
SHA-568F2702075F78A4,568F2702075F78A487CA3D7EFB365E1C707012A92C091F5F6AC2AED8B537B7CF,DOC-568F2702075F78A4,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\2_中国心肌病综合管理指南2025.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\中国 心肌病综合管理指南（2025年）.pdf,EXACT_SHA256_DUPLICATE
SHA-0CFCD79F003BFB93,0CFCD79F003BFB93E3D46A2780FC5BFA4141ACD024F744574EA074080B029643,DOC-0CFCD79F003BFB93,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD\CCS CN 2024.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\冠脉介入\中国 慢性冠脉综合征患者诊断及管理指南2024.pdf,EXACT_SHA256_DUPLICATE
SHA-223D946BFCBBE084,223D946BFCBBE0840EF054842CFD16427A43FE7CF7D49AC47B482C8D805F663B,DOC-223D946BFCBBE084,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD\NSTE-ACS CN 2024.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\冠脉介入\中国 非ST段抬高型急性冠脉综合征诊断和治疗指南2024.pdf,EXACT_SHA256_DUPLICATE
SHA-99DE8941F1F5EDF3,99DE8941F1F5EDF3A28D932625E9A7ACAC846EC26BF475A9A2AD874A4C59B6DF,DOC-99DE8941F1F5EDF3,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD\经皮冠状动脉介入治疗指南（2025）.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\冠脉介入\中国 经皮冠状动脉介入治疗指南（2025）.pdf,EXACT_SHA256_DUPLICATE
SHA-E2AE11B44F6F744B,E2AE11B44F6F744B84210CAB9969C650394D20C8358E5713D8A9581FBCC561C8,DOC-E2AE11B44F6F744B,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\HF\HF CN 2024.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\厦心-护理\中国心力衰竭诊断和治疗指南2024.pdf,EXACT_SHA256_DUPLICATE
SHA-E2AE11B44F6F744B,E2AE11B44F6F744B84210CAB9969C650394D20C8358E5713D8A9581FBCC561C8,DOC-E2AE11B44F6F744B,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\HF\HF CN 2024.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心力衰竭\中国心力衰竭诊断和治疗指南2024.pdf,EXACT_SHA256_DUPLICATE
SHA-D498F416ADA53A2D,D498F416ADA53A2D91ECBEF3A233B5E8D1DFD8B125B063A85059020407665982,DOC-D498F416ADA53A2D,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\先天性心脏病\常见先天性心脏病经皮介入治疗指南（2021版）.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\先心介入\中国 常见先天性心脏病经皮介入治疗指南2021.pdf,EXACT_SHA256_DUPLICATE
SHA-C1A5E2FBE47FE262,C1A5E2FBE47FE262FB8A94D4DBC9B023084F22728A378AAAED9CE6EAD9AF05BC,DOC-C1A5E2FBE47FE262,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心律失常\ESC 关于传导系统起搏适应症的临床共识声明 2025.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心律失常\ESC 起搏 2025.pdf,EXACT_SHA256_DUPLICATE
SHA-C6EA8A283F0D0385,C6EA8A283F0D0385ED0CE9B97777151F593A16A5FDE4D1BA75352100568951AD,DOC-C6EA8A283F0D0385,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌炎\2024 中国成人暴发性心肌炎诊断和治疗指南.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌炎\中国 成人暴发性心肌炎诊断和治疗指南2024.pdf,EXACT_SHA256_DUPLICATE
