disease_code,disease_name,pathway_element,applicability_status,coverage_status,evidence_count,source_names,missing_reason,solution
DIS-CARD-PH,肺动脉高压,definition,required,covered,431,,,
DIS-CARD-PH,肺动脉高压,aliases,optional,covered,431,,,
DIS-CARD-PH,肺动脉高压,etiology,required,covered,431,,,
DIS-CARD-PH,肺动脉高压,pathophysiology,optional,covered,431,,,
DIS-CARD-PH,肺动脉高压,epidemiology,optional,covered,431,,,
DIS-CARD-PH,肺动脉高压,risk_factor,optional,covered,431,,,
DIS-CARD-PH,肺动脉高压,symptom,required,covered,431,,,
DIS-CARD-PH,肺动脉高压,sign,required,covered,431,,,
DIS-CARD-PH,肺动脉高压,exam,required,covered,431,,,
DIS-CARD-PH,肺动脉高压,lab_test,optional,covered,431,,,
DIS-CARD-PH,肺动脉高压,threshold_rule,optional,missing,431,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH,肺动脉高压,diagnosis_criteria,required,covered,431,,,
DIS-CARD-PH,肺动脉高压,differential_diagnosis,optional,covered,431,,,
DIS-CARD-PH,肺动脉高压,risk_stratification,optional,covered,431,,,
DIS-CARD-PH,肺动脉高压,treatment_plan,required,covered,431,,,
DIS-CARD-PH,肺动脉高压,medication,optional,covered,431,,,
DIS-CARD-PH,肺动脉高压,procedure,optional,missing,431,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH,肺动脉高压,complication,required,covered,431,,,
DIS-CARD-PH,肺动脉高压,prognosis,required,covered,431,,,
DIS-CARD-PH,肺动脉高压,follow_up,required,covered,431,,,
DIS-CARD-PH,肺动脉高压,guideline,required,covered,431,,,
DIS-CARD-PH,肺动脉高压,evidence,required,covered,431,,,
DIS-CARD-PH-CHD,先天性心脏病相关肺动脉高压,definition,required,covered,112,,,
DIS-CARD-PH-CHD,先天性心脏病相关肺动脉高压,aliases,optional,covered,112,,,
DIS-CARD-PH-CHD,先天性心脏病相关肺动脉高压,etiology,required,covered,112,,,
DIS-CARD-PH-CHD,先天性心脏病相关肺动脉高压,pathophysiology,optional,covered,112,,,
DIS-CARD-PH-CHD,先天性心脏病相关肺动脉高压,epidemiology,optional,missing,112,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-CHD,先天性心脏病相关肺动脉高压,risk_factor,optional,covered,112,,,
DIS-CARD-PH-CHD,先天性心脏病相关肺动脉高压,symptom,required,covered,112,,,
DIS-CARD-PH-CHD,先天性心脏病相关肺动脉高压,sign,required,covered,112,,,
DIS-CARD-PH-CHD,先天性心脏病相关肺动脉高压,exam,required,covered,112,,,
DIS-CARD-PH-CHD,先天性心脏病相关肺动脉高压,lab_test,optional,covered,112,,,
DIS-CARD-PH-CHD,先天性心脏病相关肺动脉高压,threshold_rule,optional,missing,112,,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-CHD,先天性心脏病相关肺动脉高压,diagnosis_criteria,required,covered,112,,,
DIS-CARD-PH-CHD,先天性心脏病相关肺动脉高压,differential_diagnosis,optional,covered,112,,,
