disease_code,disease_name,pathway_element,applicability_status,missing_reason,solution
DIS-CARD-PH,肺动脉高压,threshold_rule,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH,肺动脉高压,procedure,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-CHD,先天性心脏病相关肺动脉高压,epidemiology,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-CHD,先天性心脏病相关肺动脉高压,threshold_rule,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-CHD,先天性心脏病相关肺动脉高压,risk_stratification,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-CTD,结缔组织病相关肺动脉高压,epidemiology,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-CTD,结缔组织病相关肺动脉高压,threshold_rule,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-CTD,结缔组织病相关肺动脉高压,medication,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-CTD,结缔组织病相关肺动脉高压,procedure,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-CTEPH,慢性血栓栓塞性肺动脉高压,pathophysiology,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-CTEPH,慢性血栓栓塞性肺动脉高压,epidemiology,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-CTEPH,慢性血栓栓塞性肺动脉高压,threshold_rule,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-CTEPH,慢性血栓栓塞性肺动脉高压,medication,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-CTEPH,慢性血栓栓塞性肺动脉高压,procedure,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-HPAH,遗传性肺动脉高压,pathophysiology,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-HPAH,遗传性肺动脉高压,epidemiology,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-HPAH,遗传性肺动脉高压,risk_factor,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-HPAH,遗传性肺动脉高压,threshold_rule,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-HPAH,遗传性肺动脉高压,differential_diagnosis,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-HPAH,遗传性肺动脉高压,procedure,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-IPAH,特发性肺动脉高压,pathophysiology,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-IPAH,特发性肺动脉高压,epidemiology,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-IPAH,特发性肺动脉高压,threshold_rule,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-IPAH,特发性肺动脉高压,procedure,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-PAH,动脉性肺动脉高压,threshold_rule,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
DIS-CARD-PH-PAH,动脉性肺动脉高压,procedure,optional,SOURCE_DOES_NOT_COVER,补充该病种权威指南或专家审核资料
