review_level,review_id,batch_id,disease_code,disease_name,scenario_type,relation_type,target_type,relation_id,target_code,target_name,review_decision,overall_risk_level,reviewer_name,reviewer_role,reviewed_at,expert_comment
disease,DISEASE-BATCH-CARD-CAD-20260623-001-DIS-CARD-CAD-ACS,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-ACS,急性冠脉综合征,,,,,,,,,,,,
disease,DISEASE-BATCH-CARD-CAD-20260623-001-DIS-CARD-CAD-AMI,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-AMI,急性心肌梗死,,,,,,,,,,,,
disease,DISEASE-BATCH-CARD-CAD-20260623-001-DIS-CARD-CAD-CCS,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-CCS,慢性冠脉综合征,,,,,,,,,,,,
disease,DISEASE-BATCH-CARD-CAD-20260623-001-DIS-CARD-CAD-ICM,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-ICM,缺血性心肌病,,,,,,,,,,,,
disease,DISEASE-BATCH-CARD-CAD-20260623-001-DIS-CARD-CAD-NSTEMI,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,,,,,,,,,,,,
disease,DISEASE-BATCH-CARD-CAD-20260623-001-DIS-CARD-CAD-OLD-MI,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-OLD-MI,陈旧性心肌梗死,,,,,,,,,,,,
disease,DISEASE-BATCH-CARD-CAD-20260623-001-DIS-CARD-CAD-SILENT-ISCHEMIA,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-SILENT-ISCHEMIA,隐匿性冠心病,,,,,,,,,,,,
disease,DISEASE-BATCH-CARD-CAD-20260623-001-DIS-CARD-CAD-STABLE-ANGINA,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,,,,,,,,,,,,
disease,DISEASE-BATCH-CARD-CAD-20260623-001-DIS-CARD-CAD-STEMI,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,,,,,,,,,,,,
disease,DISEASE-BATCH-CARD-CAD-20260623-001-DIS-CARD-CAD-UA,BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-UA,不稳定型心绞痛,,,,,,,,,,,,
disease,DISEASE-BATCH-CARD-CM-20260622-001-DIS-CARD-CAD-ICM,BATCH-CARD-CM-20260622-001,DIS-CARD-CAD-ICM,缺血性心肌病,,,,,,,,,,,,
disease,DISEASE-BATCH-CARD-CM-20260622-001-DIS-CARD-CM-ABVC,BATCH-CARD-CM-20260622-001,DIS-CARD-CM-ABVC,致心律失常性双心室心肌病,,,,,,,,,,,,
disease,DISEASE-BATCH-CARD-CM-20260622-001-DIS-CARD-CM-ACM,BATCH-CARD-CM-20260622-001,DIS-CARD-CM-ACM,致心律失常性心肌病,,,,,,,,,,,,
disease,DISEASE-BATCH-CARD-CM-20260622-001-DIS-CARD-CM-ALVC,BATCH-CARD-CM-20260622-001,DIS-CARD-CM-ALVC,致心律失常性左心室心肌病,,,,,,,,,,,,
disease,DISEASE-BATCH-CARD-CM-20260622-001-DIS-CARD-CM-AMYLOID,BATCH-CARD-CM-20260622-001,DIS-CARD-CM-AMYLOID,淀粉样变心肌病,,,,,,,,,,,,
disease,DISEASE-BATCH-CARD-CM-20260622-001-DIS-CARD-CM-ARVC,BATCH-CARD-CM-20260622-001,DIS-CARD-CM-ARVC,致心律失常性右心室心肌病,,,,,,,,,,,,
disease,DISEASE-BATCH-CARD-CM-20260622-001-DIS-CARD-CM-ATRIAL,BATCH-CARD-CM-20260622-001,DIS-CARD-CM-ATRIAL,心房心肌病,,,,,,,,,,,,
disease,DISEASE-BATCH-CARD-CM-20260622-001-DIS-CARD-CM-DCM,BATCH-CARD-CM-20260622-001,DIS-CARD-CM-DCM,扩张型心肌病,,,,,,,,,,,,
disease,DISEASE-BATCH-CARD-CM-20260622-001-DIS-CARD-CM-FABRY,BATCH-CARD-CM-20260622-001,DIS-CARD-CM-FABRY,法布雷病心肌病,,,,,,,,,,,,
disease,DISEASE-BATCH-CARD-CM-20260622-001-DIS-CARD-CM-HCM,BATCH-CARD-CM-20260622-001,DIS-CARD-CM-HCM,肥厚型心肌病,,,,,,,,,,,,
