batch_id,relation_id,source_code,source_name,relation_type,target_code,target_name,target_type,missing_fields,clinical_review_status,evidence_source_chain,evidence_text_sample,required_action,clinical_review_decision,reviewer_name,reviewer_role,reviewed_at,expert_comment,applicable_population,exclusion_or_contraindication,clinical_rule_or_clinical_pathway,recommendation_class,evidence_level,medication_dosage,medication_contraindication,medication_interaction,medication_aliases
BATCH-CARD-CAD-20260623-001,REL-08D475FD404A1ABDA48A,DIS-CARD-CAD-ACS,急性冠脉综合征,has_follow_up,FU-CARD-F8771CA2A365,急性冠脉综合征随访方案,FollowUp,applicable_population;clinical_review_status;clinical_rule_or_clinical_pathway;exclusion_or_contraindication;recommendation_class_and_evidence_level,pending_clinical_review,CCS CN 2024.pdf#p12#EVD-3DFFBBC7018C600C87B9-ACS | NSTE-ACS CN 2024.pdf#p3#EVD-3DFFBBC7018C600C87B9-ACS | NSTE-ACS CN 2024.pdf#p15#EVD-3DFFBBC7018C600C87B9-ACS,ORBITA 中危（审慎行 中间范围； 可改善多巴酚丁胺负荷超声 药物治疗病情稳定但仍有症状；LVEF 血运重建） 无创检查中度缺血；中危冠状动脉解剖，未达高定性冠心病患者，PCI 危标准检出的缺血，而在平板运动时间、心绞痛症状、CCS 心绞痛分级及生活质量等方面较对照组并无明显改 高危（推荐行 降低；无创 症状严重且对药物治疗无反应；LVEF 血运重建） 检查重度缺血；高危冠状动脉解剖（左冠状动脉 善 研究显示，存在缺血所致 主干或左前降支近端病变，多支血管病变） ［130］。REVIVED⁃BCIS 2 严重左,补齐缺失字段；临床专家审核后填写 approve/reject/revise；未审核不得进入正式 CDSS。,,,,,,,,,,,,,,
BATCH-CARD-CAD-20260623-001,REL-7687A041CF527C477E4A,DIS-CARD-CAD-AMI,急性心肌梗死,has_follow_up,FU-CARD-ED1B0E900769,急性心肌梗死随访方案,FollowUp,applicable_population;clinical_review_status;clinical_rule_or_clinical_pathway;exclusion_or_contraindication;recommendation_class_and_evidence_level,pending_clinical_review,CCS CN 2024.pdf#p12#EVD-3DFFBBC7018C600C87B9-AMI | NSTE-ACS CN 2024.pdf#p15#EVD-3DFFBBC7018C600C87B9-AMI | NSTE-ACS CN 2024.pdf#p16#EVD-3DFFBBC7018C600C87B9-AMI,ORBITA 中危（审慎行 中间范围； 可改善多巴酚丁胺负荷超声 药物治疗病情稳定但仍有症状；LVEF 血运重建） 无创检查中度缺血；中危冠状动脉解剖，未达高定性冠心病患者，PCI 危标准检出的缺血，而在平板运动时间、心绞痛症状、CCS 心绞痛分级及生活质量等方面较对照组并无明显改 高危（推荐行 降低；无创 症状严重且对药物治疗无反应；LVEF 血运重建） 检查重度缺血；高危冠状动脉解剖（左冠状动脉 善 研究显示，存在缺血所致 主干或左前降支近端病变，多支血管病变） ［130］。REVIVED⁃BCIS 2 严重左,补齐缺失字段；临床专家审核后填写 approve/reject/revise；未审核不得进入正式 CDSS。,,,,,,,,,,,,,,
BATCH-CARD-CAD-20260623-001,REL-927F78F216096F63B424,DIS-CARD-CAD-CCS,慢性冠脉综合征,has_follow_up,FU-CARD-0841C3FAD521,慢性冠脉综合征随访方案,FollowUp,applicable_population;clinical_review_status;clinical_rule_or_clinical_pathway;exclusion_or_contraindication;recommendation_class_and_evidence_level,pending_clinical_review,CCS CN 2024.pdf#p9#EVD-A7627CC14C9441AD5FD4-CCS | CCS CN 2024.pdf#p12#EVD-A7627CC14C9441AD5FD4-CCS | CCS CN 2024.pdf#p12#EVD-A7627CC14C9441AD5FD4-CCS,个月） 选择抗血小板药物前，建议对患者进行出/缺血风险评估；患者门诊复查时，可定期（如1、3、6、12 Ⅰ C 评估，便于调整药物 对于未行PCI的CCS患者，如无禁忌可以考虑阿司匹林100 mg qd或氯吡格雷75 mg qd治疗［36，64］ Ⅰ A 建议所有接受PCI的CCS患者，阿司匹林+氯吡格雷DAPT 6个月，然后SAPT，可减少MACE和出血风 Ⅰ A 险［75⁃76］。如存在危及生命的出血风险可缩短DAPT持续时间（1~3个月）［64］ 在择期PCI且高缺血风险情况下（如支架扩张不理想或与支架血栓形,补齐缺失字段；临床专家审核后填写 approve/reject/revise；未审核不得进入正式 CDSS。,,,,,,,,,,,,,,
BATCH-CARD-CAD-20260623-001,REL-27A49CE0848A68B3D042,DIS-CARD-CAD-ICM,缺血性心肌病,has_follow_up,FU-CARD-AF9070949AB7,缺血性心肌病随访方案,FollowUp,applicable_population;clinical_review_status;clinical_rule_or_clinical_pathway;exclusion_or_contraindication;recommendation_class_and_evidence_level,pending_clinical_review,CCS CN 2024.pdf#p12#EVD-E2E4446E3BCCD56C9521-ICM | 存活心肌无创影像学评价专家共识.pdf#p6#EVD-E2E4446E3BCCD56C9521-ICM | 存活心肌无创影像学评价专家共识.pdf#p7#EVD-E2E4446E3BCCD56C9521-ICM,中危佳药物治疗组有明显获益，减少了急诊血运重建， 个明确定义之间，其典型特征是有症状 年结果进一步证实 患者介于2改善了患者预后。随访2 和3 但不严重，中等危险度解剖学特征或功能风险特 显著改善生活质量、质量调整生命FFR 指导的PCI 年，降低医疗费用，并减少主要终点、死亡及心肌梗 试验中是最好的 征。这类患者可能在ISCHEMIA 死累积事件的发生率［132］。 代表，因此应“慎重行血运重建”［139］。 STICH研究显示，最佳药物治疗+CABG相较于 低危患者和高危患者决策制定相对容易，中危 最佳药物治疗,补齐缺失字段；临床专家审核后填写 approve/reject/revise；未审核不得进入正式 CDSS。,,,,,,,,,,,,,,
BATCH-CARD-CAD-20260623-001,REL-F734D6A18A4BD8B75B3B,DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,has_follow_up,FU-CARD-E0E295CC2D2E,非ST段抬高型心肌梗死随访方案,FollowUp,applicable_population;clinical_review_status;clinical_rule_or_clinical_pathway;exclusion_or_contraindication,pending_clinical_review,NSTE-ACS CN 2024.pdf#p3#EVD-561EE78DB0FD987183B9-NSTEMI | NSTE-ACS CN 2024.pdf#p15#EVD-561EE78DB0FD987183B9-NSTEMI | NSTE-ACS CN 2024.pdf#p16#EVD-561EE78DB0FD987183B9-NSTEMI,头肌断裂或室间隔穿孔。体格检查时应注意与非 断心肌损伤的时间和诊断早期再梗死提供补充诊 冠心病引起的胸痛相鉴别（如心脏瓣膜病、主动脉 断价值。 夹层、急性肺栓塞、心包炎、肺炎、气胸、胸膜炎等）。 3.诊断与排除诊断流程：推荐采用0 h/1 h方案 三、诊断方法 （即分别在接诊后0 h 和1 h 抽血）检测hs‑cTn，以 内应进行 排除或确立诊断（Ⅰ，B）。 1. 心电图：首次医疗接触后10 min 检测结果。12导联心电图检查（Ⅰ，B）。 应尽量在采血后1 h 内提供hs‑cTn 的流程见 如果诊断不明确或症状反,补齐缺失字段；临床专家审核后填写 approve/reject/revise；未审核不得进入正式 CDSS。,,,,,,,,,,,,,,
BATCH-CARD-CAD-20260623-001,REL-FEDA6DECD0D642C46B0D,DIS-CARD-CAD-OLD-MI,陈旧性心肌梗死,has_follow_up,FU-CARD-53E0DA55CCC2,陈旧性心肌梗死随访方案,FollowUp,applicable_population;clinical_review_status;clinical_rule_or_clinical_pathway;exclusion_or_contraindication;recommendation_class_and_evidence_level,pending_clinical_review,冠心病双联抗血小板治疗中国专家共识.pdf#p10#EVD-00500E56838521D1853C-MI,个月 证据并不多。 41.8% 为SCAD 患者（n=1 250）［78］，均证实1~3 非血运重建的ACS 患者，相关的RCT 个月，与 的患者无基线血运重建史，约 DAPT 后改为单用P2Y12 受体拮抗剂12 CURE 研究中，82% 个月组相比可减少出血发生率，且抗 的患者研究期间未进行血运重建，研究结果显 DAPT 应用12 64% 缺血效果无差异。 示阿司匹林联合氯吡格雷治疗较阿司匹林单独治 型糖尿 THEMIS 研究（n=19 271）显示在合并2 疗的患者MACE 发生率低（9.3% 比11.4%，,补齐缺失字段；临床专家审核后填写 approve/reject/revise；未审核不得进入正式 CDSS。,,,,,,,,,,,,,,
BATCH-CARD-CAD-20260623-001,REL-370A3E2194C442389CEA,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,has_follow_up,FU-CARD-22A2B8A765AC,稳定型心绞痛随访方案,FollowUp,applicable_population;clinical_review_status;clinical_rule_or_clinical_pathway;exclusion_or_contraindication,pending_clinical_review,NSTE-ACS CN 2024.pdf#p16#EVD-6376E96B8D6A0C8CE1EF-ANGINA | 稳定性冠心病诊断与治疗指南 2018.pdf#p5#EVD-6376E96B8D6A0C8CE1EF-ANGINA | 冠状动脉粥样硬化性心脏病患者药物治疗管理路径专家共识_周洋.pdf#p15#EVD-6376E96B8D6A0C8CE1EF-ANGINA,但这些患者 对合并心原性休克的NSTE‑ACS 多支病变患 应进行积极有效的抗血小板和抗心绞痛药物治疗， 者，推荐可根据病变复杂程度仅对罪犯血管进行 同时也要积极治疗并发症。 PCI（Ⅰ，B），非罪犯血管应考虑择期PCI（Ⅱa，C）。 六、特殊情况 段抬高 对血流动力学稳定的NSTE‑ACS 多支病变患 1. 持续性心肌缺血：此类患者发生ST 者，应考虑对多支病变进行完全血运重建（可同台 型心肌梗死、致命性心律失常、心原性休克和急性 进行）（Ⅱa，C）。 心力衰竭的风险高，应当考虑行紧急冠状动脉造影 多项观察性研究,补齐缺失字段；临床专家审核后填写 approve/reject/revise；未审核不得进入正式 CDSS。,,,,,,,,,,,,,,
BATCH-CARD-CAD-20260623-001,REL-09F1A728FD090E8CAE7B,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,has_follow_up,FU-CARD-CE3E83B4C5CE,ST段抬高型心肌梗死随访方案,FollowUp,applicable_population;clinical_review_status;clinical_rule_or_clinical_pathway;exclusion_or_contraindication,pending_clinical_review,STEMI CN 2019.pdf#p2#EVD-75D1A8C9BD1F757657CB-STEMI | STEMI CN 2019.pdf#p9#EVD-75D1A8C9BD1F757657CB-STEMI | STEMI CN 2019.pdf#p14#EVD-75D1A8C9BD1F757657CB-STEMI,STEMI肌梗死28 d 后则称为复发性心肌梗死 电图表现为ST段弓背向上型抬高（呈单相曲线）伴（re‑infarction），28 d 或不伴病理性Q波、R波减低（正后壁心肌梗死时，（recurrent myocardial infarction）。 ST段变化可以不明显），常伴对应导联镜像性ST段 本指南主要阐述1型心肌梗死的诊断和治疗。 压低。但STEMI早期多不出现这种特征性改变，而 波（异常高大且两支不对称）改变 诊断和危险分层 表现为超急性T 融合，伴对 和/或ST 段斜直型升高，并发展为ST‑T 建议,补齐缺失字段；临床专家审核后填写 approve/reject/revise；未审核不得进入正式 CDSS。,,,,,,,,,,,,,,
BATCH-CARD-CAD-20260623-001,REL-C019F44C195F18DF4309,DIS-CARD-CAD-UA,不稳定型心绞痛,has_follow_up,FU-CARD-0F81C23E250E,不稳定型心绞痛随访方案,FollowUp,applicable_population;clinical_review_status;clinical_rule_or_clinical_pathway;exclusion_or_contraindication;recommendation_class_and_evidence_level,pending_clinical_review,冠状动脉粥样硬化性心脏病患者药物治疗管理路径专家共识_周洋.pdf#p15#EVD-436D3F1B6F1952C5387E-UA,运重建属于外源性创伤，其病理变化与中医学“心脉 健康的生活方式和坚持用药，不建议要求患者简单地 痹阻、心脉不通”有相似之处，属于“痰瘀证”的范畴。 服从药师的建议。 其中涉及稳定期的主要证型有：心血瘀阻证、气虚血 5. 2 制订干预计划 瘀证、痰瘀互阻证［43］。 药物治疗管理的最终目标是解决或预防潜在或 4. 5. 2 急性冠脉综合征 ACS不稳定型心绞痛属于 实际存在的药物治疗相关问题，对发现的药物治疗相 中医学“卒心痛”范畴，指胸痛突然发作。临床常见证 关问题需制订合理的干预计划和措施。 型有：心血瘀阻证、血,补齐缺失字段；临床专家审核后填写 approve/reject/revise；未审核不得进入正式 CDSS。,,,,,,,,,,,,,,
BATCH-CARD-CAD-20260623-001,REL-2891375C280C5795EDF4,DIS-CARD-CAD-ACS,急性冠脉综合征,has_treatment_plan,PLAN-CARD-16BF65CB29FE,急性冠脉综合征治疗方案,TreatmentPlan,applicable_population;clinical_review_status;clinical_rule_or_clinical_pathway;exclusion_or_contraindication;recommendation_class_and_evidence_level,pending_clinical_review,CCS CN 2024.pdf#p1#EVD-C8E4438AD81BA7469284-ACS | CCS CN 2024.pdf#p1#EVD-C8E4438AD81BA7469284-ACS | CCS CN 2024.pdf#p2#EVD-C8E4438AD81BA7469284-ACS,【摘要】 心血管疾病是中国城乡居民死亡的首要原因。慢性冠脉综合征（CCS）是心血管疾病的 一种类型，它涵盖了一系列由于冠状动脉血流减少引起的症状和体征。近几年世界范围内抗血小板 和血脂等领域的研究取得了突破性进展，其中不乏中国人群的大型研究。中国已步入中度老龄社会， 指南的制定刻不容缓。该指南由中华医学会心血管病学分会动脉疾病负担日趋严重，因此我国CCS 粥样硬化与冠心病学组和中华心血管病杂志编辑委员会牵头，联合介入学组、腔内影像功能学组、心 血管病影像学组和基础学组共同制定，是我国首部针对CCS患者诊断及管理的指,补齐缺失字段；临床专家审核后填写 approve/reject/revise；未审核不得进入正式 CDSS。,,,,,,,,,,,,,,
