batch_id,disease_code,disease_name,pending_recommendation_count,scenario_card_count,clinical_use_question,clinical_use_decision,overall_risk_level,reviewer_name,reviewer_role,reviewed_at,expert_comment
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-ACS,急性冠脉综合征,40,6,从临床使用效果看，该病种图谱是否可作为辅助诊疗参考？,,,,,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-AMI,急性心肌梗死,54,6,从临床使用效果看，该病种图谱是否可作为辅助诊疗参考？,,,,,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-CCS,慢性冠脉综合征,22,6,从临床使用效果看，该病种图谱是否可作为辅助诊疗参考？,,,,,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-ICM,缺血性心肌病,23,6,从临床使用效果看，该病种图谱是否可作为辅助诊疗参考？,,,,,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,32,6,从临床使用效果看，该病种图谱是否可作为辅助诊疗参考？,,,,,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-OLD-MI,陈旧性心肌梗死,12,6,从临床使用效果看，该病种图谱是否可作为辅助诊疗参考？,,,,,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-SILENT-ISCHEMIA,隐匿性冠心病,5,3,从临床使用效果看，该病种图谱是否可作为辅助诊疗参考？,,,,,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,30,6,从临床使用效果看，该病种图谱是否可作为辅助诊疗参考？,,,,,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,32,6,从临床使用效果看，该病种图谱是否可作为辅助诊疗参考？,,,,,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-UA,不稳定型心绞痛,31,6,从临床使用效果看，该病种图谱是否可作为辅助诊疗参考？,,,,,,
BATCH-CARD-CM-20260622-001,DIS-CARD-CAD-ICM,缺血性心肌病,5,4,从临床使用效果看，该病种图谱是否可作为辅助诊疗参考？,,,,,,
BATCH-CARD-CM-20260622-001,DIS-CARD-CM-ABVC,致心律失常性双心室心肌病,6,5,从临床使用效果看，该病种图谱是否可作为辅助诊疗参考？,,,,,,
BATCH-CARD-CM-20260622-001,DIS-CARD-CM-ACM,致心律失常性心肌病,8,5,从临床使用效果看，该病种图谱是否可作为辅助诊疗参考？,,,,,,
BATCH-CARD-CM-20260622-001,DIS-CARD-CM-ALVC,致心律失常性左心室心肌病,3,3,从临床使用效果看，该病种图谱是否可作为辅助诊疗参考？,,,,,,
BATCH-CARD-CM-20260622-001,DIS-CARD-CM-AMYLOID,淀粉样变心肌病,4,3,从临床使用效果看，该病种图谱是否可作为辅助诊疗参考？,,,,,,
BATCH-CARD-CM-20260622-001,DIS-CARD-CM-ARVC,致心律失常性右心室心肌病,6,3,从临床使用效果看，该病种图谱是否可作为辅助诊疗参考？,,,,,,
BATCH-CARD-CM-20260622-001,DIS-CARD-CM-ATRIAL,心房心肌病,2,2,从临床使用效果看，该病种图谱是否可作为辅助诊疗参考？,,,,,,
BATCH-CARD-CM-20260622-001,DIS-CARD-CM-DCM,扩张型心肌病,26,5,从临床使用效果看，该病种图谱是否可作为辅助诊疗参考？,,,,,,
BATCH-CARD-CM-20260622-001,DIS-CARD-CM-FABRY,法布雷病心肌病,4,3,从临床使用效果看，该病种图谱是否可作为辅助诊疗参考？,,,,,,
BATCH-CARD-CM-20260622-001,DIS-CARD-CM-HCM,肥厚型心肌病,13,5,从临床使用效果看，该病种图谱是否可作为辅助诊疗参考？,,,,,,
BATCH-CARD-CM-20260622-001,DIS-CARD-CM-NDLVCM,非扩张型左心室心肌病,10,3,从临床使用效果看，该病种图谱是否可作为辅助诊疗参考？,,,,,,
BATCH-CARD-CM-20260622-001,DIS-CARD-CM-RCM,限制型心肌病,9,5,从临床使用效果看，该病种图谱是否可作为辅助诊疗参考？,,,,,,
