batch_id,disease_code,disease_name,relation_id,relation_type,target_code,target_name,missing_fields,review_focus,pharmacist_decision,pharmacist_comment
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-ACS,急性冠脉综合征,REL-CC481279BBBB7BB5E555,treated_by_medication,MED-BETA-BLOCKER,β受体拮抗剂,applicable_population;clinical_review_status;clinical_rule_or_clinical_pathway;exclusion_or_contraindication;medication_contraindication;medication_dosage;medication_interaction,重点确认：药物禁忌、药物剂量、药物相互作用,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-ACS,急性冠脉综合征,REL-A5E64DCA51F4D835CB93,treated_by_medication,MED-CARD-00A158EBF21E,替格瑞洛,applicable_population;clinical_review_status;clinical_rule_or_clinical_pathway;exclusion_or_contraindication;medication_contraindication;medication_dosage;medication_interaction;recommendation_class_and_evidence_level,重点确认：药物禁忌、药物剂量、药物相互作用,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-ACS,急性冠脉综合征,REL-B95994CAFEA7A335C1FE,treated_by_medication,MED-CARD-0D29A60A2A91,普拉格雷,applicable_population;clinical_review_status;clinical_rule_or_clinical_pathway;exclusion_or_contraindication;medication_contraindication;medication_dosage;medication_interaction;recommendation_class_and_evidence_level,重点确认：药物禁忌、药物剂量、药物相互作用,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-ACS,急性冠脉综合征,REL-B37CEAC69C68BFB52805,treated_by_medication,MED-CARD-498184546A72,阿托伐他汀,applicable_population;clinical_review_status;clinical_rule_or_clinical_pathway;exclusion_or_contraindication;medication_contraindication;medication_dosage;medication_interaction;recommendation_class_and_evidence_level,重点确认：药物禁忌、药物剂量、药物相互作用,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-ACS,急性冠脉综合征,REL-164DA3F31A9C0CCB2195,treated_by_medication,MED-CARD-86E5A960E1BF,P2Y12受体抑制剂,applicable_population;clinical_review_status;clinical_rule_or_clinical_pathway;exclusion_or_contraindication;medication_contraindication;medication_dosage;medication_interaction;recommendation_class_and_evidence_level,重点确认：药物禁忌、药物剂量、药物相互作用,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-ACS,急性冠脉综合征,REL-D97435738FE1708F3B28,treated_by_medication,MED-CARD-9F606AC80BFD,阿司匹林,applicable_population;clinical_review_status;clinical_rule_or_clinical_pathway;exclusion_or_contraindication;medication_contraindication;medication_dosage;medication_interaction;recommendation_class_and_evidence_level,重点确认：药物禁忌、药物剂量、药物相互作用,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-ACS,急性冠脉综合征,REL-D36FC7390CD4D2C59923,treated_by_medication,MED-CARD-CC1DDBE4EFA8,硝酸甘油,applicable_population;clinical_review_status;clinical_rule_or_clinical_pathway;exclusion_or_contraindication;medication_contraindication;medication_dosage;medication_interaction;recommendation_class_and_evidence_level,重点确认：药物禁忌、药物剂量、药物相互作用,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-ACS,急性冠脉综合征,REL-85190446EDD97315E6EE,treated_by_medication,MED-CARD-DAE0F0B68F1D,他汀类药物,applicable_population;clinical_review_status;clinical_rule_or_clinical_pathway;exclusion_or_contraindication;medication_contraindication;medication_dosage;medication_interaction;recommendation_class_and_evidence_level,重点确认：药物禁忌、药物剂量、药物相互作用,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-ACS,急性冠脉综合征,REL-F88C330FBC3CE2434DEB,treated_by_medication,MED-CARD-DB0416905798,瑞舒伐他汀,applicable_population;clinical_review_status;clinical_rule_or_clinical_pathway;exclusion_or_contraindication;medication_contraindication;medication_dosage;medication_interaction,重点确认：药物禁忌、药物剂量、药物相互作用,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-ACS,急性冠脉综合征,REL-D10D2EFAEFFB4888DB52,treated_by_medication,MED-CARD-E40082221530,血管紧张素转换酶抑制剂,applicable_population;clinical_review_status;clinical_rule_or_clinical_pathway;exclusion_or_contraindication;medication_contraindication;medication_dosage;medication_interaction,重点确认：药物禁忌、药物剂量、药物相互作用,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-ACS,急性冠脉综合征,REL-A6DE75F4CAC00727D46F,treated_by_medication,MED-CARD-EAA01CFD434E,氯吡格雷,applicable_population;clinical_review_status;clinical_rule_or_clinical_pathway;exclusion_or_contraindication;medication_contraindication;medication_dosage;medication_interaction;recommendation_class_and_evidence_level,重点确认：药物禁忌、药物剂量、药物相互作用,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-AMI,急性心肌梗死,REL-CD749099B5034EEA70A1,treated_by_medication,MED-BETA-BLOCKER,β受体拮抗剂,applicable_population;clinical_review_status;clinical_rule_or_clinical_pathway;exclusion_or_contraindication;medication_contraindication;medication_dosage;medication_interaction,重点确认：药物禁忌、药物剂量、药物相互作用,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-AMI,急性心肌梗死,REL-B085E67FB2D744E6C803,treated_by_medication,MED-CARD-00A158EBF21E,替格瑞洛,applicable_population;clinical_review_status;clinical_rule_or_clinical_pathway;exclusion_or_contraindication;medication_contraindication;medication_dosage;medication_interaction;recommendation_class_and_evidence_level,重点确认：药物禁忌、药物剂量、药物相互作用,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-AMI,急性心肌梗死,REL-58E53310C1756CB98B7E,treated_by_medication,MED-CARD-498184546A72,阿托伐他汀,applicable_population;clinical_review_status;clinical_rule_or_clinical_pathway;exclusion_or_contraindication;medication_contraindication;medication_dosage;medication_interaction;recommendation_class_and_evidence_level,重点确认：药物禁忌、药物剂量、药物相互作用,,
