source_type,file_name,path,suffix,size_mb,last_write_time,keyword_hits,priority
textbook,《内科学（第10版）》.docx,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\书籍教材\《内科学（第10版）》.docx,.docx,22.0,,固定教材骨架来源；章节内含瓣膜病/感染性心内膜炎等内容,P0
guideline,01-05-C-0001认识瓣膜疾病.docx,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\厦心-护理\护理指导 20250901\3疾病相关知识\01-05-C-0001认识瓣膜疾病.docx,.docx,1.22,2025-09-08 14:55:50,瓣膜,P1
guideline,01-05-C-0030外科心脏瓣膜病术后出院注意事项.docx,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\厦心-护理\护理指导 20250901\3疾病相关知识\01-05-C-0030外科心脏瓣膜病术后出院注意事项.docx,.docx,0.11,2025-09-08 14:55:46,瓣膜；瓣膜病,P1
guideline,01-05-C-0046主动脉瓣疾病.docx,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\厦心-护理\护理指导 20250901\3疾病相关知识\01-05-C-0046主动脉瓣疾病.docx,.docx,1.71,2025-09-08 14:56:02,主动脉瓣,P1
guideline,01-05-C-0047二尖瓣疾病.docx,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\厦心-护理\护理指导 20250901\3疾病相关知识\01-05-C-0047二尖瓣疾病.docx,.docx,0.96,2025-09-08 14:56:00,二尖瓣,P1
guideline,01-05-C-0048三尖瓣疾病.docx,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\厦心-护理\护理指导 20250901\3疾病相关知识\01-05-C-0048三尖瓣疾病.docx,.docx,0.48,2025-09-08 14:55:58,三尖瓣,P1
guideline,01-05-H-0015经皮球囊二尖瓣成形术的护理指导.docx,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\厦心-护理\护理指导 20250901\8介入手术\01-05-H-0015经皮球囊二尖瓣成形术的护理指导.docx,.docx,0.49,2025-09-08 14:56:16,二尖瓣,P1
guideline,01-05-H-0016经导管主动脉瓣置换术(TAVR)的护理指导.docx,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\厦心-护理\护理指导 20250901\8介入手术\01-05-H-0016经导管主动脉瓣置换术(TAVR)的护理指导.docx,.docx,0.42,2025-09-08 14:56:16,主动脉瓣；TAVR；经导管主动脉瓣,P1
guideline,01-05-I-0003外科心脏瓣膜置换术后护.docx,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\厦心-护理\护理指导 20250901\9外科手术\01-05-I-0003外科心脏瓣膜置换术后护.docx,.docx,0.48,2025-09-08 14:56:18,瓣膜,P1
guideline,2025ESC瓣膜指南 - .pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\瓣膜性心脏病\2025ESC瓣膜指南 - .pdf,.pdf,4.65,2025-09-01 13:48:48,瓣膜,P1
