disease_code,disease_name,disease_category,lab_total,lab_with_indicator,lab_without_indicator,missing_lab_names
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,,10,9,1,肾功能
DIS-CARD-CAD-UA,不稳定型心绞痛,,10,9,1,肾功能
DIS-CARD-AORTA-AD,主动脉夹层,,2,0,2,肾功能；血糖
DIS-CARD-VHD-AR,主动脉瓣反流,,1,0,1,肾功能
DIS-CARD-VHD-AS,主动脉瓣狭窄,,5,4,1,肾功能
DIS-CARD-AORTA-ANEURYSM,主动脉瘤,,2,1,1,血糖
DIS-CARD-CHD-SOVA,主动脉窦瘤,,1,0,1,肾功能
DIS-CARD-HTN-COA,主动脉缩窄,,1,0,1,血糖
DIS-CARD-VHD-MR,二尖瓣反流,,3,2,1,肾功能
DIS-CARD-VHD-MS,二尖瓣狭窄,,4,1,3,肾功能；血糖；动脉血气分析
DIS-CARD-IE-PVE,人工瓣膜心内膜炎,,1,0,1,血培养
DIS-CARD-HT-ENDOCRINE,内分泌性高血压,,3,1,2,甲状腺功能；空腹血糖
DIS-CARD-CAD-CHD,冠状动脉粥样硬化性心脏病,,8,4,4,肾功能；动脉血气分析；脑钠肽；血糖
DIS-CARD-CHD-PDA,动脉导管未闭,,1,0,1,肾功能
DIS-CARD-CAD-ATHEROSCLEROSIS,动脉粥样硬化,,7,5,2,肾功能；血糖
DIS-CARD-HTN-PA,原发性醛固酮增多症,,3,1,2,肾功能；血糖
DIS-CARD-HT-PA,原发性醛固酮增多症,,7,1,6,空腹血糖；甲状腺功能；醛固酮/肾素比值；血尿酸；血脂；血肌酐
DIS-CARD-HTN-ESSENTIAL,原发性高血压,,4,1,3,肾功能；脑钠肽；血糖
DIS-CARD-HT-PRIMARY,原发性高血压,,5,1,4,血脂；血肌酐；血尿酸；空腹血糖
DIS-CARD-HT-PAROXYSMAL,发作性高血压,,2,0,2,甲状腺功能；空腹血糖
DIS-CARD-HTN-PHEO,嗜铬细胞瘤和副神经节瘤,,2,0,2,肾功能；血糖
DIS-CARD-ARR-SVT,室上性心动过速,,2,2,0,
DIS-CARD-ARR-VA,室性心律失常,,2,2,0,
DIS-CARD-ARR-PVC,室性期前收缩,,8,4,4,脑钠肽；电解质；肾功能；血糖
DIS-CARD-CHD-VSD,室间隔缺损,,1,0,1,肾功能
DIS-CARD-ARR-TDP,尖端扭转型室性心动过速,,2,2,0,
DIS-CARD-HF,心力衰竭,,10,5,5,血糖；肾功能；动脉血气分析；脑钠肽；血培养
DIS-CARD-PERICARD-EFFUSION,心包积液及心脏压塞,,8,4,4,动脉血气分析；肾功能；血糖；血培养
DIS-CARD-ARR-VF,心室扑动与心室颤动,,6,2,4,肾功能；电解质；血糖；动脉血气分析
DIS-CARD-ARR-AFL,心房扑动,,6,3,3,动脉血气分析；血糖；肾功能
DIS-CARD-ARR-AF,心房颤动,,13,9,4,动脉血气分析；脑钠肽；肾功能；血糖
