disease_code,disease_name,lab_code,lab_name,indicator_count,evidence_count,nonempty_evidence_count,indicators
DIS-CARD-ARR-AF,心房颤动,LAB-CARD-6DEDDE6D2554,INR,1,91,91,INR异常
DIS-CARD-ARR-AF,心房颤动,LAB-CARD-E0293B589260,凝血功能检查,1,16,16,凝血功能异常
DIS-CARD-ARR-AF,心房颤动,LAB-CARD-FULLBOOK-5CE99AF138,动脉血气分析,1,1,1,动脉血气异常
DIS-CARD-ARR-AF,心房颤动,LAB-CARD-A9EC1D4DA037,心肌肌钙蛋白,1,331,323,心肌肌钙蛋白升高
DIS-CARD-ARR-AF,心房颤动,LAB-CARD-A7AB15DD86D3,甲状腺功能检查,1,85,85,甲状腺功能异常
DIS-CARD-ARR-AF,心房颤动,LAB-CARD-32F70E68B21F,电解质检查,1,15,15,电解质异常
DIS-CARD-ARR-AF,心房颤动,LAB-CARD-TEXT-3F8D27CB7E,白细胞计数,1,53,47,白细胞计数升高
DIS-CARD-ARR-AF,心房颤动,LAB-CARD-597957F91E61,肝功能检查,1,7,7,肝功能异常
DIS-CARD-ARR-AF,心房颤动,LAB-CARD-TEXT-07B39C98F1,肾功能,1,8,1,肾功能异常
DIS-CARD-ARR-AF,心房颤动,LAB-CARD-AE8C4B377AE9,肾功能检查,1,43,43,肾功能异常
DIS-CARD-ARR-AF,心房颤动,LAB-CARD-TEXT-768E5070F6,脑钠肽,1,1,1,BNP升高
DIS-CARD-ARR-AF,心房颤动,LAB-CARD-TEXT-43D8A5AEE4,血糖,1,12,1,血糖异常
DIS-CARD-ARR-AF,心房颤动,LAB-CARD-TEXT-D983BB0EFF,血脂检查,2,1,1,血脂异常;低密度脂蛋白胆固醇升高
DIS-CARD-ARR-AFL,心房扑动,LAB-CARD-FULLBOOK-5CE99AF138,动脉血气分析,1,1,1,动脉血气异常
DIS-CARD-ARR-AFL,心房扑动,LAB-CARD-A7AB15DD86D3,甲状腺功能检查,1,85,85,甲状腺功能异常
DIS-CARD-ARR-AFL,心房扑动,LAB-CARD-597957F91E61,肝功能检查,1,7,7,肝功能异常
DIS-CARD-ARR-AFL,心房扑动,LAB-CARD-TEXT-07B39C98F1,肾功能,1,8,1,肾功能异常
DIS-CARD-ARR-AFL,心房扑动,LAB-CARD-TEXT-43D8A5AEE4,血糖,1,12,1,血糖异常
DIS-CARD-ARR-AFL,心房扑动,LAB-CARD-TEXT-D983BB0EFF,血脂检查,2,1,1,血脂异常;低密度脂蛋白胆固醇升高
DIS-CARD-ARR-AT,房性心动过速,LAB-CARD-FULLBOOK-5CE99AF138,动脉血气分析,1,1,1,动脉血气异常
DIS-CARD-ARR-AT,房性心动过速,LAB-CARD-A7AB15DD86D3,甲状腺功能检查,1,85,85,甲状腺功能异常
DIS-CARD-ARR-AT,房性心动过速,CARD-SKELETON-20260709-LABTEST-8E96DA78BC099DF8,电解质,1,16,1,电解质异常
DIS-CARD-ARR-AT,房性心动过速,LAB-CARD-TEXT-07B39C98F1,肾功能,1,8,1,肾功能异常
DIS-CARD-ARR-AT,房性心动过速,LAB-CARD-AE8C4B377AE9,肾功能检查,1,43,43,肾功能异常
DIS-CARD-ARR-AVB,房室传导阻滞,LAB-CARD-TEXT-BF2619C772,C反应蛋白,1,1,1,C反应蛋白升高
DIS-CARD-ARR-AVB,房室传导阻滞,LAB-CARD-A9EC1D4DA037,心肌肌钙蛋白,1,331,323,心肌肌钙蛋白升高
DIS-CARD-ARR-AVB,房室传导阻滞,CARD-SKELETON-20260709-LABTEST-8E96DA78BC099DF8,电解质,1,16,1,电解质异常
DIS-CARD-ARR-AVB,房室传导阻滞,LAB-CARD-TEXT-3F8D27CB7E,白细胞计数,1,53,47,白细胞计数升高
DIS-CARD-ARR-AVB,房室传导阻滞,LAB-CARD-TEXT-1BE2B3C08B,红细胞沉降率,1,1,1,红细胞沉降率增快
DIS-CARD-ARR-AVB,房室传导阻滞,LAB-CARD-TEXT-07B39C98F1,肾功能,1,8,1,肾功能异常
DIS-CARD-ARR-AVB,房室传导阻滞,LAB-CARD-TEXT-43D8A5AEE4,血糖,1,12,1,血糖异常
DIS-CARD-ARR-AVB,房室传导阻滞,LAB-CARD-TEXT-D983BB0EFF,血脂检查,2,1,1,血脂异常;低密度脂蛋白胆固醇升高
DIS-CARD-ARR-AVNRT,房室结折返性心动过速,LAB-CARD-A7AB15DD86D3,甲状腺功能检查,1,85,85,甲状腺功能异常
DIS-CARD-ARR-AVRT,房室折返性心动过速,LAB-CARD-A7AB15DD86D3,甲状腺功能检查,1,85,85,甲状腺功能异常
DIS-CARD-ARR-ERS,早期复极综合征,LAB-CARD-TEXT-07B39C98F1,肾功能,1,8,1,肾功能异常
DIS-CARD-ARR-LQTS,长QT间期综合征,LAB-CARD-TEXT-07B39C98F1,肾功能,1,8,1,肾功能异常
DIS-CARD-ARR-LQTS,长QT间期综合征,LAB-CARD-TEXT-43D8A5AEE4,血糖,1,12,1,血糖异常
DIS-CARD-ARR-LQTS,长QT间期综合征,LAB-CARD-F89D5BB72F25,血钾,1,302,302,血钾异常
DIS-CARD-ARR-PSVT,阵发性室上性心动过速,LAB-CARD-FULLBOOK-5CE99AF138,动脉血气分析,1,1,1,动脉血气异常
DIS-CARD-ARR-PSVT,阵发性室上性心动过速,LAB-CARD-TEXT-07B39C98F1,肾功能,1,8,1,肾功能异常
DIS-CARD-ARR-PVC,室性期前收缩,LAB-CARD-A9EC1D4DA037,心肌肌钙蛋白,1,331,323,心肌肌钙蛋白升高
DIS-CARD-ARR-PVC,室性期前收缩,CARD-SKELETON-20260709-LABTEST-8E96DA78BC099DF8,电解质,1,16,1,电解质异常
DIS-CARD-ARR-PVC,室性期前收缩,LAB-CARD-TEXT-3F8D27CB7E,白细胞计数,1,53,47,白细胞计数升高
DIS-CARD-ARR-PVC,室性期前收缩,LAB-CARD-TEXT-07B39C98F1,肾功能,1,8,1,肾功能异常
DIS-CARD-ARR-PVC,室性期前收缩,LAB-CARD-TEXT-768E5070F6,脑钠肽,1,1,1,BNP升高
DIS-CARD-ARR-PVC,室性期前收缩,LAB-CARD-TEXT-43D8A5AEE4,血糖,1,12,1,血糖异常
DIS-CARD-ARR-PVC,室性期前收缩,LAB-CARD-TEXT-D983BB0EFF,血脂检查,2,1,1,血脂异常;低密度脂蛋白胆固醇升高
DIS-CARD-ARR-PVC,室性期前收缩,LAB-CARD-F89D5BB72F25,血钾,1,302,302,血钾异常
DIS-CARD-ARR-SVT,室上性心动过速,LAB-CARD-A7AB15DD86D3,甲状腺功能检查,1,85,85,甲状腺功能异常
DIS-CARD-ARR-SVT,室上性心动过速,LAB-CARD-32F70E68B21F,电解质检查,1,15,15,电解质异常
DIS-CARD-ARR-TDP,尖端扭转型室性心动过速,LAB-CARD-F89D5BB72F25,血钾,1,302,302,血钾异常
DIS-CARD-ARR-TDP,尖端扭转型室性心动过速,LAB-CARD-DD19DD9B725F,血镁,1,7,7,血镁异常
DIS-CARD-ARR-VA,室性心律失常,LAB-CARD-A9EC1D4DA037,心肌肌钙蛋白,1,331,323,心肌肌钙蛋白升高
DIS-CARD-ARR-VA,室性心律失常,LAB-CARD-F89D5BB72F25,血钾,1,302,302,血钾异常
DIS-CARD-ARR-VF,心室扑动与心室颤动,LAB-CARD-FULLBOOK-5CE99AF138,动脉血气分析,1,1,1,动脉血气异常
DIS-CARD-ARR-VF,心室扑动与心室颤动,CARD-SKELETON-20260709-LABTEST-8E96DA78BC099DF8,电解质,1,16,1,电解质异常
DIS-CARD-ARR-VF,心室扑动与心室颤动,LAB-CARD-TEXT-07B39C98F1,肾功能,1,8,1,肾功能异常
DIS-CARD-ARR-VF,心室扑动与心室颤动,LAB-CARD-TEXT-43D8A5AEE4,血糖,1,12,1,血糖异常
DIS-CARD-ARR-VF,心室扑动与心室颤动,LAB-CARD-F89D5BB72F25,血钾,1,302,302,血钾异常
DIS-CARD-ARR-VF,心室扑动与心室颤动,LAB-CARD-DD19DD9B725F,血镁,1,7,7,血镁异常
DIS-CARD-ARR-VT,持续性室性心动过速,LAB-CARD-FULLBOOK-5CE99AF138,动脉血气分析,1,1,1,动脉血气异常
DIS-CARD-ARR-VT,持续性室性心动过速,LAB-CARD-A9EC1D4DA037,心肌肌钙蛋白,1,331,323,心肌肌钙蛋白升高
DIS-CARD-ARR-VT,持续性室性心动过速,LAB-CARD-TEXT-07B39C98F1,肾功能,1,8,1,肾功能异常
DIS-CARD-ARR-VT,持续性室性心动过速,LAB-CARD-TEXT-43D8A5AEE4,血糖,1,12,1,血糖异常
DIS-CARD-ARR-VT,持续性室性心动过速,LAB-CARD-TEXT-D983BB0EFF,血脂检查,2,1,1,血脂异常;低密度脂蛋白胆固醇升高
DIS-CARD-ARR-VT,持续性室性心动过速,LAB-CARD-F89D5BB72F25,血钾,1,302,302,血钾异常
DIS-CARD-ARR-VT,持续性室性心动过速,LAB-CARD-DD19DD9B725F,血镁,1,7,7,血镁异常
DIS-CARD-ARR-WPW,预激综合征,LAB-CARD-597957F91E61,肝功能检查,1,7,7,肝功能异常
DIS-CARD-CAD-ACS,急性冠脉综合征,LAB-CARD-D3BEA3E2BC55,低密度脂蛋白胆固醇,1,128,128,低密度脂蛋白胆固醇升高
DIS-CARD-CAD-ACS,急性冠脉综合征,LAB-CARD-FULLBOOK-5CE99AF138,动脉血气分析,1,1,1,动脉血气异常
DIS-CARD-CAD-ACS,急性冠脉综合征,LAB-CARD-A9EC1D4DA037,心肌肌钙蛋白,1,331,323,心肌肌钙蛋白升高
DIS-CARD-CAD-ACS,急性冠脉综合征,LAB-CARD-TEXT-3F8D27CB7E,白细胞计数,1,53,47,白细胞计数升高
