序号,document_id,source_type,file_name,relative_path,full_path,sha256,inclusion_reason
1,DOC-C0BB559FA2C8448A,authoritative_textbook,《内科学（第10版）》.pdf,《内科学（第10版）》.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\书籍教材\《内科学（第10版）》.pdf,C0BB559FA2C8448A54612F7EDF751C9342DF584D15CE90D0CF7E4F97BF852D78,SCOPE_PATH_OR_NAME_MATCH
2,DOC-866065446A7A5F65,consensus,2018 STEMI院前溶栓治疗中国专家共识.pdf,CAD\2018 STEMI院前溶栓治疗中国专家共识.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD\2018 STEMI院前溶栓治疗中国专家共识.pdf,866065446A7A5F6525060549128D79DAA201DFB0548CBD5C119EAEB54681E935,SCOPE_PATH_OR_NAME_MATCH
3,DOC-73CBCF74B9DAABAC,consensus,存活心肌无创影像学评价专家共识.pdf,CAD\存活心肌无创影像学评价专家共识.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD\存活心肌无创影像学评价专家共识.pdf,73CBCF74B9DAABACE7282670C96105E740B3074EE3F3FC5F40E84A1E85E57CB4,SCOPE_PATH_OR_NAME_MATCH
4,DOC-37B4754AACAB4D5F,consensus,心肌梗死心电图诊断标准和报告规范中国专家共识.pdf,CAD\心肌梗死心电图诊断标准和报告规范中国专家共识.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD\心肌梗死心电图诊断标准和报告规范中国专家共识.pdf,37B4754AACAB4D5F4ABA863BDCB5525783D011F3AFFDB04A88E05A633E8EF8EA,SCOPE_PATH_OR_NAME_MATCH
5,DOC-16A94BC5A06F338E,consensus,缺血性心肌病血运重建专家共识.pdf,CAD\缺血性心肌病血运重建专家共识.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD\缺血性心肌病血运重建专家共识.pdf,16A94BC5A06F338E21111022D547430BBECD8C2785CCA4A30ED6330A7FF062FB,SCOPE_PATH_OR_NAME_MATCH
6,DOC-AFB35BB7F5EF5657,consensus,青年急性心肌梗死诊断和治疗专家建议.pdf,CAD\青年急性心肌梗死诊断和治疗专家建议.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD\青年急性心肌梗死诊断和治疗专家建议.pdf,AFB35BB7F5EF5657A12A6FDCF08263570AB6405FBFC1EB25484D9B29FB7C9BB5,SCOPE_PATH_OR_NAME_MATCH
7,DOC-F0DDA79BAB227E88,consensus,【医脉通】2020心肌梗死后心力衰竭防治专家共识.pdf,厦心-护理\【医脉通】2020心肌梗死后心力衰竭防治专家共识.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\厦心-护理\【医脉通】2020心肌梗死后心力衰竭防治专家共识.pdf,F0DDA79BAB227E8882E23518E6B4C608D7ED151FC88353E925BF67702DB30214,SCOPE_PATH_OR_NAME_MATCH
8,DOC-AFBC49A750345874,consensus,冠心病双联抗血小板治疗中国专家共识.pdf,厦心-护理\冠心病双联抗血小板治疗中国专家共识.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\厦心-护理\冠心病双联抗血小板治疗中国专家共识.pdf,AFBC49A7503458749D2DA0040CFB73E64CB87461BD29E55B236C3A2586248B68,SCOPE_PATH_OR_NAME_MATCH
9,DOC-EC5A88A34A19CF0B,consensus,冠状动脉粥样硬化性心脏病患者药物治疗管理路径专家共识_周洋.pdf,厦心-护理\冠状动脉粥样硬化性心脏病患者药物治疗管理路径专家共识_周洋.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\厦心-护理\冠状动脉粥样硬化性心脏病患者药物治疗管理路径专家共识_周洋.pdf,EC5A88A34A19CF0B032ED4995FBD9FF37337F712ED92273EA27F50A1343EAE3F,SCOPE_PATH_OR_NAME_MATCH
10,DOC-E0F939A44074F320,guideline,2018 ESC EACTS Guidelines on myocardial revascularization.pdf,CAD\2018 ESC EACTS Guidelines on myocardial revascularization.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD\2018 ESC EACTS Guidelines on myocardial revascularization.pdf,E0F939A44074F320BC47658EE85E4C589D56B9B0BDC87D442C542CAB26848F7F,SCOPE_PATH_OR_NAME_MATCH
