"document_id","file_name","source_type","sha256","full_path"
"DOC-C0BB559FA2C8448A","《内科学（第10版）》.pdf","authoritative_textbook","C0BB559FA2C8448A54612F7EDF751C9342DF584D15CE90D0CF7E4F97BF852D78","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\书籍教材\《内科学（第10版）》.pdf"
"DOC-25584CE66134C25D","DCM  AHA  2016.pdf","unclassified","25584CE66134C25DD7D57968D1E8C6B3867B628CBAF54C22010C85798C3CB9A8","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\DCM\DCM  AHA  2016.pdf"
"DOC-FF80679E54616C13","DCM CN 2018.pdf","unclassified","FF80679E54616C13169114924E70E4E7C1D56F2BD2FD32ADBD2A733B5D586B41","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\DCM\DCM CN 2018.pdf"
"DOC-D767384247953785","DCM ESC 2016.pdf","unclassified","D7673842479537858E857019B4444F7D745E819B34CB76C7422F5E3EDB76F2A4","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\DCM\DCM ESC 2016.pdf"
"DOC-D67714E8DE3D47F1","ESC指南：心肌病的管理2023.pdf","guideline","D67714E8DE3D47F19D8918E494C758210646AFA8590BB6CB23B9A56D071A6537","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\ESC指南：心肌病的管理2023.pdf"
"DOC-DDFCCE53CA9DCC09","HCM  ESC 2023.pdf","unclassified","DDFCCE53CA9DCC09ED9798DBE2E8EF748F3474A2B964DCA0B3718DA091E1B9CB","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\HCM\HCM  ESC 2023.pdf"
"DOC-B4FBEFE540CF3447","HCM AHA 2024.pdf","unclassified","B4FBEFE540CF3447286DB54E4FC3CC567E007C3FF4B2C3038589A27C96EA0971","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\HCM\HCM AHA 2024.pdf"
"DOC-829A089219708BB6","成人法布雷病心肌病诊断与治疗中国专家共识.pdf","consensus","829A089219708BB624F0ECDDE0AFB7BE664C94E3B250600A4EBC013CA562D550","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\特殊类型心肌病\成人法布雷病心肌病诊断与治疗中国专家共识.pdf"
"DOC-6605420FFBDD9D1D","肥厚型心肌病激发_负荷超声心动图临床应用指南(2024版).pdf","guideline","6605420FFBDD9D1D2A635024A25427BC5EDEDCF05F3F129AE1346613179739B8","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\肥厚型心肌病激发_负荷超声心动图临床应用指南(2024版).pdf"
"DOC-16A94BC5A06F338E","缺血性心肌病血运重建专家共识.pdf","consensus","16A94BC5A06F338E21111022D547430BBECD8C2785CCA4A30ED6330A7FF062FB","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD\缺血性心肌病血运重建专家共识.pdf"
"DOC-FDC3DD51C7DF68F6","心肌病  AHA  2006.pdf","unclassified","FDC3DD51C7DF68F68C966EDB350F46D45ADFB7325D3EBA4BCDE9F63E5C520199","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\心肌病  AHA  2006.pdf"
"DOC-FC1C25EAC3C23336","心肌病  ESC  2008.pdf","unclassified","FC1C25EAC3C233364D91B9092F32090CD2C5CD970771DB8F4C0309008BCAC50E","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\心肌病  ESC  2008.pdf"
"DOC-CA7BFFBD6545C234","心肌病  ESC  2023.pdf","unclassified","CA7BFFBD6545C234C784EB483A57B86763F8DB3869875DE4A6F9A76F149E7E4B","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\心肌病  ESC  2023.pdf"
"DOC-D88537A6C14E3362","心肌病 WHO 1980.pdf","unclassified","D88537A6C14E336216A4027F1C2F1ADA314B739C5E2F504416662ECC75C1FE44","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\心肌病 WHO 1980.pdf"
"DOC-BC7C1C9AEA461638","心肌病MOGE(S)  ACC 2013.pdf","unclassified","BC7C1C9AEA46163889902EC3D980D23F616B32851C51B21E9BCBD7677206F98D","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\心肌病MOGE(S)  ACC 2013.pdf"
"DOC-87D96F5C223AD8B2","心肌病分类历史简介.pdf","unclassified","87D96F5C223AD8B2133AE43AE3B9315B77C46C89E8C98318254BA9DA888118CA","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\心肌病分类历史简介.pdf"
"DOC-372CA06E729E0563","心肌病心内膜心肌活检及病理检查临床应用指南.pdf","guideline","372CA06E729E0563BADA868D310E54FC489F7E0354B9A6FA1533AC7374D99C91","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\心肌病心内膜心肌活检及病理检查临床应用指南.pdf"
"DOC-EE4059BC9FA37E66","心肌病诊断与治疗建议  2007.pdf","consensus","EE4059BC9FA37E66D82FB6C250F6103D8B99C885EEA06D1049BC7EFDCA6CB1BB","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\心肌病诊断与治疗建议  2007.pdf"
"DOC-80984BC35C87AC53","中国 成人肥厚型心肌病诊断与治疗指南2023.pdf","guideline","80984BC35C87AC531B5EBE6E444D8E6EF4A7E903D8A4440D28AFD6DC46BEF8D8","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\中国 成人肥厚型心肌病诊断与治疗指南2023.pdf"
"DOC-65A62585E5B5B852","中国 扩张型心肌病诊断和治疗指南2018.pdf","guideline","65A62585E5B5B8528111432A98B97E6FA5FBCFEC731A602365CB54669168F21E","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\中国 扩张型心肌病诊断和治疗指南2018.pdf"
"DOC-8917447CF08D5176","中国心肌病综合管理指南2025.pdf","guideline","8917447CF08D517602E6731F5F7D8AC0E35F1E6D6599B4FE6175E2DE6D9994E6","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\中国心肌病综合管理指南2025.pdf"
"DOC-D5BB02FE1F42C407","左心室肥厚诊断和治疗临床路径中国专家共识2023.pdf","consensus","D5BB02FE1F42C40795B6A43F32BCA7AA5A76D8E4C1E9A050CE0178A5FD3D8210","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\左心室肥厚诊断和治疗临床路径中国专家共识2023.pdf"
