entityType,name,cnt,codes
DiagnosisCriteriaComponent,可初步作出UA/NSTEMI诊断,3,"['CARD-SKELETON-FULL-20260709-DIAGNOSISCRITERIACOMPONENT-9FE38DDC64EEF8C5', 'DXC-COMP-CARD-CADREM-NSTEMI-2795D09C52', 'DXC-COMP-CARD-CADREM-UA-2795D09C52']"
Medication,依那普利,3,"['MED-CARD-FE9616A928B4', 'MED-CARD-FFAA53CEB3F6', 'MED-CARD-STD-FE9616A928']"
Medication,地尔硫卓,3,"['MED-CARD-0401DB9741D8', 'MED-CARD-46B9D435A756', 'MED-CARD-STD-0401DB9741']"
Medication,培哚普利,3,"['MED-CARD-4E3948E735D0', 'MED-CARD-92C1B5DBC246', 'MED-CARD-STD-4E3948E735']"
Medication,替米沙坦,3,"['MED-CARD-187A38926633', 'MED-CARD-4B7E477CBBB5', 'MED-CARD-STD-187A389266']"
Medication,氨氯地平,3,"['MED-CARD-3376F036ECB2', 'MED-CARD-DB0237EA7215', 'MED-CARD-STD-3376F036EC']"
Medication,氯沙坦,3,"['MED-CARD-AB4975A1477D', 'MED-CARD-8E0DA7E93A15', 'MED-CARD-STD-AB4975A147']"
Medication,瑞舒伐他汀,3,"['MED-CARD-DB0416905798', 'MED-CARD-STD-78DD48EF71', 'MED-CARD-ROSUVASTATIN']"
Medication,维拉帕米,3,"['MED-CARD-C685CE7163F5', 'MED-CARD-4973D3CA200F', 'MED-CARD-STD-C685CE7163']"
Medication,缬沙坦,3,"['MED-CARD-9118D01D97D8', 'MED-CARD-B11E6D463DE0', 'MED-CARD-STD-9118D01D97']"
Medication,贝那普利,3,"['MED-CARD-F061E1CD48F6', 'MED-CARD-D87B39448743', 'MED-CARD-STD-F061E1CD48']"
Medication,阿托伐他汀,3,"['MED-CARD-498184546A72', 'MED-CARD-STD-74A94453C6', 'MED-CARD-ATORVASTATIN']"
