disease,disease_code,plan,plan_code,direct_rel_type,direct_formal_ready,formal_rec_n,plan_downstream_n,plan_evidence_n,downstream_examples
Brugada综合征,DIS-CARD-ARR-BRUGADA,Brugada综合征治疗方案,PLAN-CARD-A977F77F5BC2,has_treatment_plan,False,0,18,13,"['普萘洛尔', '同步电复律', 'β受体阻滞剂', '导管消融', '心肺复苏']"
Brugada综合征,DIS-CARD-ARR-BRUGADA,ICD治疗,PLAN-CARD-946BE3CB675F,has_treatment_plan,False,0,1,669,['埋藏式心脏转复除颤器']
Brugada综合征,DIS-CARD-ARR-BRUGADA,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,has_treatment_plan,False,0,2,70,"['胺碘酮', '电复律']"
Brugada综合征,DIS-CARD-ARR-BRUGADA,射频消融治疗,PLAN-CARD-8D7FDE84DC07,has_treatment_plan,False,0,1,98,['导管消融']
Brugada综合征,DIS-CARD-ARR-BRUGADA,抗心律失常药物治疗,PLAN-CARD-E01DCE98BB99,has_treatment_plan,False,0,4,175,"['索他洛尔', '利多卡因', '胺碘酮', '抗心律失常药物']"
Brugada综合征,DIS-CARD-ARR-BRUGADA,电复律除颤,PLAN-CARD-A694F46F1102,has_treatment_plan,False,0,2,301,"['电除颤', '同步电复律']"
ST段抬高型心肌梗死,DIS-CARD-CAD-STEMI,STEMI治疗总原则,PLAN-CARD-STEMI-618FFC98541F,has_treatment_plan,False,0,11,1,"['同步直流电复律', '非同步直流电除颤', '补救性PCI', '经皮冠状动脉介入治疗', '临时起搏治疗']"
ST段抬高型心肌梗死,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死治疗方案,PLAN-CARD-46086B93DD2D,has_treatment_plan,False,0,1,82,['ST段抬高型心肌梗死治疗路径']
ST段抬高型心肌梗死,DIS-CARD-CAD-STEMI,再灌注治疗,PLAN-CARD-3972CBC8228B,has_treatment_plan,False,0,2,362,"['溶栓药物', '经皮冠状动脉介入治疗']"
ST段抬高型心肌梗死,DIS-CARD-CAD-STEMI,抗凝治疗,PLAN-CARD-A1C4E6332D38,has_treatment_plan,False,0,6,236,"['抗凝药物', '达比加群酯', '华法林', '利伐沙班', '阿哌沙班']"
ST段抬高型心肌梗死,DIS-CARD-CAD-STEMI,抗血小板治疗,PLAN-CARD-42FD049DCDB5,has_treatment_plan,False,0,1,596,['抗血小板药物']
ST段抬高型心肌梗死,DIS-CARD-CAD-STEMI,溶栓治疗,PLAN-CARD-FULLBOOK-B87D3F557B,has_treatment_plan,False,0,6,1,"['尿激酶', '重组人尿激酶原', '溶栓药物', '替奈普酶', '阿替普酶']"
ST段抬高型心肌梗死,DIS-CARD-CAD-STEMI,直接PCI治疗,PLAN-CARD-STEMI-A8A3EB1D6170,has_treatment_plan,False,0,1,1,['经皮冠状动脉介入治疗']
ST段抬高型心肌梗死,DIS-CARD-CAD-STEMI,血运重建,PLAN-CARD-TEXT-EEF9C97B59,has_treatment_plan,False,0,2,10,"['冠状动脉旁路移植术', '经皮冠状动脉介入治疗']"
Stanford B型主动脉夹层,DIS-CARD-TBAD,Stanford B型主动脉夹层治疗方案,PLAN-CARD-2D26CE890CFB,has_treatment_plan,,0,2,21,"['外科手术治疗', '腔内修复治疗']"
一度房室传导阻滞,DIS-CARD-ARR-AVB1,一度房室传导阻滞治疗方案,PLAN-CARD-85C17399C1E4,has_treatment_plan,False,0,4,9,"['病因治疗', '诱因纠正', '观察随访', '一度房室传导阻滞治疗路径']"
三尖瓣反流,DIS-CARD-VHD-TR,三尖瓣反流治疗方案,PLAN-CARD-52C1A4D1A5C5,has_treatment_plan,,0,2,41,"['经导管主动脉瓣置换术', '经导管二尖瓣缘对缘修复术']"
三度房室传导阻滞,DIS-CARD-ARR-AVB3,三度房室传导阻滞治疗方案,PLAN-CARD-B5595FF75DE4,has_treatment_plan,False,0,5,25,"['异丙肾上腺素', '临时心脏起搏', '永久起搏器植入', '阿托品', '三度房室传导阻滞治疗路径']"
不稳定型心绞痛,DIS-CARD-CAD-UA,不稳定型心绞痛治疗方案,PLAN-CARD-8B4C35522D9A,has_treatment_plan,False,0,1,11,['不稳定型心绞痛治疗路径']
不稳定型心绞痛,DIS-CARD-CAD-UA,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,has_treatment_plan,False,0,2,70,"['胺碘酮', '电复律']"
不稳定型心绞痛,DIS-CARD-CAD-UA,抗凝治疗,PLAN-CARD-A1C4E6332D38,has_treatment_plan,False,0,6,236,"['抗凝药物', '达比加群酯', '华法林', '利伐沙班', '阿哌沙班']"
不稳定型心绞痛,DIS-CARD-CAD-UA,抗血小板治疗,PLAN-CARD-42FD049DCDB5,has_treatment_plan,False,0,1,596,['抗血小板药物']
不稳定型心绞痛,DIS-CARD-CAD-UA,氧疗,PLAN-CARD-FULLBOOK-BBA9C43055,has_treatment_plan,False,0,1,4,['吸氧治疗']
不稳定型心绞痛,DIS-CARD-CAD-UA,血运重建,PLAN-CARD-TEXT-EEF9C97B59,has_treatment_plan,False,0,2,10,"['冠状动脉旁路移植术', '经皮冠状动脉介入治疗']"
主动脉夹层,DIS-CARD-AORTIC-DISSECTION,主动脉夹层治疗方案,PLAN-CARD-BDB366A7AC40,has_treatment_plan,,0,2,34,"['经皮介入治疗', '外科手术治疗']"
主动脉夹层,DIS-CARD-AORTIC-DISSECTION,抗凝治疗,PLAN-CARD-A1C4E6332D38,has_treatment_plan,False,0,6,236,"['抗凝药物', '达比加群酯', '华法林', '利伐沙班', '阿哌沙班']"
主动脉夹层,DIS-CARD-AORTIC-DISSECTION,溶栓治疗,PLAN-CARD-FULLBOOK-B87D3F557B,has_treatment_plan,False,0,6,1,"['尿激酶', '重组人尿激酶原', '溶栓药物', '替奈普酶', '阿替普酶']"
主动脉瓣反流,DIS-CARD-VHD-AR,主动脉瓣反流治疗方案,PLAN-CARD-5B07F7891E7A,has_treatment_plan,,0,2,61,"['经导管二尖瓣缘对缘修复术', '经导管主动脉瓣置换术']"
主动脉瓣反流,DIS-CARD-VHD-AR,氧疗,PLAN-CARD-FULLBOOK-BBA9C43055,has_treatment_plan,False,0,1,4,['吸氧治疗']
主动脉瓣反流,DIS-CARD-VHD-AR,降压治疗,PLAN-CARD-BDE62A3BE028,has_treatment_plan,False,0,11,349,"['利尿剂', '血管紧张素Ⅱ受体拮抗剂', '钙通道阻滞剂', '血管紧张素Ⅱ受体阻滞剂', '血管紧张素转换酶抑制剂']"
主动脉瓣狭窄,DIS-CARD-VHD-AS,主动脉瓣狭窄治疗方案,PLAN-CARD-972500D471D3,has_treatment_plan,,0,3,155,"['经导管主动脉瓣置换术', '经皮球囊肺动脉瓣成形术', '经导管二尖瓣缘对缘修复术']"
主动脉瓣狭窄,DIS-CARD-VHD-AS,氧疗,PLAN-CARD-FULLBOOK-BBA9C43055,has_treatment_plan,False,0,1,4,['吸氧治疗']
主动脉瓣狭窄,DIS-CARD-VHD-AS,降压治疗,PLAN-CARD-BDE62A3BE028,has_treatment_plan,False,0,11,349,"['利尿剂', '血管紧张素Ⅱ受体拮抗剂', '钙通道阻滞剂', '血管紧张素Ⅱ受体阻滞剂', '血管紧张素转换酶抑制剂']"
主动脉瘤,DIS-CARD-AORTA-ANEURYSM,血运重建,PLAN-CARD-TEXT-EEF9C97B59,has_treatment_plan,False,0,2,10,"['冠状动脉旁路移植术', '经皮冠状动脉介入治疗']"
二尖瓣反流,DIS-CARD-VHD-MR,二尖瓣反流治疗方案,PLAN-CARD-D13735E31259,has_treatment_plan,,0,4,99,"['阿司匹林', '苄星青霉素', '经导管主动脉瓣置换术', '经导管二尖瓣缘对缘修复术']"
二尖瓣反流,DIS-CARD-VHD-MR,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,has_treatment_plan,False,0,2,70,"['胺碘酮', '电复律']"
二尖瓣反流,DIS-CARD-VHD-MR,抗凝治疗,PLAN-CARD-A1C4E6332D38,has_treatment_plan,False,0,6,236,"['抗凝药物', '达比加群酯', '华法林', '利伐沙班', '阿哌沙班']"
二尖瓣反流,DIS-CARD-VHD-MR,降压治疗,PLAN-CARD-BDE62A3BE028,has_treatment_plan,False,0,11,349,"['利尿剂', '血管紧张素Ⅱ受体拮抗剂', '钙通道阻滞剂', '血管紧张素Ⅱ受体阻滞剂', '血管紧张素转换酶抑制剂']"
二尖瓣狭窄,DIS-CARD-VHD-MS,二尖瓣狭窄治疗方案,PLAN-CARD-E263D399B9AC,has_treatment_plan,,0,2,46,"['经导管主动脉瓣置换术', '经导管二尖瓣缘对缘修复术']"
二尖瓣狭窄,DIS-CARD-VHD-MS,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,has_treatment_plan,False,0,2,70,"['胺碘酮', '电复律']"
二尖瓣狭窄,DIS-CARD-VHD-MS,抗凝治疗,PLAN-CARD-A1C4E6332D38,has_treatment_plan,False,0,6,236,"['抗凝药物', '达比加群酯', '华法林', '利伐沙班', '阿哌沙班']"
二尖瓣狭窄,DIS-CARD-VHD-MS,氧疗,PLAN-CARD-FULLBOOK-BBA9C43055,has_treatment_plan,False,0,1,4,['吸氧治疗']
二尖瓣狭窄,DIS-CARD-VHD-MS,血运重建,PLAN-CARD-TEXT-EEF9C97B59,has_treatment_plan,False,0,2,10,"['冠状动脉旁路移植术', '经皮冠状动脉介入治疗']"
二度房室传导阻滞,DIS-CARD-ARR-AVB2,二度房室传导阻滞治疗方案,PLAN-CARD-1A90D3A039E7,has_treatment_plan,False,0,7,3,"['异丙肾上腺素', '永久起搏器植入', '临时心脏起搏', '阿托品', '起搏治疗']"
儿茶酚胺敏感性多形性室性心动过速,DIS-CARD-ARR-CPVT,ICD治疗,PLAN-CARD-946BE3CB675F,has_treatment_plan,False,0,1,669,['埋藏式心脏转复除颤器']
儿茶酚胺敏感性多形性室性心动过速,DIS-CARD-ARR-CPVT,儿茶酚胺敏感性多形性室性心动过速治疗方案,PLAN-CARD-D4265EE715BD,has_treatment_plan,False,0,14,10,"['奎尼丁', '电复律除颤', '植入式心律转复除颤器', '抗心律失常药物治疗', '导管消融']"
儿茶酚胺敏感性多形性室性心动过速,DIS-CARD-ARR-CPVT,抗心律失常药物治疗,PLAN-CARD-E01DCE98BB99,has_treatment_plan,False,0,4,175,"['索他洛尔', '利多卡因', '胺碘酮', '抗心律失常药物']"
儿茶酚胺敏感性多形性室性心动过速,DIS-CARD-ARR-CPVT,电复律除颤,PLAN-CARD-A694F46F1102,has_treatment_plan,False,0,2,301,"['电除颤', '同步电复律']"
