rec_code,rec_name,disease,disease_code,plan,plan_code,evidence_n
REC-HT-ENDOCRINE-TX-PLAN-CARD-BDE62A3BE028,内分泌性高血压：降压治疗推荐,内分泌性高血压,DIS-CARD-HT-ENDOCRINE,降压治疗,PLAN-CARD-BDE62A3BE028,2
REC-HT-PA-TX-PLAN-CARD-0CDCF256C0E6,原发性醛固酮增多症：联合降压治疗推荐,原发性醛固酮增多症,DIS-CARD-HT-PA,联合降压治疗,PLAN-CARD-0CDCF256C0E6,2
REC-HT-PRIMARY-TX-PLAN-CARD-2081B78ED14D,原发性高血压：生活方式干预推荐,原发性高血压,DIS-CARD-HT-PRIMARY,生活方式干预,PLAN-CARD-2081B78ED14D,1
REC-HT-PRIMARY-TX-PLAN-CARD-0CDCF256C0E6,原发性高血压：联合降压治疗推荐,原发性高血压,DIS-CARD-HT-PRIMARY,联合降压治疗,PLAN-CARD-0CDCF256C0E6,1
REC-HT-CKD-TX-PLAN-CARD-BDE62A3BE028,慢性肾脏病合并高血压：降压治疗推荐,慢性肾脏病合并高血压,DIS-CARD-HT-CKD,降压治疗,PLAN-CARD-BDE62A3BE028,2
REC-HT-WCH-TX-PLAN-CARD-2081B78ED14D,白大衣高血压：生活方式干预推荐,白大衣高血压,DIS-CARD-HT-WCH,生活方式干预,PLAN-CARD-2081B78ED14D,2
REC-HT-SECONDARY-TX-PLAN-CARD-0CDCF256C0E6,继发性高血压：联合降压治疗推荐,继发性高血压,DIS-CARD-HT-SECONDARY,联合降压治疗,PLAN-CARD-0CDCF256C0E6,1
REC-HT-SECONDARY-TX-PLAN-CARD-BDE62A3BE028,继发性高血压：降压治疗推荐,继发性高血压,DIS-CARD-HT-SECONDARY,降压治疗,PLAN-CARD-BDE62A3BE028,1
REC-HT-ELDERLY-TX-PLAN-CARD-0CDCF256C0E6,老年高血压：联合降压治疗推荐,老年高血压,DIS-CARD-HT-ELDERLY,联合降压治疗,PLAN-CARD-0CDCF256C0E6,2
REC-HT-RENAL-PARENCHYMAL-TX-PLAN-CARD-BDE62A3BE028,肾实质性高血压：降压治疗推荐,肾实质性高血压,DIS-CARD-HT-RENAL-PARENCHYMAL,降压治疗,PLAN-CARD-BDE62A3BE028,2
REC-HT-RENOVASCULAR-TX-PLAN-CARD-0CDCF256C0E6,肾血管性高血压：联合降压治疗推荐,肾血管性高血压,DIS-CARD-HT-RENOVASCULAR,联合降压治疗,PLAN-CARD-0CDCF256C0E6,2
REC-HT-MASKED-TX-PLAN-CARD-2081B78ED14D,隐匿性高血压：生活方式干预推荐,隐匿性高血压,DIS-CARD-HT-MASKED,生活方式干预,PLAN-CARD-2081B78ED14D,2
REC-HT-RESISTANT-TX-PLAN-CARD-2081B78ED14D,难治性高血压：生活方式干预推荐,难治性高血压,DIS-CARD-HT-RESISTANT,生活方式干预,PLAN-CARD-2081B78ED14D,1
REC-HT-RESISTANT-TX-PLAN-CARD-0CDCF256C0E6,难治性高血压：联合降压治疗推荐,难治性高血压,DIS-CARD-HT-RESISTANT,联合降压治疗,PLAN-CARD-0CDCF256C0E6,1
REC-HT-HT-TX-PLAN-CARD-2081B78ED14D,高血压：生活方式干预推荐,高血压,DIS-CARD-HT,生活方式干预,PLAN-CARD-2081B78ED14D,1
REC-HT-HT-TX-PLAN-CARD-0CDCF256C0E6,高血压：联合降压治疗推荐,高血压,DIS-CARD-HT,联合降压治疗,PLAN-CARD-0CDCF256C0E6,1
REC-HT-URGENCY-TX-PLAN-CARD-BDE62A3BE028,高血压亚急症：降压治疗推荐,高血压亚急症,DIS-CARD-HT-URGENCY,降压治疗,PLAN-CARD-BDE62A3BE028,2
REC-HT-EMERGENCY-TX-PLAN-CARD-0CDCF256C0E6,高血压急症：联合降压治疗推荐,高血压急症,DIS-CARD-HT-EMERGENCY,联合降压治疗,PLAN-CARD-0CDCF256C0E6,1
REC-HT-EMERGENCY-TX-PLAN-CARD-BDE62A3BE028,高血压急症：降压治疗推荐,高血压急症,DIS-CARD-HT-EMERGENCY,降压治疗,PLAN-CARD-BDE62A3BE028,1
