疾病,疾病编码,治疗方案,治疗方案编码,是否已标记非正式推荐入口,使用范围,正式推荐入口要求
Brugada综合征,DIS-CARD-ARR-BRUGADA,Brugada综合征治疗方案,PLAN-CARD-A977F77F5BC2,True,knowledge_explore_only,RecommendationStatement->recommends_action
Brugada综合征,DIS-CARD-ARR-BRUGADA,ICD治疗,PLAN-CARD-946BE3CB675F,True,knowledge_explore_only,RecommendationStatement->recommends_action
Brugada综合征,DIS-CARD-ARR-BRUGADA,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,True,knowledge_explore_only,RecommendationStatement->recommends_action
Brugada综合征,DIS-CARD-ARR-BRUGADA,射频消融治疗,PLAN-CARD-8D7FDE84DC07,True,knowledge_explore_only,RecommendationStatement->recommends_action
Brugada综合征,DIS-CARD-ARR-BRUGADA,抗心律失常药物治疗,PLAN-CARD-E01DCE98BB99,True,knowledge_explore_only,RecommendationStatement->recommends_action
Brugada综合征,DIS-CARD-ARR-BRUGADA,电复律除颤,PLAN-CARD-A694F46F1102,True,knowledge_explore_only,RecommendationStatement->recommends_action
ST段抬高型心肌梗死,DIS-CARD-CAD-STEMI,STEMI治疗总原则,PLAN-CARD-STEMI-618FFC98541F,True,knowledge_explore_only,RecommendationStatement->recommends_action
ST段抬高型心肌梗死,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死治疗方案,PLAN-CARD-46086B93DD2D,True,knowledge_explore_only,RecommendationStatement->recommends_action
ST段抬高型心肌梗死,DIS-CARD-CAD-STEMI,再灌注治疗,PLAN-CARD-3972CBC8228B,True,knowledge_explore_only,RecommendationStatement->recommends_action
ST段抬高型心肌梗死,DIS-CARD-CAD-STEMI,抗凝治疗,PLAN-CARD-A1C4E6332D38,True,knowledge_explore_only,RecommendationStatement->recommends_action
ST段抬高型心肌梗死,DIS-CARD-CAD-STEMI,抗血小板治疗,PLAN-CARD-42FD049DCDB5,True,knowledge_explore_only,RecommendationStatement->recommends_action
ST段抬高型心肌梗死,DIS-CARD-CAD-STEMI,溶栓治疗,PLAN-CARD-FULLBOOK-B87D3F557B,True,knowledge_explore_only,RecommendationStatement->recommends_action
ST段抬高型心肌梗死,DIS-CARD-CAD-STEMI,直接PCI治疗,PLAN-CARD-STEMI-A8A3EB1D6170,True,knowledge_explore_only,RecommendationStatement->recommends_action
ST段抬高型心肌梗死,DIS-CARD-CAD-STEMI,血运重建,PLAN-CARD-TEXT-EEF9C97B59,True,knowledge_explore_only,RecommendationStatement->recommends_action
Stanford B型主动脉夹层,DIS-CARD-TBAD,Stanford B型主动脉夹层治疗方案,PLAN-CARD-2D26CE890CFB,True,knowledge_explore_only,RecommendationStatement->recommends_action
一度房室传导阻滞,DIS-CARD-ARR-AVB1,一度房室传导阻滞治疗方案,PLAN-CARD-85C17399C1E4,True,knowledge_explore_only,RecommendationStatement->recommends_action
三尖瓣反流,DIS-CARD-VHD-TR,三尖瓣反流治疗方案,PLAN-CARD-52C1A4D1A5C5,True,knowledge_explore_only,RecommendationStatement->recommends_action
三度房室传导阻滞,DIS-CARD-ARR-AVB3,三度房室传导阻滞治疗方案,PLAN-CARD-B5595FF75DE4,True,knowledge_explore_only,RecommendationStatement->recommends_action
不稳定型心绞痛,DIS-CARD-CAD-UA,不稳定型心绞痛治疗方案,PLAN-CARD-8B4C35522D9A,True,knowledge_explore_only,RecommendationStatement->recommends_action
不稳定型心绞痛,DIS-CARD-CAD-UA,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,True,knowledge_explore_only,RecommendationStatement->recommends_action
不稳定型心绞痛,DIS-CARD-CAD-UA,抗凝治疗,PLAN-CARD-A1C4E6332D38,True,knowledge_explore_only,RecommendationStatement->recommends_action
不稳定型心绞痛,DIS-CARD-CAD-UA,抗血小板治疗,PLAN-CARD-42FD049DCDB5,True,knowledge_explore_only,RecommendationStatement->recommends_action
不稳定型心绞痛,DIS-CARD-CAD-UA,氧疗,PLAN-CARD-FULLBOOK-BBA9C43055,True,knowledge_explore_only,RecommendationStatement->recommends_action
不稳定型心绞痛,DIS-CARD-CAD-UA,血运重建,PLAN-CARD-TEXT-EEF9C97B59,True,knowledge_explore_only,RecommendationStatement->recommends_action
主动脉夹层,DIS-CARD-AORTIC-DISSECTION,主动脉夹层治疗方案,PLAN-CARD-BDB366A7AC40,True,knowledge_explore_only,RecommendationStatement->recommends_action
主动脉夹层,DIS-CARD-AORTIC-DISSECTION,抗凝治疗,PLAN-CARD-A1C4E6332D38,True,knowledge_explore_only,RecommendationStatement->recommends_action
主动脉夹层,DIS-CARD-AORTIC-DISSECTION,溶栓治疗,PLAN-CARD-FULLBOOK-B87D3F557B,True,knowledge_explore_only,RecommendationStatement->recommends_action
主动脉瓣反流,DIS-CARD-VHD-AR,主动脉瓣反流治疗方案,PLAN-CARD-5B07F7891E7A,True,knowledge_explore_only,RecommendationStatement->recommends_action
主动脉瓣反流,DIS-CARD-VHD-AR,氧疗,PLAN-CARD-FULLBOOK-BBA9C43055,True,knowledge_explore_only,RecommendationStatement->recommends_action
主动脉瓣反流,DIS-CARD-VHD-AR,降压治疗,PLAN-CARD-BDE62A3BE028,True,knowledge_explore_only,RecommendationStatement->recommends_action
主动脉瓣狭窄,DIS-CARD-VHD-AS,主动脉瓣狭窄治疗方案,PLAN-CARD-972500D471D3,True,knowledge_explore_only,RecommendationStatement->recommends_action
主动脉瓣狭窄,DIS-CARD-VHD-AS,氧疗,PLAN-CARD-FULLBOOK-BBA9C43055,True,knowledge_explore_only,RecommendationStatement->recommends_action
主动脉瓣狭窄,DIS-CARD-VHD-AS,降压治疗,PLAN-CARD-BDE62A3BE028,True,knowledge_explore_only,RecommendationStatement->recommends_action
主动脉瘤,DIS-CARD-AORTA-ANEURYSM,血运重建,PLAN-CARD-TEXT-EEF9C97B59,True,knowledge_explore_only,RecommendationStatement->recommends_action
二尖瓣反流,DIS-CARD-VHD-MR,二尖瓣反流治疗方案,PLAN-CARD-D13735E31259,True,knowledge_explore_only,RecommendationStatement->recommends_action
二尖瓣反流,DIS-CARD-VHD-MR,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,True,knowledge_explore_only,RecommendationStatement->recommends_action
二尖瓣反流,DIS-CARD-VHD-MR,抗凝治疗,PLAN-CARD-A1C4E6332D38,True,knowledge_explore_only,RecommendationStatement->recommends_action
二尖瓣反流,DIS-CARD-VHD-MR,降压治疗,PLAN-CARD-BDE62A3BE028,True,knowledge_explore_only,RecommendationStatement->recommends_action
二尖瓣狭窄,DIS-CARD-VHD-MS,二尖瓣狭窄治疗方案,PLAN-CARD-E263D399B9AC,True,knowledge_explore_only,RecommendationStatement->recommends_action
二尖瓣狭窄,DIS-CARD-VHD-MS,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,True,knowledge_explore_only,RecommendationStatement->recommends_action
二尖瓣狭窄,DIS-CARD-VHD-MS,抗凝治疗,PLAN-CARD-A1C4E6332D38,True,knowledge_explore_only,RecommendationStatement->recommends_action
二尖瓣狭窄,DIS-CARD-VHD-MS,控制心室率,PLAN-CARD-TEXT-655F4B37BC,True,knowledge_explore_only,RecommendationStatement->recommends_action
二尖瓣狭窄,DIS-CARD-VHD-MS,氧疗,PLAN-CARD-FULLBOOK-BBA9C43055,True,knowledge_explore_only,RecommendationStatement->recommends_action
二尖瓣狭窄,DIS-CARD-VHD-MS,血运重建,PLAN-CARD-TEXT-EEF9C97B59,True,knowledge_explore_only,RecommendationStatement->recommends_action
二度房室传导阻滞,DIS-CARD-ARR-AVB2,二度房室传导阻滞治疗方案,PLAN-CARD-1A90D3A039E7,True,knowledge_explore_only,RecommendationStatement->recommends_action
儿茶酚胺敏感性多形性室性心动过速,DIS-CARD-ARR-CPVT,ICD治疗,PLAN-CARD-946BE3CB675F,True,knowledge_explore_only,RecommendationStatement->recommends_action
儿茶酚胺敏感性多形性室性心动过速,DIS-CARD-ARR-CPVT,儿茶酚胺敏感性多形性室性心动过速治疗方案,PLAN-CARD-D4265EE715BD,True,knowledge_explore_only,RecommendationStatement->recommends_action
儿茶酚胺敏感性多形性室性心动过速,DIS-CARD-ARR-CPVT,抗心律失常药物治疗,PLAN-CARD-E01DCE98BB99,True,knowledge_explore_only,RecommendationStatement->recommends_action
儿茶酚胺敏感性多形性室性心动过速,DIS-CARD-ARR-CPVT,电复律除颤,PLAN-CARD-A694F46F1102,True,knowledge_explore_only,RecommendationStatement->recommends_action
先天性心脏病,DIS-CARD-CHD,先天性心脏病治疗方案,PLAN-CARD-364511B07637,True,knowledge_explore_only,RecommendationStatement->recommends_action
先天性心脏病相关肺动脉高压,DIS-CARD-PH-CHD,先天性心脏病相关肺动脉高压治疗方案,PLAN-CARD-68BA260702ED,True,knowledge_explore_only,RecommendationStatement->recommends_action
全心衰竭,DIS-CARD-HF-BIVENTRICULAR,全心衰竭治疗方案,PLAN-CARD-E34C37595CAA,True,knowledge_explore_only,RecommendationStatement->recommends_action
内分泌性高血压,DIS-CARD-HT-ENDOCRINE,降压治疗,PLAN-CARD-BDE62A3BE028,True,knowledge_explore_only,RecommendationStatement->recommends_action
冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-CHD,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,True,knowledge_explore_only,RecommendationStatement->recommends_action
冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-CHD,抗凝治疗,PLAN-CARD-A1C4E6332D38,True,knowledge_explore_only,RecommendationStatement->recommends_action
冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-CHD,溶栓治疗,PLAN-CARD-FULLBOOK-B87D3F557B,True,knowledge_explore_only,RecommendationStatement->recommends_action
冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-CHD,血运重建,PLAN-CARD-TEXT-EEF9C97B59,True,knowledge_explore_only,RecommendationStatement->recommends_action
冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-CHD,降压治疗,PLAN-CARD-BDE62A3BE028,True,knowledge_explore_only,RecommendationStatement->recommends_action
动脉导管未闭,DIS-CARD-PDA,动脉导管未闭治疗方案,PLAN-CARD-FB6CF2D4A097,True,knowledge_explore_only,RecommendationStatement->recommends_action
动脉性肺动脉高压,DIS-CARD-PH-PAH,动脉性肺动脉高压治疗方案,PLAN-CARD-B3899CA0A573,True,knowledge_explore_only,RecommendationStatement->recommends_action
动脉粥样硬化,DIS-CARD-CAD-ATHEROSCLEROSIS,抗凝治疗,PLAN-CARD-A1C4E6332D38,True,knowledge_explore_only,RecommendationStatement->recommends_action
动脉粥样硬化,DIS-CARD-CAD-ATHEROSCLEROSIS,溶栓治疗,PLAN-CARD-FULLBOOK-B87D3F557B,True,knowledge_explore_only,RecommendationStatement->recommends_action
动脉粥样硬化,DIS-CARD-CAD-ATHEROSCLEROSIS,血运重建,PLAN-CARD-TEXT-EEF9C97B59,True,knowledge_explore_only,RecommendationStatement->recommends_action
动脉粥样硬化,DIS-CARD-CAD-ATHEROSCLEROSIS,降压治疗,PLAN-CARD-BDE62A3BE028,True,knowledge_explore_only,RecommendationStatement->recommends_action
卵圆孔未闭,DIS-CARD-PFO,卵圆孔未闭治疗方案,PLAN-CARD-50F24D80FC7C,True,knowledge_explore_only,RecommendationStatement->recommends_action
原发性醛固酮增多症,DIS-CARD-HT-PA,联合降压治疗,PLAN-CARD-0CDCF256C0E6,True,knowledge_explore_only,RecommendationStatement->recommends_action
原发性醛固酮增多症,DIS-CARD-HT-PA,血运重建,PLAN-CARD-TEXT-EEF9C97B59,True,knowledge_explore_only,RecommendationStatement->recommends_action
原发性醛固酮增多症,DIS-CARD-HT-PA,降压治疗,PLAN-CARD-BDE62A3BE028,True,knowledge_explore_only,RecommendationStatement->recommends_action
原发性高血压,DIS-CARD-HT-PRIMARY,生活方式干预,PLAN-CARD-2081B78ED14D,True,knowledge_explore_only,RecommendationStatement->recommends_action
原发性高血压,DIS-CARD-HT-PRIMARY,联合降压治疗,PLAN-CARD-0CDCF256C0E6,True,knowledge_explore_only,RecommendationStatement->recommends_action
原发性高血压,DIS-CARD-HT-PRIMARY,降压治疗,PLAN-CARD-BDE62A3BE028,True,knowledge_explore_only,RecommendationStatement->recommends_action
右心衰竭,DIS-CARD-HF-RIGHT,右心衰竭治疗方案,PLAN-CARD-E843FA63DDCF,True,knowledge_explore_only,RecommendationStatement->recommends_action
嗜铬细胞瘤和副神经节瘤,DIS-CARD-HTN-PHEO,降压治疗,PLAN-CARD-BDE62A3BE028,True,knowledge_explore_only,RecommendationStatement->recommends_action
外周动脉疾病,DIS-CARD-PAD,外周动脉疾病治疗方案,PLAN-CARD-FDF9BEB9595E,True,knowledge_explore_only,RecommendationStatement->recommends_action
多瓣膜病,DIS-CARD-VHD-MULTI,多瓣膜病治疗方案,PLAN-CARD-5CF159A587EB,True,knowledge_explore_only,RecommendationStatement->recommends_action
室上性心动过速,DIS-CARD-ARR-SVT,同步电复律,PLAN-CARD-108E680ADD4F,True,knowledge_explore_only,RecommendationStatement->recommends_action
室上性心动过速,DIS-CARD-ARR-SVT,室上性心动过速治疗方案,PLAN-CARD-18BAD30E125A,True,knowledge_explore_only,RecommendationStatement->recommends_action
