rec_code,rec_name,clinical_review_status,review_status,cdss_release_level,formal_cdss_ready,disease_categories,diseases,disease_codes,action_n,action_names,action_codes,evidence_n,evidence_examples,rule_n,stage_n,disease_n,has_trigger,has_population,has_exclusion_or_contra,has_patient_fields,has_recommendation_class,has_evidence_level,has_statement_text,recommendation_class,evidence_level,gaps,qualification
REC-HT-CKD-DIAG-DXC-CKD,慢性肾脏病合并高血压：CKD合并高血压诊断标准推荐,clinical_batch_signed_off,approved,test_recommendation,false,高血压疾病,慢性肾脏病合并高血压,DIS-CARD-HT-CKD,1,CKD合并高血压诊断标准,DXC-HT-CKD,2,EVD-A88C4F456FAF11892EC6-CKD；EVD-2DDA42E80412B28DBCD1-CKD,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,可自动转正式
REC-HT-CKD-FU-FU-CKD-BP-RENAL,慢性肾脏病合并高血压：CKD高血压血压和肾功能随访推荐,clinical_batch_signed_off,approved,test_recommendation,false,高血压疾病,慢性肾脏病合并高血压,DIS-CARD-HT-CKD,1,CKD高血压血压和肾功能随访,FU-HT-CKD-BP-RENAL,2,EVD-A88C4F456FAF11892EC6-CKD；EVD-2DDA42E80412B28DBCD1-CKD,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,可自动转正式
REC-HT-ELDERLY-DIAG-DXC-ELDERLY,老年高血压：老年高血压诊断标准推荐,clinical_batch_signed_off,approved,test_recommendation,false,高血压疾病,老年高血压,DIS-CARD-HT-ELDERLY,1,老年高血压诊断标准,DXC-HT-ELDERLY,2,EVD-55D105F697904AE83838-ELDERLY；EVD-4D4733BDF4898D1249F4-ELDERLY,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,可自动转正式
REC-HT-ELDERLY-FU-FU-CARD-A15AFD3EECB9,老年高血压：老年高血压随访方案推荐,clinical_batch_signed_off,approved,test_recommendation,false,高血压疾病,老年高血压,DIS-CARD-HT-ELDERLY,1,老年高血压随访方案,FU-CARD-A15AFD3EECB9,2,EVD-55D105F697904AE83838-ELDERLY；EVD-4D4733BDF4898D1249F4-ELDERLY,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,可自动转正式
REC-HT-EMERGENCY-DIAG-DXC-EMERGENCY,高血压急症：高血压急症诊断标准推荐,clinical_batch_signed_off,approved,test_recommendation,false,高血压疾病,高血压急症,DIS-CARD-HT-EMERGENCY,1,高血压急症诊断标准,DXC-HT-EMERGENCY,2,EVD-5B44A97D405F06F81886-EMERGENCY；EVD-2C41FB69D2B7082252AC-EMERGENCY,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,可自动转正式
REC-HT-EMERGENCY-FU-FU-CARD-5C2A91913A3B,高血压急症：高血压急症随访方案推荐,clinical_batch_signed_off,approved,test_recommendation,false,高血压疾病,高血压急症,DIS-CARD-HT-EMERGENCY,1,高血压急症随访方案,FU-CARD-5C2A91913A3B,2,EVD-5B44A97D405F06F81886-EMERGENCY；EVD-2C41FB69D2B7082252AC-EMERGENCY,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,可自动转正式
REC-HT-ENDOCRINE-DIAG-DXC-CARD-71E8C657623B,内分泌性高血压：内分泌性高血压诊断标准推荐,clinical_batch_signed_off,approved,test_recommendation,false,高血压疾病,内分泌性高血压,DIS-CARD-HT-ENDOCRINE,1,内分泌性高血压诊断标准,DXC-CARD-71E8C657623B,2,EVD-3F12816A44E155A83816-ENDOCRINE；EVD-3BE0AA4C1951C4CEB406-ENDOCRINE,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,可自动转正式
REC-HT-ENDOCRINE-FU-FU-CARD-FD508C0F17A1,内分泌性高血压：内分泌性高血压随访方案推荐,clinical_batch_signed_off,approved,test_recommendation,false,高血压疾病,内分泌性高血压,DIS-CARD-HT-ENDOCRINE,1,内分泌性高血压随访方案,FU-CARD-FD508C0F17A1,2,EVD-3F12816A44E155A83816-ENDOCRINE；EVD-3BE0AA4C1951C4CEB406-ENDOCRINE,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,可自动转正式
REC-HT-HT-DIAG-DXC-CARD-AA96D71FB917,高血压：高血压诊断标准推荐,clinical_batch_signed_off,approved,test_recommendation,false,高血压疾病,高血压,DIS-CARD-HT,1,高血压诊断标准,DXC-CARD-AA96D71FB917,2,EVD-A88C4F456FAF11892EC6-HT；EVD-33A716520D7F8314C556-HT,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,可自动转正式
REC-HT-HT-FU-FU-CARD-67AAA3B7D885,高血压：高血压随访方案推荐,clinical_batch_signed_off,approved,test_recommendation,false,高血压疾病,高血压,DIS-CARD-HT,1,高血压随访方案,FU-CARD-67AAA3B7D885,2,EVD-A88C4F456FAF11892EC6-HT；EVD-33A716520D7F8314C556-HT,1,1,1,True,True,True,True,True,True,True,未分级推荐,专家共识/教材证据,,可自动转正式
