推荐编码,推荐名称,是否正式CDSS推荐,审核状态,发布层级,疾病大类,疾病,推荐动作数,推荐动作示例,证据数,临床规则数,诊疗阶段数,关联疾病数,推荐等级,证据等级,缺口,复核结论
REC-047C1E2BE0811E47,急性冠脉综合征路径随访安全规则｜急性冠脉综合征随访方案（随访）推荐,True,clinical_ready,formal,冠状动脉粥样硬化性心脏病,急性冠脉综合征,1,急性冠脉综合征随访方案,1,1,1,1,未结构化,未结构化,,通过
REC-06672B182152B976,房颤抗凝治疗规则｜达比加群（药物）推荐,True,clinical_ready,formal,心律失常,心房颤动,1,达比加群,3,1,1,1,未结构化,未结构化,,通过
REC-069462846083A451,长QT间期综合征路径随访安全规则｜长QT间期综合征随访与复查方案（随访）推荐,True,clinical_ready,formal,心律失常,长QT间期综合征,1,长QT间期综合征随访与复查方案,5,1,1,1,未结构化,未结构化,,通过
REC-06A4C4DDBAEDAA6A,STEMI再灌注策略选择规则｜溶栓治疗（操作/手术）推荐,True,clinical_ready,formal,冠状动脉粥样硬化性心脏病,ST段抬高型心肌梗死,1,溶栓治疗,3,1,1,1,未结构化,未结构化,,通过
REC-07308C6CEE0C3A7E,不稳定型心绞痛路径评估规则｜不稳定型心绞痛诊断标准（诊断标准）推荐,True,clinical_ready,formal,冠状动脉粥样硬化性心脏病,不稳定型心绞痛,1,不稳定型心绞痛诊断标准,5,1,1,1,未结构化,未结构化,,通过
REC-07471D46DB30A44D,儿茶酚胺敏感性多形性室性心动过速路径治疗决策规则｜儿茶酚胺敏感性多形性室性心动过速治疗方案（治疗方案）推荐,True,clinical_ready,formal,心律失常,儿茶酚胺敏感性多形性室性心动过速,1,儿茶酚胺敏感性多形性室性心动过速治疗方案,5,1,1,1,未结构化,未结构化,,通过
REC-0865E023D4216664,不稳定型心绞痛路径治疗决策规则｜复律治疗（治疗方案）推荐,True,clinical_ready,formal,冠状动脉粥样硬化性心脏病,不稳定型心绞痛,1,复律治疗,5,1,1,1,未结构化,未结构化,,通过
REC-09D8E5D4AD1DFC74,室上速/房扑心电机制分型规则｜心房扑动诊断标准（诊断标准）推荐,True,clinical_ready,formal,心律失常,室上性心动过速,1,心房扑动诊断标准,2,1,1,1,未结构化,未结构化,,通过
REC-0AE833429DB28639,心脏性猝死路径治疗决策规则｜抗心律失常药物治疗（治疗方案）推荐,True,clinical_ready,formal,心脏骤停与心脏性猝死；心律失常,心脏性猝死,1,抗心律失常药物治疗,4,1,1,1,未结构化,未结构化,,通过
REC-0B490AFB3BD72C3E,非持续性室性心动过速路径治疗决策规则｜电复律除颤（治疗方案）推荐,True,clinical_ready,formal,心律失常,非持续性室性心动过速,1,电复律除颤,5,1,1,1,未结构化,未结构化,,通过
REC-0C33C27DD9EEF105,急性冠脉综合征路径治疗决策规则｜抗凝治疗（治疗方案）推荐,True,clinical_ready,formal,冠状动脉粥样硬化性心脏病,急性冠脉综合征,1,抗凝治疗,1,1,1,1,未结构化,未结构化,,通过
REC-0C4298F05F8B721B,STEMI抗血小板与抗凝治疗规则｜阿司匹林（药物）推荐,True,clinical_ready,formal,冠状动脉粥样硬化性心脏病,ST段抬高型心肌梗死,1,阿司匹林,2,1,1,1,未结构化,未结构化,,通过
REC-0C79D172AF1123A2,肥厚型心肌病路径随访安全规则｜肥厚型心肌病随访方案（随访）推荐,True,clinical_ready,formal,心肌病,肥厚型心肌病,1,肥厚型心肌病随访方案,5,1,1,1,未结构化,未结构化,,通过
REC-0CEA840B84C9A729,儿茶酚胺敏感性多形性室性心动过速路径治疗决策规则｜电复律除颤（治疗方案）推荐,True,clinical_ready,formal,心律失常,儿茶酚胺敏感性多形性室性心动过速,1,电复律除颤,5,1,1,1,未结构化,未结构化,,通过
REC-0D8FA636CC44E581,持续性室性心动过速路径治疗决策规则｜射频消融治疗（治疗方案）推荐,True,clinical_ready,formal,心律失常,持续性室性心动过速,1,射频消融治疗,5,1,1,1,未结构化,未结构化,,通过
REC-0DB8C46972871FD9,心脏骤停路径随访安全规则｜心脏骤停随访方案（随访）推荐,True,clinical_ready,formal,心脏骤停与心脏性猝死；心律失常,心脏骤停,1,心脏骤停随访方案,2,1,1,1,未结构化,未结构化,,通过
REC-0DDF91E5FAF604FF,致心律失常性双心室心肌病路径治疗决策规则｜抗凝治疗（治疗方案）推荐,True,clinical_ready,formal,心肌病,致心律失常性双心室心肌病,1,抗凝治疗,5,1,1,1,未结构化,未结构化,,通过
REC-0E671D461545F253,长QT间期综合征路径治疗决策规则｜ICD治疗（治疗方案）推荐,True,clinical_ready,formal,心律失常,长QT间期综合征,1,ICD治疗,5,1,1,1,未结构化,未结构化,,通过
REC-0F630AC742C64BB6,心衰LVEF分型规则｜射血分数降低的心力衰竭诊断标准（诊断标准）推荐,True,clinical_ready,formal,心力衰竭,心力衰竭,1,射血分数降低的心力衰竭诊断标准,2,1,1,1,未结构化,未结构化,,通过
REC-0F86F06B81582959,心房心肌病路径随访安全规则｜心房心肌病随访方案（随访）推荐,True,clinical_ready,formal,心肌病,心房心肌病,1,心房心肌病随访方案,5,1,1,1,未结构化,未结构化,,通过
REC-0F8ACA9DB3CC3645,稳定窄QRS SVT急性终止规则｜腺苷（药物）推荐,True,clinical_ready,formal,心律失常,室上性心动过速,1,腺苷,3,1,1,1,未结构化,未结构化,,通过
REC-0FCD2D2818CA7033,房颤随访规则｜CHA2DS2-VASc评分（风险分层）推荐,True,clinical_ready,formal,心律失常,心房颤动,1,CHA2DS2-VASc评分,2,1,1,1,未结构化,未结构化,,通过
REC-121D8EE47068F523,Brugada综合征路径治疗决策规则｜Brugada综合征治疗方案（治疗方案）推荐,True,clinical_ready,formal,心律失常,Brugada综合征,1,Brugada综合征治疗方案,5,1,1,1,未结构化,未结构化,,通过
REC-13AB94BB541808B3,STEMI溶栓禁忌阻断规则｜溶栓治疗（操作/手术）阻断,True,clinical_ready,formal,冠状动脉粥样硬化性心脏病,ST段抬高型心肌梗死,1,溶栓治疗,1,1,1,1,未结构化,未结构化,,通过
REC-142D35EEB9FF17B3,房颤节律控制与导管消融规则｜导管消融（治疗方案）推荐,True,clinical_ready,formal,心律失常,心房颤动,1,导管消融,2,1,1,1,未结构化,未结构化,,通过
REC-14B40A1608CFAC32,STEMI再灌注策略选择规则｜经皮冠状动脉介入治疗（操作/手术）推荐,True,clinical_ready,formal,冠状动脉粥样硬化性心脏病,ST段抬高型心肌梗死,1,经皮冠状动脉介入治疗,3,1,1,1,未结构化,未结构化,,通过
REC-15126939F30762EE,室性心律失常路径评估规则｜室性心律失常诊断标准（诊断标准）推荐,True,clinical_ready,formal,心律失常,室性心律失常,1,室性心律失常诊断标准,5,1,1,1,未结构化,未结构化,,通过
REC-15D009D072BC4234,心脏骤停路径治疗决策规则｜电复律除颤（治疗方案）推荐,True,clinical_ready,formal,心脏骤停与心脏性猝死；心律失常,心脏骤停,1,电复律除颤,2,1,1,1,未结构化,未结构化,,通过
REC-194C9DD47E025699,室性期前收缩路径治疗决策规则｜室性期前收缩治疗方案（治疗方案）推荐,True,clinical_ready,formal,心律失常,室性期前收缩,1,室性期前收缩治疗方案,4,1,1,1,未结构化,未结构化,,通过
REC-196DB89B6F2507F4,尖端扭转型室性心动过速路径治疗决策规则｜抗心律失常药物治疗（治疗方案）推荐,True,clinical_ready,formal,心律失常,尖端扭转型室性心动过速,1,抗心律失常药物治疗,5,1,1,1,未结构化,未结构化,,通过
REC-19EFD56BD1F71BD1,房颤抗凝治疗规则｜利伐沙班（药物）推荐,True,clinical_ready,formal,心律失常,心房颤动,1,利伐沙班,3,1,1,1,未结构化,未结构化,,通过
REC-1CEE0915FBC45FD4,持续性室性心动过速路径治疗决策规则｜电复律除颤（治疗方案）推荐,True,clinical_ready,formal,心律失常,持续性室性心动过速,1,电复律除颤,5,1,1,1,未结构化,未结构化,,通过
REC-1D8686DF38D53C27,室性期前收缩路径治疗决策规则｜抗心律失常药物治疗（治疗方案）推荐,True,clinical_ready,formal,心律失常,室性期前收缩,1,抗心律失常药物治疗,4,1,1,1,未结构化,未结构化,,通过
REC-1D9D5DD75D6E3744,室上速/房扑心电机制分型规则｜动态心电图（检查）推荐,True,clinical_ready,formal,心律失常,室上性心动过速,1,动态心电图,2,1,1,1,未结构化,未结构化,,通过
REC-1DB8472584314B12,隐匿性冠心病路径评估规则｜隐匿性冠心病诊断标准（诊断标准）推荐,True,clinical_ready,formal,冠状动脉粥样硬化性心脏病,隐匿性冠心病,1,隐匿性冠心病诊断标准,5,1,1,1,未结构化,未结构化,,通过
REC-1EAC86CC172E82A3,HFrEF长期规范药物治疗规则｜血管紧张素Ⅱ受体阻滞剂（药物）推荐,True,clinical_ready,formal,心力衰竭,心力衰竭,1,血管紧张素Ⅱ受体阻滞剂,2,1,1,1,未结构化,未结构化,,通过
REC-1F08D0D8F95F8840,急性心衰淤血处理规则｜袢利尿剂（药物）推荐,True,clinical_ready,formal,心力衰竭,心力衰竭,1,袢利尿剂,2,1,1,1,未结构化,未结构化,,通过
REC-1F0F59A9B1E764A4,房颤急性复律/心率控制规则｜胺碘酮（药物）推荐,True,clinical_ready,formal,心律失常,心房颤动,1,胺碘酮,2,1,1,1,未结构化,未结构化,,通过
REC-20F0795395FF6BB7,Brugada综合征路径治疗决策规则｜抗心律失常药物治疗（治疗方案）推荐,True,clinical_ready,formal,心律失常,Brugada综合征,1,抗心律失常药物治疗,5,1,1,1,未结构化,未结构化,,通过
REC-20FCDA444A5F1A22,限制型心肌病路径随访安全规则｜限制型心肌病随访方案（随访）推荐,True,clinical_ready,formal,心肌病,限制型心肌病,1,限制型心肌病随访方案,4,1,1,1,未结构化,未结构化,,通过
REC-2146FE591FCE5050,尖端扭转型室性心动过速路径随访安全规则｜尖端扭转型室性心动过速随访方案（随访）推荐,True,clinical_ready,formal,心律失常,尖端扭转型室性心动过速,1,尖端扭转型室性心动过速随访方案,5,1,1,1,未结构化,未结构化,,通过
REC-2151FE38ACEFD11D,心脏骤停路径评估规则｜心脏骤停诊断标准（诊断标准）推荐,True,clinical_ready,formal,心脏骤停与心脏性猝死；心律失常,心脏骤停,1,心脏骤停诊断标准,2,1,1,1,未结构化,未结构化,,通过
REC-21D990E4430DC5ED,非扩张型左心室心肌病路径随访安全规则｜NDLVCM长期表型和猝死风险随访（随访）推荐,True,clinical_ready,formal,心肌病,非扩张型左心室心肌病,1,NDLVCM长期表型和猝死风险随访,5,1,1,1,未结构化,未结构化,,通过
