顺序,层级,章节,路径,开始段落,结束段落,教材可用槽位,V1.1处理口径,正式推理阻断
1,章,心力衰竭,心力衰竭 > 心力衰竭,3905,3909,definition,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
2,节,心力衰竭总论,心力衰竭 > 心力衰竭总论,3910,3965,classification；risk_stratification；etiology；pathogenesis,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
3,节,慢性心力衰竭,心力衰竭 > 慢性心力衰竭,3966,4118,clinical_manifestation；classification；risk_stratification；exam；diagnostic_criteria；differential_diagnosis；treatment,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
4,节,急性心力衰竭,心力衰竭 > 急性心力衰竭,4119,4228,definition；classification；risk_stratification；clinical_manifestation；diagnostic_criteria；differential_diagnosis；treatment,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
5,章,心律失常,心律失常 > 心律失常,4229,4232,,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
6,节,概 述,心律失常 > 概 述,4233,4313,definition,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
7,节,窦性心律失常,心律失常 > 窦性心律失常,4314,4320,definition,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
8,节,房性心律失常,心律失常 > 房性心律失常,4361,4362,,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
9,节,房室交界性心律失常,心律失常 > 房室交界性心律失常,4453,4454,,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
10,节,室性心律失常,心律失常 > 室性心律失常,4548,4549,,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
11,节,心脏传导阻滞,心律失常 > 心脏传导阻滞,4642,4649,definition,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
12,节,抗心律失常药物的合理应用,心律失常 > 抗心律失常药物的合理应用,4710,4747,definition,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
13,节,心律失常的介入治疗和手术治疗,心律失常 > 心律失常的介入治疗和手术治疗,4748,4863,definition,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
14,节,动脉粥样硬化,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 动脉粥样硬化,4864,4889,definition；etiology；pathogenesis,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
15,章,动脉粥样硬化和冠状动脉粥样硬化性心脏病,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 动脉粥样硬化和冠状动脉粥样硬化性心脏病,4890,4942,definition；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；prognosis；follow_up；prevention；treatment,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
16,节,冠状动脉粥样硬化性心脏病概述,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 冠状动脉粥样硬化性心脏病概述,4943,4955,definition；classification；risk_stratification；pathogenesis,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
17,节,慢性冠状动脉综合征,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 慢性冠状动脉综合征,4956,4957,definition,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
18,节,急性冠脉综合征,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 急性冠脉综合征,5120,5126,definition,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
19,节,冠状动脉疾病的其他表现形式,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 冠状动脉疾病的其他表现形式,5399,5400,,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
20,章,高血压,高血压 > 高血压,5479,5482,,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
21,节,原发性高血压,高血压 > 原发性高血压,5483,5655,definition；etiology；exam；diagnostic_criteria；differential_diagnosis；classification；risk_stratification；treatment,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
22,节,继发性高血压,高血压 > 继发性高血压,5656,5738,definition,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
23,章,心肌疾病,心肌疾病 > 心肌疾病,5739,5745,definition,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
24,节,肥厚型心肌病,心肌疾病 > 肥厚型心肌病,5746,5809,definition；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
25,节,扩张型心肌病,心肌疾病 > 扩张型心肌病,5810,5874,definition；etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
26,节,非扩张型左心室心肌病,心肌疾病 > 非扩张型左心室心肌病,5875,5894,definition；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
27,节,致心律失常性右心室心肌病,心肌疾病 > 致心律失常性右心室心肌病,5895,5928,definition；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
28,节,限制型心肌病,心肌疾病 > 限制型心肌病,5929,5959,definition；etiology；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
29,节,心肌炎,心肌疾病 > 心肌炎,5960,6066,definition；etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
30,章,先天性心血管病,先天性心血管病 > 先天性心血管病,6067,6070,,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
31,节,成人常见先天性心血管病,先天性心血管病 > 成人常见先天性心血管病,6071,6266,definition；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment；prognosis；follow_up；prevention,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
32,节,成人先天性心脏病的介入治疗,先天性心血管病 > 成人先天性心脏病的介入治疗,6282,6385,definition,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
33,章,心脏瓣膜病,心脏瓣膜病 > 心脏瓣膜病,6386,6391,definition,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
34,节,主动脉瓣狭窄,心脏瓣膜病 > 主动脉瓣狭窄,6392,6457,etiology；pathogenesis；clinical_manifestation；diagnostic_criteria；differential_diagnosis；treatment；prognosis；follow_up；prevention,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
35,节,主动脉瓣反流,心脏瓣膜病 > 主动脉瓣反流,6458,6511,etiology；pathogenesis；clinical_manifestation；diagnostic_criteria；differential_diagnosis；treatment；prognosis；follow_up；prevention,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
36,节,二尖瓣狭窄,心脏瓣膜病 > 二尖瓣狭窄,6512,6566,etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment；prognosis；follow_up；prevention,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
37,节,二尖瓣反流,心脏瓣膜病 > 二尖瓣反流,6567,6621,pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment；prognosis；follow_up；prevention,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
38,节,多瓣膜病,心脏瓣膜病 > 多瓣膜病,6622,6637,definition,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
39,节,风湿热,心脏瓣膜病 > 风湿热,6638,6683,definition；clinical_manifestation；diagnostic_criteria；differential_diagnosis,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
40,章,心包疾病,心包疾病 > 心包疾病,6684,6689,definition,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
41,节,急性心包炎,心包疾病 > 急性心包炎,6690,6725,definition；etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；prognosis；follow_up；prevention；treatment,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
42,节,心包积液及心脏压塞,心包疾病 > 心包积液及心脏压塞,6726,6750,definition；etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；prognosis；follow_up；prevention；treatment,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
43,节,缩窄性心包炎,心包疾病 > 缩窄性心包炎,6751,6836,definition；etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；prognosis；follow_up；prevention；treatment,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
44,章,感染性心内膜炎,感染性心内膜炎 > 感染性心内膜炎,6837,7004,definition；etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment；prognosis；follow_up；prevention,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
45,章,心脏骤停与心脏性猝死,心脏骤停与心脏性猝死 > 心脏骤停与心脏性猝死,7005,7156,definition；etiology；pathogenesis；clinical_manifestation,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
46,节,主动脉夹层,心脏骤停与心脏性猝死 > 主动脉夹层,7157,7216,definition；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
47,节,下肢动脉硬化闭塞症,心脏骤停与心脏性猝死 > 下肢动脉硬化闭塞症,7217,7255,definition；etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment；prognosis；follow_up；prevention,按章节顺序纳入临床可推理层审计；可确定者补结构，不能确定者挡在知识浏览层,0
