文件名,规范名,目录,来源目录类型,建议疾病大类,文件大小MB,最后修改时间,是否已解析登记,登记文件名,登记来源文件数,登记来源示例,下一步动作
2_中国心肌病综合管理指南2025.pdf,2中国心肌病综合管理指南2025,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南,诊疗指南目录,心肌病,1.83,2026-04-08 20:37:18,是,2_中国心肌病综合管理指南2025.pdf,11,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_起搏治疗正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
Endocarditis  ESC  2023.pdf,endocarditisesc2023,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南,诊疗指南目录,待人工归类,4.11,2026-06-02 12:41:46,是,Endocarditis  ESC  2023.pdf,12,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_心肌炎心包炎感染性心内膜炎正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
PAD.pdf,pad,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南,诊疗指南目录,主动脉与外周动脉疾病,5.04,2026-06-02 12:41:48,是,PAD.pdf,12,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_主动脉与外周动脉疾病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
PE ESC 2019.pdf,peesc2019,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南,诊疗指南目录,待人工归类,2.12,2026-06-02 12:41:48,是,PE ESC 2019.pdf,12,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_已建疾病大类补充解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
SVT ESC 2019.pdf,svtesc2019,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南,诊疗指南目录,待人工归类,2.87,2026-06-02 12:41:50,是,SVT ESC 2019.pdf,11,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_起搏治疗正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
中国床旁临时心脏起搏急诊专家共识（2023）.pdf,中国床旁临时心脏起搏急诊专家共识2023,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南,诊疗指南目录,心律失常,1.89,2026-06-02 12:41:50,是,中国床旁临时心脏起搏急诊专家共识（2023）.pdf,13,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_起搏治疗正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
中国肺动脉高压诊断与治疗指南（2021版）.pdf,中国肺动脉高压诊断与治疗指南2021版,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南,诊疗指南目录,肺动脉高压,1.53,2026-06-02 12:41:50,是,中国 肺动脉高压诊断与治疗指南（2021版）.pdf,12,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_已建疾病大类补充解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
先天性心脏病相关性肺动脉高压诊治专家共识.pdf,先天性心脏病相关性肺动脉高压诊治专家共识,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南,诊疗指南目录,肺动脉高压,1.24,2026-06-02 12:41:50,是,先天性心脏病相关性肺动脉高压诊治专家共识.pdf,11,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_起搏治疗正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
左心室肥厚诊断和治疗临床路径中国专家共识2023.pdf,左心室肥厚诊断和治疗临床路径中国专家共识2023,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南,诊疗指南目录,待人工归类,1.31,2026-06-02 12:41:50,是,左心室肥厚诊断和治疗临床路径中国专家共识2023.pdf,13,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_起搏治疗正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
心血管疾病合并甲状腺功能异常临床诊治专家共识.pdf,心血管疾病合并甲状腺功能异常临床诊治专家共识,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南,诊疗指南目录,待人工归类,2.36,2026-06-02 12:41:54,是,心血管疾病合并甲状腺功能异常临床诊治专家共识.pdf,11,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_起搏治疗正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
