疾病大类,登记批次数,解析相关批次,已写入Neo4j批次,CDSS决策层批次,最新状态摘要
主动脉与外周动脉疾病,1,1,1,0,20260715_主动脉与外周动脉疾病正式解析:已写入Neo4j并完成组合验收
主动脉和周围血管病/VTE历史骨架污染治理,1,0,1,1,BATCH-CARD-VTE-CLEAN-20260714-001:已写入Neo4j并通过入库后复测
全局证据层治理,2,0,1,0,20260715_Evidence证据层瘦身与入库性能优化:只读统计与去重预演完成；20260715_Evidence生成端改造与历史去重迁移试点:已写入Neo4j小范围试点
全库/CDSS决策层,2,0,2,2,BATCH-CARD-RS-GAP-20260714-002:已导入Neo4j并通过入库后复测；BATCH-CARD-RS-CORELINK-20260714-001:已导入Neo4j并通过入库后复测
全库/CDSS规则证据链总精修,1,0,1,1,BATCH-CARD-CDSS-RULE-EVIDENCE-REFINE-20260714-001:已写入Neo4j并通过入库后复测
全库/历史节点类型治理,1,0,1,1,BATCH-CARD-HIST-TYPE-CLEAN-20260714-001:已写入Neo4j并通过入库后复测
全库/诊断标准明细,2,0,2,1,BATCH-CARD-DXC-AVB-COMP-20260714-001:已导入Neo4j并通过入库后复测；BATCH-CARD-DXC-COMP-20260714-001:已导入Neo4j并通过入库后复测
全库主数据治理,1,0,1,0,20260714_全库主数据归并治理:已写入Neo4j并通过入库后复测
公共执行层/入库后复测,1,0,0,0,20260714_批次入库后复测入口接入:未写Neo4j；只读复测通过
公共执行层/质量闸门,1,0,1,0,20260714_主数据质量闸门固化:已写入Neo4j修复1条残留引用并通过入库后复测
冠心病,5,0,4,1,BATCH-CARD-CAD-AMI-LABIND-20260713-001:已生成并导入Neo4j且服务器入库后复测通过；BATCH-CARD-CAD-REMAINING-20260712-001:已生成并导入Neo4j且服务器入库后复测通过；BATCH-CARD-CAD-STEMI-20260712-001:已生成并导入Neo4j且服务器入库后复测通过
心力衰竭,1,0,0,0,BATCH-CARD-HF-202607-PLAN:计划中
心力衰竭/心律失常/高血压,1,0,1,0,20260714_心衰心律高血压总精修:已写入Neo4j并通过入库后复测
心律失常,1,0,0,0,BATCH-CARD-ARR-202607-PLAN:计划中
心肌炎/心包炎/感染性心内膜炎,1,1,1,0,20260715_心肌炎心包炎感染性心内膜炎正式解析:已写入Neo4j并完成组合验收
心肌病,2,0,1,0,BATCH-CARD-CM-202607-PLAN:计划中；20260714_心肌病总精修:已写入Neo4j并通过入库后复测
心血管内科,1,0,0,0,2026-07-14 07:39:04:D-二聚体共享检验节点
急性心肌梗死,1,0,0,0,BATCH-CARD-AMI-202607-PLAN:计划中
瓣膜病,3,1,1,0,20260715_瓣膜病正式解析:已写入Neo4j并通过入库后复测；BATCH-CARD-VHD-20260713-001:已完成G0预检未写Neo4j；BATCH-CARD-VHD-202607-PLAN:计划中
结构性心脏病/先心病,1,1,1,0,20260715_结构性心脏病先心病正式解析:已写入Neo4j并完成组合验收
肺动脉高压,2,1,1,0,20260715_肺动脉高压正式解析:已入库并通过服务器入库后复测；BATCH-CARD-PAH-202607-PLAN:计划中
血脂异常/动脉粥样硬化防治,1,1,1,0,20260715_血脂异常动脉粥样硬化防治正式解析:已写入Neo4j并完成组合验收
起搏治疗相关疾病,2,1,1,1,BATCH-CARD-PACING-202607-PLAN:计划中；20260715_起搏治疗正式解析:已写入Neo4j并通过服务器入库后复测
跨疾病大类,3,0,3,0,BATCH-CARD-LAB-CLEANUP-20260713-001:已执行且服务器复核通过；BATCH-CARD-LAB-EVIDENCE-20260713-001:已生成并导入Neo4j且服务器入库后复测通过；BATCH-CARD-LABIND-SAFE-20260713-001:已生成并导入Neo4j且服务器入库后复测通过
跨疾病大类/检验指标补链,1,0,1,0,BATCH-CARD-HT-LABIND-20260713-001:已导入Neo4j并通过入库后复测
鉴别诊断治理,1,0,0,0,BATCH-CARD-DDX-RULE-FILL-20260714-001:
高血压,2,2,1,0,20260715_高血压正式解析收口:已写入Neo4j并通过服务器入库后复测；BATCH-CARD-HT-202607-PLAN:计划中
