文件名,规范名,目录,来源目录类型,建议疾病大类,文件大小MB,最后修改时间,是否已解析登记,登记文件名,登记来源文件数,登记来源示例,下一步动作
2018 STEMI院前溶栓治疗中国专家共识.pdf,2018stemi院前溶栓治疗中国专家共识,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD,诊疗指南目录,冠心病,1.03,2026-06-02 12:41:44,是,2018 STEMI院前溶栓治疗中国专家共识.pdf,13,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_起搏治疗正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
ACS  ESC  2023.pdf,acsesc2023,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD,诊疗指南目录,冠心病,11.34,2026-06-02 12:41:44,是,ACS  ESC  2023.pdf,13,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_起搏治疗正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
NSTE-ACS ACC 2014.pdf,nsteacsacc2014,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD,诊疗指南目录,冠心病,4.4,2026-06-02 12:41:44,是,NSTE-ACS ACC 2014.pdf,13,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_起搏治疗正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
NSTE-ACS CN 2016.pdf,nsteacscn2016,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD,诊疗指南目录,冠心病,2.1,2026-06-02 12:41:44,是,NSTE-ACS CN 2016.pdf,13,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_起搏治疗正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
NSTE-ACS CN 2024.pdf,nsteacscn2024,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD,诊疗指南目录,冠心病,4.45,2026-06-02 12:41:44,是,NSTE-ACS CN 2024.pdf,13,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_起搏治疗正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
NSTE-ACS ESC 2020.pdf,nsteacsesc2020,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD,诊疗指南目录,冠心病,4.16,2026-06-02 12:41:44,是,NSTE-ACS ESC 2020.pdf,13,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_起搏治疗正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
STEMI ACC 2013.pdf,stemiacc2013,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD,诊疗指南目录,冠心病,1.44,2026-06-02 12:41:44,是,STEMI ACC 2013.pdf,13,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_起搏治疗正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
STEMI CN 2019.pdf,stemicn2019,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD,诊疗指南目录,冠心病,0.84,2026-06-02 12:41:44,是,STEMI CN 2019.pdf,13,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_起搏治疗正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
STEMI ESC 2017.pdf,stemiesc2017,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD,诊疗指南目录,冠心病,4.77,2026-06-02 12:41:44,是,STEMI ESC 2017.pdf,13,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_起搏治疗正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
心肌梗死心电图诊断标准和报告规范中国专家共识.pdf,心肌梗死心电图诊断标准和报告规范中国专家共识,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD,诊疗指南目录,冠心病,4.29,2026-06-02 12:41:46,是,心肌梗死心电图诊断标准和报告规范中国专家共识.pdf,13,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_起搏治疗正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
稳定性冠心病诊断与治疗指南 2018.pdf,稳定性冠心病诊断与治疗指南2018,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD,诊疗指南目录,冠心病,0.95,2026-06-02 12:41:46,是,稳定性冠心病诊断与治疗指南 2018.pdf,13,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_起搏治疗正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
经皮冠状动脉介入治疗指南（2025）.pdf,经皮冠状动脉介入治疗指南2025,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD,诊疗指南目录,冠心病,3.71,2026-06-02 12:41:46,是,经皮冠状动脉介入治疗指南（2025）.pdf,13,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_起搏治疗正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
青年急性心肌梗死诊断和治疗专家建议.pdf,青年急性心肌梗死诊断和治疗专家建议,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD,诊疗指南目录,冠心病,1.85,2026-06-02 12:41:46,是,青年急性心肌梗死诊断和治疗专家建议.pdf,13,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_起搏治疗正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
中国 ST段抬高型心肌梗死患者急诊PCI微循环保护策略.pdf,中国st段抬高型心肌梗死患者急诊pci微循环保护策略,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\冠脉介入,诊疗指南目录,冠心病,1.78,2025-08-26 00:02:19,是,中国 ST段抬高型心肌梗死患者急诊PCI微循环保护策略.pdf,13,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_起搏治疗正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
中国 经皮冠状动脉介入治疗指南（2025）.pdf,中国经皮冠状动脉介入治疗指南2025,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\冠脉介入,诊疗指南目录,冠心病,3.71,2025-08-25 17:53:50,是,中国 经皮冠状动脉介入治疗指南（2025）.pdf,12,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_已建疾病大类补充解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
冠心病双联抗血小板治疗中国专家共识.pdf,冠心病双联抗血小板治疗中国专家共识,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\厦心-护理,诊疗指南目录,冠心病,2.25,2025-07-14 08:49:34,是,冠心病双联抗血小板治疗中国专家共识.pdf,13,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_起搏治疗正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
老年冠心病慢病管理指南_王杨淦.pdf,老年冠心病慢病管理指南王杨淦,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\厦心-护理,诊疗指南目录,冠心病,0.54,2025-07-14 08:50:16,是,老年冠心病慢病管理指南_王杨淦.pdf,13,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_起搏治疗正式解析\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
心血管内科+冠心病+心肌梗死后心力衰竭+ESC急性冠脉综合征指南2023+20260708.pdf,心血管内科+冠心病+心肌梗死后心力衰竭+esc急性冠脉综合征指南2023+20260708,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\外部权威\01_原始下载_raw_downloads,外部权威目录,冠心病,12.39,2026-07-08 21:47:10,是,心血管内科+冠心病+心肌梗死后心力衰竭+ESC急性冠脉综合征指南2023+20260708.pdf,3,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_起搏治疗正式解析\01_source_manifest\source_documents_manifest.csv；E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-HT-20260709-001_高血压_Hypertension\01_source_manifest\source_documents_manifest.csv,进入指南精修复核
