疾病大类,服务器疾病数,推荐陈述数,推荐动作缺口,证据缺口,触发规则缺口,治疗方案动作缺口,诊断标准明细缺口,总阻断缺口,PDF总数,已解析登记PDF数,未解析PDF数,建议动作
主动脉与外周动脉疾病,8,0,0,0,0,0,0,0,6,6,0,补CDSS决策层
冠心病,14,43,0,0,0,0,0,0,18,18,0,精修正式CDSS链路
心力衰竭,11,46,0,0,0,0,0,0,20,19,1,启动正式解析批次
心律失常,33,115,0,0,0,0,0,0,18,14,4,启动正式解析批次
心肌炎/心包炎/感染性心内膜炎,6,0,0,0,0,0,0,0,5,5,0,补CDSS决策层
心肌病,7,19,0,0,0,0,0,0,27,26,1,先补未解析PDF，再精修CDSS链路
瓣膜病,12,1,0,0,0,0,0,0,8,6,2,先补未解析PDF，再精修CDSS链路
结构性心脏病/先天性心脏病,5,0,0,0,0,0,0,0,10,8,2,启动正式解析批次
肺动脉高压,7,0,0,0,0,0,0,0,5,5,0,补CDSS决策层
血脂异常/动脉粥样硬化,3,0,0,0,0,0,0,0,5,5,0,启动正式解析批次
高血压,18,50,0,0,0,0,0,0,11,10,1,先补未解析PDF，再精修CDSS链路
