疾病大类,code,name
主动脉与外周动脉疾病,DIS-CARD-AAA,腹主动脉瘤
主动脉与外周动脉疾病,DIS-CARD-AAS,急性主动脉综合征
主动脉与外周动脉疾病,DIS-CARD-AORTA-ANEURYSM,主动脉瘤
主动脉与外周动脉疾病,DIS-CARD-AORTIC-DISSECTION,主动脉夹层
主动脉与外周动脉疾病,DIS-CARD-CHD-COA,先天性主动脉缩窄
主动脉与外周动脉疾病,DIS-CARD-CHD-SOVA,主动脉窦瘤
主动脉与外周动脉疾病,DIS-CARD-PAD,外周动脉疾病
主动脉与外周动脉疾病,DIS-CARD-TBAD,Stanford B型主动脉夹层
冠心病,DIS-CARD-CAD-ACS,急性冠脉综合征
冠心病,DIS-CARD-CAD-AMI,急性心肌梗死
冠心病,DIS-CARD-CAD-ATHEROSCLEROSIS,动脉粥样硬化
冠心病,DIS-CARD-CAD-CCS,慢性冠脉综合征
冠心病,DIS-CARD-CAD-CHD,冠状动脉粥样硬化性心脏病
冠心病,DIS-CARD-CAD-ICM,缺血性心肌病
冠心病,DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死
冠心病,DIS-CARD-CAD-OLD-MI,陈旧性心肌梗死
冠心病,DIS-CARD-CAD-POST-MI-SYNDROME,心肌梗死后综合征
冠心病,DIS-CARD-CAD-SILENT-ISCHEMIA,隐匿性冠心病
冠心病,DIS-CARD-CAD-SPASM,冠状动脉痉挛
冠心病,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛
冠心病,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死
冠心病,DIS-CARD-CAD-UA,不稳定型心绞痛
心力衰竭,DIS-CARD-HF,心力衰竭
心力衰竭,DIS-CARD-HF-AHF,急性心力衰竭
心力衰竭,DIS-CARD-HF-BIVENTRICULAR,全心衰竭
心力衰竭,DIS-CARD-HF-CHF,慢性心力衰竭
心力衰竭,DIS-CARD-HF-DIALYSIS-CHF,透析患者慢性心力衰竭
心力衰竭,DIS-CARD-HF-HFmrEF,射血分数轻度降低的心力衰竭
心力衰竭,DIS-CARD-HF-HFpEF,射血分数保留的心力衰竭
心力衰竭,DIS-CARD-HF-HFrEF,射血分数降低的心力衰竭
心力衰竭,DIS-CARD-HF-LEFT,左心衰竭
心力衰竭,DIS-CARD-HF-POST-MI,心肌梗死后心力衰竭
心力衰竭,DIS-CARD-HF-RIGHT,右心衰竭
心律失常,DIS-CARD-ARR-AF,心房颤动
