推荐编码,动作名称,旧动作编码,新动作编码,动作实体类型,处理结果
REC-61BF47328BC263D5,地尔硫卓,MED-CARD-0401DB9741D8,MED-CARD-STD-0401DB9741,Medication,已映射并回写推荐动作编码
REC-C8711A1A89432598,维拉帕米,MED-CARD-C685CE7163F5,MED-CARD-STD-C685CE7163,Medication,已映射并回写推荐动作编码
REC-14B40A1608CFAC32,经皮冠状动脉介入治疗,PROC-CARD-E9ADC25A25E3,PROC-CARD-E9ADC25A25E3,Procedure,已映射并回写推荐动作编码
REC-F2DB01C170AD5BEE,替格瑞洛,MED-CARD-00A158EBF21E,MED-CARD-STD-E03DF8E3FD,Medication,已映射并回写推荐动作编码
REC-E14001FF270B3D36,氯吡格雷,MED-CARD-EAA01CFD434E,MED-CARD-STD-9BB6ABC99A,Medication,已映射并回写推荐动作编码
REC-C389A95578FBC4FC,阿托伐他汀,MED-CARD-498184546A72,MED-CARD-ATORVASTATIN,Medication,已映射并回写推荐动作编码
REC-427E7B3010D2852C,瑞舒伐他汀,MED-CARD-DB0416905798,MED-CARD-STD-78DD48EF71,Medication,已映射并回写推荐动作编码
REC-54A9B88981A6EDE3,达格列净,MED-CARD-3B4D860E5C07,MED-CARD-STD-3B4D860E5C,Medication,已映射并回写推荐动作编码
REC-722760E827A6CAB6,降压治疗,PLAN-CARD-TEXT-BDE62A3BE0,PLAN-CARD-BDE62A3BE028,TreatmentPlan,已映射并回写推荐动作编码
REC-595E8F3DB1865725,降压治疗,PLAN-CARD-TEXT-BDE62A3BE0,PLAN-CARD-BDE62A3BE028,TreatmentPlan,已映射并回写推荐动作编码
REC-5A436C450C92AA28,降压治疗,PLAN-CARD-TEXT-BDE62A3BE0,PLAN-CARD-BDE62A3BE028,TreatmentPlan,已映射并回写推荐动作编码
REC-CDSS-CAD-STEMI-03-02-FIB-BLOCK,STEMI溶栓禁忌阻断规则,RULE-CDSS-CAD-STEMI-03-02-FIB-BLOCK,RULE-CARD-CAD-STEMI-04-FIBRINOLYSIS-BLOCK,ClinicalRule,已映射并回写推荐动作编码
REC-CDSS-CAD-STEMI-05-01-FOLLOW,阿托伐他汀,MED-CARD-498184546A72,MED-CARD-ATORVASTATIN,Medication,已映射并回写推荐动作编码
REC-CDSS-AF-ARR-AF-03-01-TREAT,复律治疗,PLAN-CARD-7CC38FBA6F57,PLAN-CARD-TEXT-7CC38FBA6F,TreatmentPlan,已映射并回写推荐动作编码
RECST-CARD-AMI-SRCADJ-PCI-20260717,经皮冠状动脉介入治疗,PROC-CARD-E9ADC25A25E3,PROC-CARD-E9ADC25A25E3,Procedure,已映射并回写推荐动作编码
