adj_code,rec_code,category,rel_count
SRCADJ-CARD-BULK-A802B56DC69C9AAD,REC-CDSS-CARD-ARR-AFL-RATE-CONTROL,心律失常,8
SRCADJ-CARD-BULK-D407C21256C64481,REC-CDSS-CARD-VHD-MS-RATE-CONTROL,瓣膜病,8
SRCADJ-CARD-BULK-6D9B6690B3A5CE77,REC-CDSS-CARD-ARR-AF-RATE-CONTROL,心律失常,8
SRCADJ-CARD-BULK-711BD94E62202683,REC-CDSS-CARD-HF-RATE-CONTROL,心力衰竭,8
SRCADJ-CARD-BULK-5149DF811CC86C4E,REC-92367B78C701618A,心律失常,8
SRCADJ-CARD-BULK-6ABF8189AC479429,REC-C9CFCBFF9AA3901F,心律失常,8
SRCADJ-CARD-BULK-7D7B780DB1EC899A,REC-FB096AED547CC572,心律失常,8
SRCADJ-CARD-BULK-AE7117390B8A337D,REC-D5B3CEFE3FFC72D0,心律失常,8
SRCADJ-CARD-BULK-DC304D9E1E4D9D28,REC-48ACCA58849D7D40,心律失常,8
SRCADJ-CARD-BULK-4F4637855CD5C240,REC-4DC54492700DB784,心律失常,8
SRCADJ-CARD-BULK-2ABBB184C10F0A32,REC-19EFD56BD1F71BD1,心律失常,8
SRCADJ-CARD-BULK-77CDFC385287B55F,REC-59BE03402037CFE1,心律失常,8
SRCADJ-CARD-BULK-B4DA3930F298705B,REC-D2D781973B06A7AE,心律失常,8
SRCADJ-CARD-BULK-E02E4CB5CE7C5151,REC-06672B182152B976,心律失常,8
SRCADJ-CARD-BULK-D645757DC17C5E08,REC-F0606169CFA78157,心律失常,8
SRCADJ-CARD-BULK-863E42DCFCEAB6E4,REC-2D0C8BD190242AD2,心律失常,8
SRCADJ-CARD-BULK-71D72EEA2BD26FF6,REC-59B287969535CC42,心律失常,8
SRCADJ-CARD-BULK-1746ED8268324CD7,REC-1F0F59A9B1E764A4,心律失常,8
SRCADJ-CARD-BULK-4CA5E95A995611CF,REC-7437BD316125078C,心律失常,8
SRCADJ-CARD-BULK-2C966178F03F2EF2,REC-66EED9892A98D449,心律失常,8
SRCADJ-CARD-BULK-2EFAC1A391007373,REC-BCBA175C5200A414,心律失常,8
SRCADJ-CARD-BULK-D0146A236F43A27E,REC-B745392F663784E3,心律失常,8
SRCADJ-CARD-BULK-F4A7EF9EF3C5D3C4,REC-142D35EEB9FF17B3,心律失常,8
SRCADJ-CARD-BULK-80A9AB2CD119E392,REC-4B0CDD61249087E3,心律失常,8
SRCADJ-CARD-BULK-21957CD951D2411C,REC-9EDEC8498F9DF980,心律失常,8
SRCADJ-CARD-BULK-428DB01516B411BD,REC-0FCD2D2818CA7033,心律失常,8
SRCADJ-CARD-BULK-3843DEFE93B64202,REC-4879BC5487C0237C,心律失常,8
SRCADJ-CARD-BULK-D62ECD4F5676349F,REC-7BD8C43059E3430E,心律失常,8
SRCADJ-CARD-BULK-DAA586C1934A4546,REC-FD9078ADC57C62AD,心律失常,8
SRCADJ-CARD-BULK-528758DB010143B4,REC-09D8E5D4AD1DFC74,心律失常,8
SRCADJ-CARD-BULK-A9155EA2D6CB3A85,REC-9E948779BEF27A42,心律失常,8
SRCADJ-CARD-BULK-CA620D3D371E07D1,REC-5313C02E33DB1945,心律失常,8
SRCADJ-CARD-BULK-A7AC16B15DCB6EC8,REC-1D9D5DD75D6E3744,心律失常,8
SRCADJ-CARD-BULK-76ABFB003965A2B0,REC-0F8ACA9DB3CC3645,心律失常,8
SRCADJ-CARD-BULK-BD2BD9C8B32128E4,REC-728257F09E138A93,心律失常,8
SRCADJ-CARD-BULK-8B3191AEC07990A7,REC-BD20333EE9B7C78F,心律失常,8
SRCADJ-CARD-BULK-07AB05E51DFFFC2C,REC-34FC7853D08FE26F,心律失常,8
SRCADJ-CARD-BULK-05CB3AF0500D50F9,REC-96EB922EE2F6ECA5,心律失常,8
SRCADJ-CARD-BULK-300C8ACAEEB70149,REC-2896C7CB028F9764,心律失常,8
SRCADJ-CARD-BULK-1966A3D1E90ABB19,REC-312145D109A8F691,心律失常,8
SRCADJ-CARD-BULK-050716EE166228ED,REC-D17B0744432A3C61,心律失常,8
SRCADJ-CARD-BULK-7D075EF9418534AB,REC-89A1F98D35550192,心律失常,8
SRCADJ-CARD-BULK-3B32FF69B56261E8,REC-B29356115B6A6389,心律失常,8
SRCADJ-CARD-BULK-83BCB651B1BCC6C9,REC-DBEC9E3EAC0EAF56,心律失常,8
SRCADJ-CARD-BULK-1FF5943FFA9FE747,REC-73F794FD0A746355,冠心病,8
SRCADJ-CARD-BULK-F7B9535C9730E68C,REC-CB7A690AA83E529E,冠心病,8
SRCADJ-CARD-BULK-88F59A89604685FF,REC-7025595F385004F3,冠心病,8
SRCADJ-CARD-BULK-01B72A9E86690FAA,REC-35AFFC16987E38D3,冠心病,8
SRCADJ-CARD-BULK-069AC08522519EBE,REC-775B4D172719135D,冠心病,8
SRCADJ-CARD-BULK-1679A1950670D499,REC-7AFE5F9672849D6F,冠心病,8
SRCADJ-CARD-BULK-637CE7268A786A8C,REC-B7FE465A6C4671CF,冠心病,8
SRCADJ-CARD-BULK-0BFD40FDCA4855C6,REC-CECAF7E945B18B0B,冠心病,8
SRCADJ-CARD-BULK-D97A3C37F3E08465,REC-B7C862C18DA692B5,冠心病,8
SRCADJ-CARD-BULK-FCBE46C0A9BD4F61,REC-B2246A1F11635602,冠心病,8
SRCADJ-CARD-BULK-3B1DA6075FEB3905,REC-B548FF7AAB85E2FB,冠心病,8
SRCADJ-CARD-BULK-06650AF19E981C5F,REC-4E58B5A027DD1859,冠心病,8
SRCADJ-CARD-BULK-045DD815A6B2FC06,REC-E93F9908FD3EA058,冠心病,8
SRCADJ-CARD-BULK-C5DD8F1CC387783C,REC-21F28579B6832C61,冠心病,8
SRCADJ-CARD-BULK-68F8BB86838D1702,REC-D2F4322AB9136FA8,冠心病,8
