大类,推荐编码,推荐来源裁决编码,关系数
冠心病,REC-14B40A1608CFAC32,SRCADJ-CARD-BULK-5E1F9230E150991E,8
冠心病,REC-427E7B3010D2852C,SRCADJ-CARD-BULK-B051125DF22B945B,8
心力衰竭,REC-54A9B88981A6EDE3,SRCADJ-CARD-BULK-25B43026F3462C5E,8
心肌病,REC-595E8F3DB1865725,SRCADJ-CARD-BULK-BD476953483EA84B,8
冠心病,REC-5A436C450C92AA28,SRCADJ-CARD-BULK-8D5782EB4A17902D,8
心律失常,REC-61BF47328BC263D5,SRCADJ-CARD-BULK-3440CF57DA9D309C,8
冠心病,REC-722760E827A6CAB6,SRCADJ-CARD-BULK-92528676DEE50462,8
冠心病,REC-C389A95578FBC4FC,SRCADJ-CARD-BULK-496CA1DD575B58E7,8
心律失常,REC-C8711A1A89432598,SRCADJ-CARD-BULK-84EAA3AF0A8D68FA,8
心律失常,REC-CDSS-AF-ARR-AF-03-01-TREAT,SRCADJ-CARD-BULK-6CCF7BB3FD239BE6,8
冠心病,REC-CDSS-CAD-STEMI-03-02-FIB-BLOCK,SRCADJ-CARD-BULK-F30A44AEA5A7E41B,8
冠心病,REC-CDSS-CAD-STEMI-05-01-FOLLOW,SRCADJ-CARD-BULK-78EE5D858DDDBEA4,8
冠心病,REC-E14001FF270B3D36,SRCADJ-CARD-BULK-F5F9B8A37A02851D,8
冠心病,REC-F2DB01C170AD5BEE,SRCADJ-CARD-BULK-9BDFC458B0982161,8
