大类,疾病编码,疾病名称,正式推荐数,建议执行数,禁忌阻断数,主指南数,证据数
冠心病,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,35,34,1,5,15
冠心病,DIS-CARD-CAD-AMI,急性心肌梗死,13,12,1,6,11
冠心病,DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,13,13,0,3,5
冠心病,DIS-CARD-CAD-ACS,急性冠脉综合征,12,12,0,4,5
冠心病,DIS-CARD-CAD-UA,不稳定型心绞痛,11,11,0,3,4
冠心病,DIS-CARD-CAD-ICM,缺血性心肌病,11,11,0,3,5
冠心病,DIS-CARD-CAD-CCS,慢性冠脉综合征,10,10,0,4,6
冠心病,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,9,9,0,3,3
冠心病,DIS-CARD-CAD-OLD-MI,陈旧性心肌梗死,6,6,0,2,4
冠心病,DIS-CARD-CAD-SILENT-ISCHEMIA,隐匿性冠心病,5,5,0,3,3
心力衰竭,DIS-CARD-HF,心力衰竭,30,30,0,6,9
心力衰竭,DIS-CARD-HF-POST-MI,心肌梗死后心力衰竭,9,9,0,4,5
心力衰竭,DIS-CARD-HF-AHF,急性心力衰竭,5,5,0,3,4
心力衰竭,DIS-CARD-HF-BIVENTRICULAR,全心衰竭,4,4,0,2,3
心力衰竭,DIS-CARD-HF-RIGHT,右心衰竭,4,4,0,2,4
心力衰竭,DIS-CARD-HF-HFpEF,射血分数保留的心力衰竭,4,4,0,3,3
心力衰竭,DIS-CARD-HF-HFmrEF,射血分数轻度降低的心力衰竭,4,4,0,3,3
心力衰竭,DIS-CARD-HF-HFrEF,射血分数降低的心力衰竭,4,4,0,3,4
心力衰竭,DIS-CARD-HF-LEFT,左心衰竭,4,4,0,3,3
心力衰竭,DIS-CARD-HF-CHF,慢性心力衰竭,4,4,0,4,3
心力衰竭,DIS-CARD-HF-DIALYSIS-CHF,透析患者慢性心力衰竭,4,4,0,4,4
心律失常,DIS-CARD-ARR-AF,心房颤动,30,30,0,7,9
心律失常,DIS-CARD-ARR-SVT,室上性心动过速,21,21,0,4,6
心律失常,DIS-CARD-ARR-BRUGADA,Brugada综合征,12,12,0,2,5
心律失常,DIS-CARD-ARR-VA,室性心律失常,12,12,0,3,5
心律失常,DIS-CARD-ARR-PVC,室性期前收缩,12,12,0,3,4
心律失常,DIS-CARD-ARR-TDP,尖端扭转型室性心动过速,12,12,0,3,4
心律失常,DIS-CARD-ARR-VF,心室扑动与心室颤动,12,12,0,3,3
心律失常,DIS-CARD-ARR-VT,持续性室性心动过速,12,12,0,3,4
心律失常,DIS-CARD-ARR-CPVT,儿茶酚胺敏感性多形性室性心动过速,11,11,0,3,3
心律失常,DIS-CARD-ARR-LQTS,长QT间期综合征,11,11,0,3,4
心律失常,DIS-CARD-ARR-NSVT,非持续性室性心动过速,10,10,0,3,4
心律失常,DIS-CARD-ARR-SQTS,短QT间期综合征,8,8,0,2,3
心律失常,DIS-CARD-ARR-AFL,心房扑动,5,5,0,4,5
心律失常,DIS-CARD-ARR-AVB1,一度房室传导阻滞,4,4,0,3,2
心律失常,DIS-CARD-ARR-AVB3,三度房室传导阻滞,4,4,0,3,2
心律失常,DIS-CARD-ARR-AVB2,二度房室传导阻滞,4,4,0,3,2
心律失常,DIS-CARD-ARR-AVB,房室传导阻滞,4,4,0,2,4
心律失常,DIS-CARD-ARR-AVRT,房室折返性心动过速,4,4,0,3,3
心律失常,DIS-CARD-ARR-AVNRT,房室结折返性心动过速,4,4,0,3,4
心律失常,DIS-CARD-ARR-AT,房性心动过速,4,4,0,3,4
心律失常,DIS-CARD-ARR-BBB,束支传导阻滞,4,4,0,3,3
心律失常,DIS-CARD-ARR-SB,窦性心动过缓,4,4,0,3,4
心律失常,DIS-CARD-ARR-SAB,窦房传导阻滞,4,4,0,3,3
心律失常,DIS-CARD-ARR-SND,窦房结功能障碍,4,4,0,2,3
心律失常,DIS-CARD-ARR-BRADY,缓慢性心律失常,4,4,0,2,2
心律失常,DIS-CARD-ARR-WPW,预激综合征,4,4,0,3,3
心肌病,DIS-CARD-CM-DCM,扩张型心肌病,11,11,0,2,5
心肌病,DIS-CARD-CM-HCM,肥厚型心肌病,10,10,0,3,5
心肌病,DIS-CARD-CM-ACM,致心律失常性心肌病,8,8,0,3,3
心肌病,DIS-CARD-CM-ABVC,致心律失常性双心室心肌病,7,7,0,2,3
心肌病,DIS-CARD-CM-ATRIAL,心房心肌病,6,6,0,3,3
心肌病,DIS-CARD-CM-ARVC,致心律失常性右心室心肌病,6,6,0,2,2
心肌病,DIS-CARD-CM-ALVC,致心律失常性左心室心肌病,6,6,0,2,3
心肌病,DIS-CARD-CM-RCM,限制型心肌病,6,6,0,3,3
心肌病,DIS-CARD-CM-NDLVCM,非扩张型左心室心肌病,6,6,0,2,3
心肌病,DIS-CARD-CM-FABRY,法布雷病心肌病,5,5,0,2,3
心肌病,DIS-CARD-CM-AMYLOID,淀粉样变心肌病,5,5,0,1,3
瓣膜病,DIS-CARD-VHD-MS,二尖瓣狭窄,1,1,0,1,1
高血压,DIS-CARD-HT-PRIMARY,原发性高血压,4,4,0,2,2
高血压,DIS-CARD-HT-SECONDARY,继发性高血压,4,4,0,2,2
高血压,DIS-CARD-HT-RESISTANT,难治性高血压,4,4,0,2,2
高血压,DIS-CARD-HT,高血压,4,4,0,2,2
高血压,DIS-CARD-HT-EMERGENCY,高血压急症,4,4,0,2,2
高血压,DIS-CARD-HT-ENDOCRINE,内分泌性高血压,3,3,0,1,1
高血压,DIS-CARD-HT-PA,原发性醛固酮增多症,3,3,0,1,1
高血压,DIS-CARD-HT-PAROXYSMAL,发作性高血压,3,3,0,1,1
高血压,DIS-CARD-HT-CKD,慢性肾脏病合并高血压,3,3,0,2,1
高血压,DIS-CARD-HT-WCH,白大衣高血压,3,3,0,2,1
高血压,DIS-CARD-HT-ELDERLY,老年高血压,3,3,0,1,1
高血压,DIS-CARD-HT-RENAL-PARENCHYMAL,肾实质性高血压,3,3,0,2,1
高血压,DIS-CARD-HT-RENOVASCULAR,肾血管性高血压,3,3,0,2,1
高血压,DIS-CARD-HT-MASKED,隐匿性高血压,3,3,0,2,1
高血压,DIS-CARD-HT-URGENCY,高血压亚急症,3,3,0,1,1
