分组,文件数,大小MB,建议动作分布
AI自动化工具-文献指南解析.md,1,0.01,"{""建议提交"": 1}"
assets/ami_cdss_swimlane.svg,1,0.01,"{""建议提交"": 1}"
assets/ami_full_process_engine_swimlane.svg,1,0.02,"{""建议提交"": 1}"
assets/cdss_product_function_architecture.svg,1,0.01,"{""建议提交"": 1}"
专病辅助诊疗建设方案_专科CDSS六级建设.md,1,0.07,"{""建议提交"": 1}"
专科知识图谱Schema标准.md,1,0.04,"{""建议提交"": 1}"
原型设计_prototype/specialty-cdss-prototype.html,1,0.19,"{""建议提交"": 1}"
心血管内科文献集合/批次登记台账.md,1,0.07,"{""建议提交"": 1}"
项目管理中心_project_management/04_批次登记台账_batch_ledger.csv,1,0.02,"{""建议提交"": 1}"
项目管理中心_project_management/118_治疗方案动作链全库治理后入库复测_20260716,1,0.0,"{""建议提交"": 1}"
项目管理中心_project_management/122_正式CDSS推荐资格专项复核_20260716,1,0.0,"{""建议提交"": 1}"
项目管理中心_project_management/126_指南PDF精修层全库总检_20260717,6,0.22,"{""建议提交"": 6}"
项目管理中心_project_management/127_批次登记台账收口治理_20260717,6,0.1,"{""建议提交"": 6}"
项目管理中心_project_management/128_冠心病指南PDF精修层总收口_20260717,15,0.06,"{""建议提交"": 13, ""删除候选"": 2}"
项目管理中心_project_management/129_已解析PDF疾病精修收口总检_20260717,5,0.03,"{""建议提交"": 5}"
项目管理中心_project_management/130_未解析PDF病种启动池_20260717,555,0.44,"{""建议提交"": 18, ""保留本地不提交"": 530, ""删除候选"": 7}"
项目管理中心_project_management/131_任务交接_20260717,1,0.01,"{""建议提交"": 1}"
项目管理中心_project_management/132_补充证据合并入库_20260717,38,72.35,"{""建议提交"": 22, ""保留本地不提交"": 16}"
项目管理中心_project_management/133_已解析PDF证据使用效果检查_20260717,5,0.04,"{""建议提交"": 5}"
项目管理中心_project_management/134_推荐来源裁决层落地_20260717,28,0.23,"{""建议提交"": 28}"
项目管理中心_project_management/135_推荐来源裁决批量推广_20260717,13,0.62,"{""建议提交"": 13}"
项目管理中心_project_management/89_疾病层级关系三层收口最终报告_20260716.md,1,0.0,"{""建议提交"": 1}"
