aliases,code,deprecated,diagnostic_role,duplicate_replaced_by,entity_type,is_diagnosable,is_emr_writable,name,schema_version,status
"['Brugada', '布鲁加达综合征', 'Brugada pattern', '1型Brugada心电图']",DIS-CARD-ARR-BRUGADA,,,,Disease,,,Brugada综合征,V1.7,
"['STEMI', '急性ST段抬高型心肌梗死', 'ST段抬高心肌梗死']",DIS-CARD-CAD-STEMI,,,,Disease,,,ST段抬高型心肌梗死,V1.15,
"['B型主动脉夹层', 'TBAD']",DIS-CARD-TBAD,,,,Disease,,,Stanford B型主动脉夹层,V1.15,
"['一度AVB', '一度房室阻滞', 'first degree AV block']",DIS-CARD-ARR-AVB1,,,,Disease,,,一度房室传导阻滞,V1.16,
,DIS-CARD-CHD-EBSTEIN,,,,Disease,,,三尖瓣下移畸形,V1.4,
"['TR', '三尖瓣关闭不全']",DIS-CARD-VHD-TR,,,,Disease,,,三尖瓣反流,V1.15,
"['完全性房室传导阻滞', '三度AVB', '完全性AVB', 'complete AV block', 'third degree AV block']",DIS-CARD-ARR-AVB3,,,,Disease,,,三度房室传导阻滞,V1.16,
,DIS-CARD-PAD-LEAD,,,,Disease,,,下肢动脉硬化闭塞症,V1.4,
"['UA', '不稳定心绞痛']",DIS-CARD-CAD-UA,,,,Disease,,,不稳定型心绞痛,V1.1,
"['aortic dissection', '主动脉夹层动脉瘤', 'AD']",DIS-CARD-AORTIC-DISSECTION,,,,Disease,,,主动脉夹层,V1.15,
"['AR', '主动脉瓣关闭不全']",DIS-CARD-VHD-AR,,,,Disease,,,主动脉瓣反流,V1.15,
"['AS', '主动脉瓣口狭窄']",DIS-CARD-VHD-AS,,,,Disease,,,主动脉瓣狭窄,V1.15,
,DIS-CARD-AORTA-ANEURYSM,,,,Disease,,,主动脉瘤,V1.4,
,DIS-CARD-CHD-SOVA,,,,Disease,,,主动脉窦瘤,V1.4,
,DIS-CARD-HTN-COA,,,,Disease,,,主动脉缩窄,V1.4,
['BAV'],DIS-CARD-CHD-BAV,,,,Disease,,,二叶主动脉瓣,V1.4,
"['MR', '二尖瓣关闭不全']",DIS-CARD-VHD-MR,,,,Disease,,,二尖瓣反流,V1.15,
['MS'],DIS-CARD-VHD-MS,,,,Disease,,,二尖瓣狭窄,V1.15,
"['二度AVB', 'Mobitz I', 'Mobitz II', '文氏阻滞', '莫氏阻滞', 'second degree AV block']",DIS-CARD-ARR-AVB2,,,,Disease,,,二度房室传导阻滞,V1.16,
['PVE'],DIS-CARD-IE-PVE,,,,Disease,,,人工瓣膜心内膜炎,V1.4,
"['CPVT', '儿茶酚胺敏感性室速', '儿茶酚胺敏感性室性心动过速']",DIS-CARD-ARR-CPVT,,,,Disease,,,儿茶酚胺敏感性多形性室性心动过速,V1.7,
,DIS-CARD-CHD-COA,,,,Disease,,,先天性主动脉缩窄,V1.4,
"['先心病', 'CHD', 'congenital heart disease']",DIS-CARD-CHD,,,,Disease,,,先天性心脏病,V1.15,
"['CHD-PAH', '先心病相关肺动脉高压', '成人先天性心脏病相关肺动脉高压', '先天性心脏病相关PH', '先天性心脏病', '先心病', '艾森曼格综合征']",DIS-CARD-PH-CHD,,,,Disease,,,先天性心脏病相关肺动脉高压,V1.15,
"['全心衰', '双心衰竭', '双心室心力衰竭']",DIS-CARD-HF-BIVENTRICULAR,,,,Disease,,,全心衰竭,V1.7,
['endocrine hypertension'],DIS-CARD-HT-ENDOCRINE,,,,Disease,,,内分泌性高血压,V1.11,
,DIS-CARD-CAD-SPASM,,,,Disease,,,冠状动脉痉挛,V1.4,
,DIS-CARD-CHD-CAF,,,,Disease,,,冠状动脉瘘,V1.4,
"['冠心病', 'CHD', 'CAD']",DIS-CARD-CAD-CHD,,,,Disease,,,冠状动脉粥样硬化性心脏病,V1.4,
"['PDA', 'patent ductus arteriosus']",DIS-CARD-PDA,,,,Disease,,,动脉导管未闭,V1.15,
"['PAH', '肺动脉性肺高压']",DIS-CARD-PH-PAH,,,,Disease,,,动脉性肺动脉高压,V1.15,
,DIS-CARD-CAD-ATHEROSCLEROSIS,,,,Disease,,,动脉粥样硬化,V1.4,
"['PFO', 'patent foramen ovale']",DIS-CARD-PFO,,,,Disease,,,卵圆孔未闭,V1.15,
"['原醛', 'PA', 'primary aldosteronism']",DIS-CARD-HT-PA,,,,Disease,,,原发性醛固酮增多症,V1.11,
"['本态性高血压', 'essential hypertension', 'primary hypertension']",DIS-CARD-HT-PRIMARY,,,,Disease,,,原发性高血压,V1.11,
"['paroxysmal hypertension', '阵发性高血压']",DIS-CARD-HT-PAROXYSMAL,,,,Disease,,,发作性高血压,V1.11,
"['右心衰', '右心功能不全']",DIS-CARD-HF-RIGHT,,,,Disease,,,右心衰竭,V1.7,
,DIS-CARD-HTN-PHEO,,,,Disease,,,嗜铬细胞瘤和副神经节瘤,V1.4,
"['PAD', '外周动脉病', '下肢动脉疾病']",DIS-CARD-PAD,,,,Disease,,,外周动脉疾病,V1.15,
"['联合瓣膜病', '多瓣膜损害']",DIS-CARD-VHD-MULTI,,,,Disease,,,多瓣膜病,V1.15,
"['室上速', 'SVT', 'PSVT', '阵发性室上性心动过速', '阵发性室上速', 'supraventricular tachycardia']",DIS-CARD-ARR-SVT,,,,Disease,,,室上性心动过速,V1.7,
"['室性心律失常谱系', 'ventricular arrhythmias']",DIS-CARD-ARR-VA,,,,Disease,,,室性心律失常,V1.7,
"['PVC', '室性早搏', '室早', '室性期前搏动', 'premature ventricular contraction']",DIS-CARD-ARR-PVC,,,,Disease,,,室性期前收缩,V1.7,
"['VSD', 'ventricular septal defect']",DIS-CARD-VSD,,,,Disease,,,室间隔缺损,V1.15,
"['FH', 'familial hypercholesterolemia']",DIS-CARD-FH,,,,Disease,,,家族性高胆固醇血症,V1.15,
"['HFpEF', '射血分数保留心衰', '舒张性心力衰竭', '舒张性心衰', 'DHF']",DIS-CARD-HF-HFpEF,,,,Disease,,,射血分数保留的心力衰竭,V1.7,
"['HFmrEF', '射血分数中间范围心力衰竭', '射血分数轻度降低心衰']",DIS-CARD-HF-HFmrEF,,,,Disease,,,射血分数轻度降低的心力衰竭,V1.7,
"['HFrEF', '射血分数降低心衰', '收缩性心力衰竭']",DIS-CARD-HF-HFrEF,,,,Disease,,,射血分数降低的心力衰竭,V1.7,
"['TdP', '尖端扭转型室速', '尖端扭转', '多形性室性心动过速', 'torsades']",DIS-CARD-ARR-TDP,,,,Disease,,,尖端扭转型室性心动过速,V1.7,
"['左心衰', '左心功能不全']",DIS-CARD-HF-LEFT,,,,Disease,,,左心衰竭,V1.7,
"['心衰', 'HF', '心功能不全', '心脏衰竭']",DIS-CARD-HF,,,,Disease,,,心力衰竭,V1.7,
"['心力衰竭', 'heart failure', 'HF']",DIS-CARD-HF-GENERAL,,,,Disease,,,心力衰竭,V1.16,
"['急性心包炎', 'pericarditis']",DIS-CARD-PERICARDITIS,,,,Disease,,,心包炎,V1.15,
,DIS-CARD-PERICARD-EFFUSION,,,,Disease,,,心包积液及心脏压塞,V1.4,
"['VF', '心室颤动', '室颤', '心室扑动', '室扑', 'ventricular fibrillation', 'ventricular flutter']",DIS-CARD-ARR-VF,,,,Disease,,,心室扑动与心室颤动,V1.7,
['AtCM'],DIS-CARD-CM-ATRIAL,,,,Disease,,,心房心肌病,V1.1,
"['房扑', 'AFL', 'atrial flutter', '典型心房扑动', '峡部依赖性心房扑动']",DIS-CARD-ARR-AFL,,,,Disease,,,心房扑动,V1.7,
"['房颤', 'AF', 'atrial fibrillation', '非瓣膜性心房颤动', 'NVAF', '瓣膜性心房颤动', '持续性房颤', '阵发性房颤', '永久性房颤', '长程持续性房颤']",DIS-CARD-ARR-AF,,,,Disease,,,心房颤动,V1.7,
"['心梗后心衰', '心肌梗死后心衰', 'post-MI HF']",DIS-CARD-HF-POST-MI,,,,Disease,,,心肌梗死后心力衰竭,V1.7,
,DIS-CARD-CAD-POST-MI-SYNDROME,,,,Disease,,,心肌梗死后综合征,V1.4,
"['成人心肌炎', '急性心肌炎', 'myocarditis']",DIS-CARD-MYOCARDITIS,,,,Disease,,,心肌炎,V1.15,
"['心肌病', 'cardiomyopathy', 'cardiomyopathies', 'CM']",DIS-CARD-CM-GENERAL,,,,Disease,,,心肌病,V1.16,
"['SCD', '心源性猝死', '猝死', 'sudden cardiac death']",DIS-CARD-SCD-SUDDEN,,,,Disease,,,心脏性猝死,V1.7,
"['瓣膜病', '瓣膜性心脏病', 'VHD']",DIS-CARD-VHD,,,,Disease,,,心脏瓣膜病,V1.15,
"['CA', '心搏骤停', '循环骤停', 'cardiac arrest']",DIS-CARD-SCD-ARREST,,,,Disease,,,心脏骤停,V1.7,
,DIS-CARD-NEUROSIS,,,,Disease,,,心血管神经症,V1.4,
"['AAS', 'acute aortic syndrome']",DIS-CARD-AAS,,,,Disease,,,急性主动脉综合征,V1.15,
"['ACS', '急性冠状动脉综合征', '冠脉综合征']",DIS-CARD-CAD-ACS,,,,Disease,,,急性冠脉综合征,V1.1,
"['急性心衰', 'AHF', '急性失代偿心力衰竭', 'ADHF']",DIS-CARD-HF-AHF,,,,Disease,,,急性心力衰竭,V1.7,
,DIS-CARD-PERICARD-ACUTE,,,,Disease,,,急性心包炎,V1.4,
"['AMI', '心梗', '心肌梗死', '急性心梗']",DIS-CARD-CAD-AMI,,,,Disease,,,急性心肌梗死,V1.1,
"['IE', 'infective endocarditis', 'endocarditis']",DIS-CARD-INFECTIVE-ENDOCARDITIS,,,,Disease,,,感染性心内膜炎,V1.15,
"['CCS', '慢性冠脉疾病', '慢性冠状动脉综合征', '慢性冠状动脉疾病', 'CCD']",DIS-CARD-CAD-CCS,,,,Disease,,,慢性冠脉综合征,V1.1,
"['慢性心衰', 'CHF']",DIS-CARD-HF-CHF,,,,Disease,,,慢性心力衰竭,V1.7,
"['CKD合并高血压', '慢性肾脏病患者高血压']",DIS-CARD-HT-CKD,,,,Disease,,,慢性肾脏病合并高血压,V1.11,
"['CTEPH', '慢性血栓栓塞性肺高压']",DIS-CARD-PH-CTEPH,,,,Disease,,,慢性血栓栓塞性肺动脉高压,V1.15,
"['AVB', '房室阻滞', 'atrioventricular block', 'AV block']",DIS-CARD-ARR-AVB,,,,Disease,,,房室传导阻滞,V1.16,
"['AVRT', '房室折返', '旁路相关心动过速']",DIS-CARD-ARR-AVRT,,,,Disease,,,房室折返性心动过速,V1.7,
"['AVNRT', '房室结折返', '房室结折返性心动过速']",DIS-CARD-ARR-AVNRT,,,,Disease,,,房室结折返性心动过速,V1.7,
"['AT', '局灶性房性心动过速', '房速']",DIS-CARD-ARR-AT,,,,Disease,,,房性心动过速,V1.7,
"['ASD', 'atrial septal defect']",DIS-CARD-ASD,,,,Disease,,,房间隔缺损,V1.15,
"['房间隔缺损', 'atrial septal defect', 'ASD']",DIS-CARD-CHD-ASD,,,,Disease,,,房间隔缺损,V1.16,
"['DCM', '充血型心肌病']",DIS-CARD-CM-DCM,,,,Disease,,,扩张型心肌病,V1.1,
"['VT', '室性心动过速', '室速', '持续性室速', 'ventricular tachycardia']",DIS-CARD-ARR-VT,,,,Disease,,,持续性室性心动过速,V1.7,
['ERS'],DIS-CARD-ARR-ERS,,,,Disease,,,早期复极综合征,V1.4,
"['爆发性心肌炎', 'fulminant myocarditis']",DIS-CARD-FULMINANT-MYOCARDITIS,,,,Disease,,,暴发性心肌炎,V1.15,
"['室内传导阻滞', 'BBB', 'bundle branch block', 'intraventricular block']",DIS-CARD-ARR-BBB,,,,Disease,,,束支传导阻滞,V1.16,
['Fabry病心肌病'],DIS-CARD-CM-FABRY,,,,Disease,,,法布雷病心肌病,V1.1,
"['心脏淀粉样变', 'ATTR-CM', 'AL-CM']",DIS-CARD-CM-AMYLOID,,,,Disease,,,淀粉样变心肌病,V1.1,
"['IPAH', '特发性PAH']",DIS-CARD-PH-IPAH,,,,Disease,,,特发性肺动脉高压,V1.15,
"['诊室高血压', 'white coat hypertension']",DIS-CARD-HT-WCH,,,,Disease,,,白大衣高血压,V1.11,
"['SQTS', '短QT综合征', 'QT间期缩短', 'short-QT syndrome']",DIS-CARD-ARR-SQTS,,,,Disease,,,短QT间期综合征,V1.7,
"['稳定性心绞痛', '稳定性冠心病']",DIS-CARD-CAD-STABLE-ANGINA,,,,Disease,,,稳定型心绞痛,V1.1,
"['窦性心率过缓', 'sinus bradycardia']",DIS-CARD-ARR-SB,,,,Disease,,,窦性心动过缓,V1.16,
,DIS-CARD-ARR-SINUS,,,,Disease,,,窦性心律失常,V1.4,
"['SAB', '窦房阻滞', 'sinoatrial block']",DIS-CARD-ARR-SAB,,,,Disease,,,窦房传导阻滞,V1.16,
"['病态窦房结综合征', '病窦综合征', 'SSS', 'SND', 'sick sinus syndrome']",DIS-CARD-ARR-SND,,,,Disease,,,窦房结功能障碍,V1.16,
"['CTD-PAH', '结缔组织病相关PAH', '结缔组织病', '系统性硬化', '系统性硬化症', '硬皮病', '系统性硬化相关肺动脉高压']",DIS-CARD-PH-CTD,,,,Disease,,,结缔组织病相关肺动脉高压,V1.15,
"['secondary hypertension', '可明确病因的高血压']",DIS-CARD-HT-SECONDARY,,,,Disease,,,继发性高血压,V1.11,
"['心动过缓性心律失常', '缓慢心律失常', 'bradycardia', 'bradyarrhythmia']",DIS-CARD-ARR-BRADY,,,,Disease,,,缓慢性心律失常,V1.16,
,DIS-CARD-PERICARD-CONSTRICTIVE,,,,Disease,,,缩窄性心包炎,V1.4,
"['ICM', '缺血性心肌病变']",DIS-CARD-CAD-ICM,,,,Disease,,,缺血性心肌病,V1.1,
"['老年人高血压', 'elderly hypertension']",DIS-CARD-HT-ELDERLY,,,,Disease,,,老年高血压,V1.11,
"['HCM', '肥厚性心肌病']",DIS-CARD-CM-HCM,,,,Disease,,,肥厚型心肌病,V1.1,
"['PS', '肺动脉瓣疾病']",DIS-CARD-VHD-PS,,,,Disease,,,肺动脉瓣狭窄,V1.15,
"['肺高压', 'PH']",DIS-CARD-PH,,,,Disease,,,肺动脉高压,V1.15,
"['肾性高血压', 'renal parenchymal hypertension']",DIS-CARD-HT-RENAL-PARENCHYMAL,,,,Disease,,,肾实质性高血压,V1.11,
"['renovascular hypertension', '肾动脉狭窄相关高血压']",DIS-CARD-HT-RENOVASCULAR,,,,Disease,,,肾血管性高血压,V1.11,
"['AAA', 'abdominal aortic aneurysm']",DIS-CARD-AAA,,,,Disease,,,腹主动脉瘤,V1.15,
['ABVC'],DIS-CARD-CM-ABVC,,,,Disease,,,致心律失常性双心室心肌病,V1.1,
"['ARVC', '右心室发育不良型心肌病']",DIS-CARD-CM-ARVC,,,,Disease,,,致心律失常性右心室心肌病,V1.1,
