disease_code,disease_name,match_type,cdss_dict_id,standard_code,standard_name,valid_flag
DIS-CARD-ARR-BRUGADA,Brugada综合征,标准名称精确匹配,e6ac1db8a9f46396074bde9a1bea4bf6,I49.003,Brugada综合征,1
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,已审核别名精确匹配,71b7c9b82cfdb149fc948faf1257c92d,I21.300x004,急性ST段抬高型心肌梗死,1
DIS-CARD-VHD-TR,三尖瓣反流,已审核别名精确匹配,89ca3397e9b49ccaa42021679a81f783,I07.100,三尖瓣关闭不全,1
DIS-CARD-PAD-LEAD,下肢动脉硬化闭塞症,标准名称精确匹配,0b225b9e20c9345385d5ba32ce393a85,I70.204,下肢动脉硬化闭塞症,1
DIS-CARD-CAD-UA,不稳定型心绞痛,标准名称精确匹配,fdd231b93df00db06874ab9734c562a5,I20.000,不稳定型心绞痛,1
DIS-CARD-VHD-AR,主动脉瓣反流,已审核别名精确匹配,8c0f5c9ff1599708f22cf8f48cb2980d,I35.100,主动脉瓣关闭不全,1
DIS-CARD-VHD-AS,主动脉瓣狭窄,标准名称精确匹配,dda08ebdae467c918775006c05150d8b,I35.000,主动脉瓣狭窄,1
DIS-CARD-HTN-COA,主动脉缩窄,标准名称精确匹配,673733da975bd4faac1fbd589930e23a,Q25.100,主动脉缩窄,1
DIS-CARD-VHD-MR,二尖瓣反流,标准名称精确匹配,41303bcfe5ffbef9307a0e4b68cc96fd,I34.001,二尖瓣反流,1
DIS-CARD-VHD-MS,二尖瓣狭窄,标准名称精确匹配,a0f7c65a88342d7832b6b0ba956184a6,I05.000,二尖瓣狭窄,1
DIS-CARD-IE-PVE,人工瓣膜心内膜炎,标准名称精确匹配,317670513d8f563ca5bec93684094c23,T82.601,人工瓣膜心内膜炎,1
DIS-CARD-ARR-CPVT,儿茶酚胺敏感性多形性室性心动过速,标准名称精确匹配,c2d30e3074b0d9377477293cc5110bdf,I47.200x021,儿茶酚胺敏感性多形性室性心动过速,1
DIS-CARD-HF-BIVENTRICULAR,全心衰竭,标准名称精确匹配,f40bd3b067b967dd2f3deaee0c69f73f,I50.002,全心衰竭,1
DIS-CARD-CAD-SPASM,冠状动脉痉挛,标准名称精确匹配,8a60941d16329afb6912bdd17203c44f,I20.102,冠状动脉痉挛,1
DIS-CARD-CHD-CAF,冠状动脉瘘,标准名称精确匹配,073d77d9eefebf78bf2324d18093824f,I25.800x005,冠状动脉瘘,1
DIS-CARD-CAD-CHD,冠状动脉粥样硬化性心脏病,标准名称精确匹配,51ea51436418eb85ac82436d6eae32a6,I25.103,冠状动脉粥样硬化性心脏病,1
DIS-CARD-PDA,动脉导管未闭,标准名称精确匹配,cf05c09b8c0baf6da6224cda2483d924,Q25.000,动脉导管未闭,1
DIS-CARD-CAD-ATHEROSCLEROSIS,动脉粥样硬化,标准名称精确匹配,b7720e8e24eec4bf6ed9e1e00f3c61d6,I70.900x004,动脉粥样硬化,1
DIS-CARD-HT-PRIMARY,原发性高血压,标准名称精确匹配,ea37dcfe4b9051b9bc44b368dfafb5cd,I10.x09,原发性高血压,1
DIS-CARD-HF-RIGHT,右心衰竭,标准名称精确匹配,39e97afa2118cfbdfea770f284a40486,I50.001,右心衰竭,1
DIS-CARD-ARR-SVT,室上性心动过速,标准名称精确匹配,167027eceaa9fecab1c767841a43ff24,I47.100,室上性心动过速,1
DIS-CARD-ARR-VA,室性心律失常,标准名称精确匹配,7bd71b518ebbc59dc61908754ec43aa9,I49.802,室性心律失常,1
DIS-CARD-ARR-PVC,室性期前收缩,标准名称精确匹配,727fc564bbbd62127f73fcdbc01d69cf,I49.300x002,室性期前收缩,1
